,name,price,discount,star,link,images
0,ست 3 تکه لباس نوزادی طرح پنگوئن کد 003,"۷۱,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-2032569/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%D8%B7%D8%B1%D8%AD-%D9%BE%D9%86%DA%AF%D9%88%D8%A6%D9%86-%DA%A9%D8%AF-003/,"['https://dkstatics-public.digikala.com/digikala-products/117592028.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117592032.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,ست 5 تکه لباس نوزاد کد G001,"۹۵,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-1772698/%D8%B3%D8%AA-5-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF-%DA%A9%D8%AF-g001/,"['https://dkstatics-public.digikala.com/digikala-products/117469402.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117469405.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117469409.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117469413.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117469416.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117469417.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117469418.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117469424.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117469427.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,ست 3 تکه لباس نوزادی مدل الی و دوستاش,"۹۳,۵۰۰",۴۵٪,۳.۹,https://www.digikala.com/product/dkp-7918403/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-%D8%A7%D9%84%DB%8C-%D9%88-%D8%AF%D9%88%D8%B3%D8%AA%D8%A7%D8%B4/,"['https://dkstatics-public.digikala.com/digikala-products/2831ae2f0a62c50c9b8b55be14340e9b3d3620e2_1645453868.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f856bd0116009d3b8ef54682695e2f90eb5d447f_1645453799.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,ست 5 تکه لباس نوزادی کد C15,"۹۲,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-3075877/%D8%B3%D8%AA-5-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%DA%A9%D8%AF-c15/,"['https://dkstatics-public.digikala.com/digikala-products/42f4eba99c585070176c3d983e50ff6b0fc8e3c1_1594552999.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/46e8810b61db4aeb8593e0a3d43bac2bdc1de21c_1594553011.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/32f8591f43404dbbe61d24ababe9943ed16fd445_1594553030.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1ba4702a36fe9bff39286b106a7dbb4d4941753c_1594553054.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d74a46f55302d1c6230f6e711ecfc1b77c0537ab_1594553069.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d9d7c1e20716510209c0fb7c0172cc96188a9a10_1594553090.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,ست 19 تکه لباس نوزادی Nadiya,"۳۲۹,۰۰۰",۴۴٪,۴.۳,https://www.digikala.com/product/dkp-6596785/%D8%B3%D8%AA-19-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-nadiya/,"['https://dkstatics-public.digikala.com/digikala-products/7fa9800bbaa83e0c564b0e7989269cc81bc836cc_1633157513.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/aeedc3254393b223adf226e4f3f4cd2d8492cd60_1633027156.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f1313dd2b38790bb3e80ddbe0dfabd6a56e58b01_1633027172.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/31af1f8a73007860e98f42b7f26bf77108bf23e7_1633027165.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bb61738a628c3b6a499e19848340cb037d84c5b5_1633157711.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c87975aa4608062df4c8beb7a05f2dd2a8185b3c_1633027163.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/28fb1167b94beefd1d484fda2557d2f9b19c6431_1633157515.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/79594e5126a656ec2f0d9c7e31fc2908193e4888_1633027160.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fc8dc38b36b86cca065dfb498a03ee1c3766fbbb_1633027171.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/99206e8e48e565ea13c23b71287a62e7c792266d_1633027154.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4e76d43960555ef537e8f62a51e49d45c4961528_1633027166.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/78e5cef97b23e3ab6234f2dfe84d716f52769889_1633027162.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9beb9d0cf5bf2282bb6eb93ae6ead8379c7fb3f0_1633027174.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,ست تی شرت و شلوار نوزادی کد 23009,"۱۶۶,۶۶۰",۴۸٪,۳.۶,https://www.digikala.com/product/dkp-2434215/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%DA%A9%D8%AF-23009/,"['https://dkstatics-public.digikala.com/digikala-products/119109616.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/119109613.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,ست تی شرت و شلوار نوزادی طرح آبنبات چوبی,"۱۲۹,۹۹۰",۴۶٪,۴.۱,https://www.digikala.com/product/dkp-4207327/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%D8%B7%D8%B1%D8%AD-%D8%A2%D8%A8%D9%86%D8%A8%D8%A7%D8%AA-%DA%86%D9%88%D8%A8%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/4eb6b4808a952aad13696267cfb87edb5da420b2_1610297130.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cfb65857ff50c451df5c778891266e70ba636a41_1610297177.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4eb6b4808a952aad13696267cfb87edb5da420b2_1610297132.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,ست 3 تکه لباس نوزادی دخترانه طرح روباه کد M236,"۹۳,۵۰۰",۱۵٪,۴.۱,https://www.digikala.com/product/dkp-2743922/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B1%D9%88%D8%A8%D8%A7%D9%87-%DA%A9%D8%AF-m236/,"['https://dkstatics-public.digikala.com/digikala-products/120739455.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/120739456.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/120739457.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/120739458.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,ست تی شرت و شلوار نوزادی کد 8877578,"۱۲۹,۹۹۰",۵۷٪,۳.۷,https://www.digikala.com/product/dkp-3315524/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%DA%A9%D8%AF-8877578/,"['https://dkstatics-public.digikala.com/digikala-products/847cf88ef6893cee07cd5b2f342c8cceb4f5ad17_1598953428.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,ست 4 تکه لباس نوزادی کارانس طرح نوزاد مدل SO-309,"۱۴۳,۰۰۰",۱۸٪,۳.۸,https://www.digikala.com/product/dkp-3237880/%D8%B3%D8%AA-4-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%DA%A9%D8%A7%D8%B1%D8%A7%D9%86%D8%B3-%D8%B7%D8%B1%D8%AD-%D9%86%D9%88%D8%B2%D8%A7%D8%AF-%D9%85%D8%AF%D9%84-so-309/,"['https://dkstatics-public.digikala.com/digikala-products/01280380ea9a311e09dd05d9f62663f5982335d7_1597419903.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ff0edfec99223bffb0aa0296e01a23a1ef921820_1597419901.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d92c508bca38d1abd5c79dd1ec83dc3d12ab149c_1597419903.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
10,ست تی شرت و شلوار نوزادی کد 9999SA,"۱۵۵,۵۵۰",۱۸٪,۱,https://www.digikala.com/product/dkp-3672682/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%DA%A9%D8%AF-9999sa/,"['https://dkstatics-public.digikala.com/digikala-products/3f22dc87271a1177447236094c3d745d2989237e_1604429290.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b2ecc187a437a980cc8b8d5380c2c42f6767aa7c_1604429294.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
11,ست 3 تکه لباس نوزادی سپیدپوش مدل راکون کد 901,"۲۳۶,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-7466698/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%D8%B3%D9%BE%DB%8C%D8%AF%D9%BE%D9%88%D8%B4-%D9%85%D8%AF%D9%84-%D8%B1%D8%A7%DA%A9%D9%88%D9%86-%DA%A9%D8%AF-901/,"['https://dkstatics-public.digikala.com/digikala-products/4b586387d2024036810d2281d90245ecdcf90fdb_1641228583.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/39c7248a54c25f4101335d9dce3885315af56d39_1641228587.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/813e6798caa396710132027124737fe1f6ba69f5_1641228597.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/154c62513c36121d4288cfed43afedb4432cea72_1641228602.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/70d155c91e3819bb2da7d64a119c61df7744e679_1641228610.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5cbed805da9c6235ade429c3e3db79913e115680_1641228753.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
