,name,price,discount,star,link,images
0,ست تی شرت آستین کوتاه و شلوارک پسرانه مدل سگ های نگهبان 3,"۵۵,۰۰۰",۵۴٪,۴.۷,https://www.digikala.com/product/dkp-9023255/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B3%DA%AF-%D9%87%D8%A7%DB%8C-%D9%86%DA%AF%D9%87%D8%A8%D8%A7%D9%86-3/,"['https://dkstatics-public.digikala.com/digikala-products/2583f1f6061d0c6fc2f0f1e686560948d3e2f9ca_1658336972.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,ست تی شرت آستین کوتاه و شلوارک پسرانه مدل سگ نگهبان 1,"۴۹,۰۰۰",۵۹٪,۴,https://www.digikala.com/product/dkp-9023148/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B3%DA%AF-%D9%86%DA%AF%D9%87%D8%A8%D8%A7%D9%86-1/,"['https://dkstatics-public.digikala.com/digikala-products/f685f3af06768ad203d311203b077d4466eb7563_1658330356.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,کوله پشتی بچگانه مدل PRX-300,"۲۹۷,۰۰۰",۳۹٪,۴.۳,https://www.digikala.com/product/dkp-8982115/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-prx-300/,"['https://dkstatics-public.digikala.com/digikala-products/2671f81ef3951a02d7098b90b89eee343f21dd5a_1657707647.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/185ac9a92f90c2e24832afc66cb825a12826f828_1657707659.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/687930442ad108a0237659d1d8ae8e9931ca74af_1657707687.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7a1bbbe50e726a4d1ad2fa738b9887fce6f81c1f_1657707762.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/05dd5dd5039b6119b195bdeb9bf609e8d52028c4_1657707905.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a80c861108647c5592c643e9268474600beccd3d_1657707926.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a45cc2a140a80194a867010cd637d353495727d5_1657707957.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1e536e176e7d5e0fa99f8d58af510cf5cd83da40_1657707981.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4df078800bba6f92a8dd4ca2fb800251c85a6848_1657708001.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/de7798f2d65d9b9e9a074582c54fe2b6a9dc8c7d_1657708017.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,کوله پشتی بچگانه مدل C,"۳۲۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-9260189/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-c/,"['https://dkstatics-public.digikala.com/digikala-products/9b11a753710f007d04a6b11bb94e761c5d1e330b_1661172772.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fc47290601c0db830695a37e9566c37ac59010d7_1661173226.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,کفش راحتی بچگانه مدل K n پرفکت,"۱۵۰,۰۰۰",۱۱٪,۳.۸,https://www.digikala.com/product/dkp-7482153/%DA%A9%D9%81%D8%B4-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-k-n-%D9%BE%D8%B1%D9%81%DA%A9%D8%AA/,"['https://dkstatics-public.digikala.com/digikala-products/de1698282fae82ff4f7bd2179fcff4489bf7a5f9_1641374308.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f6651df4ad8b8b6ac8c7c3df5ddfb522781ec682_1641374332.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1e03d46120d09a1259df27d706ff1ba002576663_1641374350.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b97125e33fbb4d1bd4d01c926a620474b3862973_1641374780.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,کفش راحتی بچگانه شیما مدل 1511985,"۳۵۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-9283080/%DA%A9%D9%81%D8%B4-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D8%B4%DB%8C%D9%85%D8%A7-%D9%85%D8%AF%D9%84-1511985/,"['https://dkstatics-public.digikala.com/digikala-products/2209a27fd5c21907ab5e5473727508ff6fbe1ffb_1661424865.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/de6f948baf1e64ea19a5be55b6c4632fc5fdffd2_1661424866.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e44bd86fe91e9abcc90a5247e04168de2e5b1e62_1661424867.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1f342467655ab9cd3ee69777ec4aff2acddb920e_1661424868.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e635eaba39c44bcd6685cd65220ca725b93a3215_1661424869.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,کفش راحتی بچگانه شیما مدل 1511987,"۳۵۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-9283282/%DA%A9%D9%81%D8%B4-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D8%B4%DB%8C%D9%85%D8%A7-%D9%85%D8%AF%D9%84-1511987/,"['https://dkstatics-public.digikala.com/digikala-products/c8941fa4dd9377ed156cfb13531c028a52fa466f_1661427032.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/64ce7e18a8aae028b4f99985366694906737f30c_1661427030.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/40ab0ce15dd404b29c189baf9d446995d7d5ee73_1661427031.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6ee38a3041283ea2dff9e9578f916edca36f4e5d_1661427033.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c3ac65613a09aaa44f87be849bbf9422d7e655f2_1661427036.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,هودی پسرانه مدل گرگ کد F400,"۸۵,۹۰۰",۱۴٪,۴.۲,https://www.digikala.com/product/dkp-4008432/%D9%87%D9%88%D8%AF%DB%8C-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%AF%D8%B1%DA%AF-%DA%A9%D8%AF-f400/,"['https://dkstatics-public.digikala.com/digikala-products/efef251334cbfbe5c4fd45120f12c42c0d789039_1608020475.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,ساعت مچی دیجیتال مدل فانتزی لمسی کد 104,"۴۹,۷۵۰",-,۳.۷,https://www.digikala.com/product/dkp-8917456/%D8%B3%D8%A7%D8%B9%D8%AA-%D9%85%DA%86%DB%8C-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84-%D9%85%D8%AF%D9%84-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C-%D9%84%D9%85%D8%B3%DB%8C-%DA%A9%D8%AF-104/,"['https://dkstatics-public.digikala.com/digikala-products/48b2dd82d69963691ff709247f766f37d1dbc6d9_1656922872.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9e33719f982f077d90e1f053316e04e05ed74ba3_1656922895.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,ست تی شرت آستین کوتاه و شلوارک پسرانه چیندکا مدل SPORT کد 157,"۹۵,۰۰۰",۵۰٪,۴.۱,https://www.digikala.com/product/dkp-8504952/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%DA%86%DB%8C%D9%86%D8%AF%DA%A9%D8%A7-%D9%85%D8%AF%D9%84-sport-%DA%A9%D8%AF-157/,"['https://dkstatics-public.digikala.com/digikala-products/7956fdaf36137d06221e77de23756da8089eaf86_1652557235.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
