,name,price,discount,star,link,images
0,شلوار مردانه مدل کردی کلیه بند,"۱۵۵,۰۰۰",۱۱٪,۳.۶,https://www.digikala.com/product/dkp-6956230/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D8%B1%D8%AF%DB%8C-%DA%A9%D9%84%DB%8C%D9%87-%D8%A8%D9%86%D8%AF/,"['https://dkstatics-public.digikala.com/digikala-products/2150b19876072cf617e349ecf0a1d2edce7d55bc_1636229968.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9767e91ba75dab792f64875875dc0a8a68d6528b_1636230024.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0818f722f48882c239bc76dc5199f873be3915b4_1636230059.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/23afbb1e5f0957356adfed6c75e9966e95ee5e69_1636230185.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c7e844330ee7fb7a74bc7a9d66fff57b0a501398_1639668888.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/171f11e640bec53d52194804e9ee2067c52b303f_1643048724.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,شلوار راحتی مردانه فرد مدل Sha.r.002,"۱۵۹,۰۰۰",۵۸٪,۳.۷,https://www.digikala.com/product/dkp-2195277/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%81%D8%B1%D8%AF-%D9%85%D8%AF%D9%84-shar002/,"['https://dkstatics-public.digikala.com/digikala-products/114269923.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b4a60aa7558122a0e4afa618ac4ad0bc2685cbb6_1594543771.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,ست تاپ و شلوارک مردانه مدل yk,"۱۸۵,۰۰۰",-,۴,https://www.digikala.com/product/dkp-8010238/%D8%B3%D8%AA-%D8%AA%D8%A7%D9%BE-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-yk/,"['https://dkstatics-public.digikala.com/digikala-products/b84b1cab9ffbda3df1cf19aa43301c3f4af49bfd_1646487142.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,شلوار مردانه مدل اسلش 2 خط مغزی دار,"۷۹,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-8237053/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-2-%D8%AE%D8%B7-%D9%85%D8%BA%D8%B2%DB%8C-%D8%AF%D8%A7%D8%B1/,"['https://dkstatics-public.digikala.com/digikala-products/53272cbd5b5a208ade199d0bf185e001f70cd8df_1650965293.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/af97eee7fd4a05183bf09b5afac5cccb87c64748_1649585344.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,شلوار مردانه سیدونا مدل MSI03021-022,"۷۷,۰۰۰",۶۱٪,۲.۷,https://www.digikala.com/product/dkp-7418016/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-msi03021-022/,"['https://dkstatics-public.digikala.com/digikala-products/5eb6fc93489dc87932080e3a56cbdca7eb23cb3b_1641026355.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/18dc17d45ad212823be0064e1fa83062200e4512_1641026358.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9b2872555ce518709f4940d27e920a0034b000a8_1641026360.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c64bcae1574b4f97550bce1da65d9c67773140ca_1641026362.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bce5807ec5c2bfe441ad65e6431ffa68db66605c_1641026365.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ca4ad9562b580a80aedb73c967977bd1e1aa77f7_1642231805.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,شلوار راحتی مردانه مدل اسلش کد 01,"۱۰۳,۷۰۰",-,۳.۹,https://www.digikala.com/product/dkp-6229948/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%A9%D8%AF-01/,"['https://dkstatics-public.digikala.com/digikala-products/ed46ab6f88ecbe3d9b22213ba0e282b9511e27aa_1630045813.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,شلوار مردانه مدل 6655,"۹۳,۰۰۰",۲۳٪,۳.۹,https://www.digikala.com/product/dkp-3441747/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-6655/,"['https://dkstatics-public.digikala.com/digikala-products/3ff3cbc1963828e157919ac5932e8becf72a9ccd_1600799604.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dbdc1aa1d4edf8db7276e370ea9547d0e85b015c_1600799612.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bccc77d8d8bc0f4e4891e8258863a00557deb83f_1619103187.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,شلوار مردانه سیدونا مدل MSI03021-403,"۵۹,۰۰۰",۷۰٪,۳.۳,https://www.digikala.com/product/dkp-7418018/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-msi03021-403/,"['https://dkstatics-public.digikala.com/digikala-products/058affe68aabf7769511da90199dd40e7907f340_1641026435.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c66b85f289f3f00742f89a0f0d070835c2803d56_1641026433.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/88d811721c11214c83308b26f7be5f2cd097a06e_1641026438.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/44ad18106cb28a00e7b5099d472098fbadf672f1_1641026440.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ba1bcabad65cf44f7614495899b5e03146024263_1641026443.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ca4ad9562b580a80aedb73c967977bd1e1aa77f7_1642231803.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,ست تاپ و شلوارک مردانه باینت مدل 110,"۳۴۸,۰۰۰",۲۴٪,۴.۱,https://www.digikala.com/product/dkp-5638467/%D8%B3%D8%AA-%D8%AA%D8%A7%D9%BE-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-110/,"['https://dkstatics-public.digikala.com/digikala-products/2d63a98dbf6a0ff0b698e9ab36221f8e4e5d0c67_1625077777.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dbc4501c4c2dcbcea8d1694bd7ffeb6e2c42558d_1625077748.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/93d9e822235ef8beb854eac6b21b3c592af7be12_1625077801.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e8b094f186f684c4457f76bd125ce6c86a791c09_1625077790.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/32788f8e625210b1a1e584310941d57b0dce805c_1625077852.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0a48a34b203d76a60258c5558fa158e95ea2cec2_1625077868.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0301fed01bb0ae3b2f947636461fc2fca28bcdc7_1625077888.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a6fd5b80f07fbe6d3322fde8176ecb360adfc670_1625077830.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d42d0b8cb2ca8195c19281461896a56224fbdaf3_1625127789.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,شلوار راحتی مردانه مدل N70,"۶۸,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-6884159/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-n70/,"['https://dkstatics-public.digikala.com/digikala-products/58294bb46424efd06902bc4f430adba73c244fde_1635586470.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2da0c3f11a95e6e3eac79bdd1f1b5a86d30055b2_1635586476.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e4d19cf90752cbce77bbfb8c82810b5c77e065d7_1635586479.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
