,name,price,discount,star,link,images
0,هودی مردانه طرح چنگ کد A03 رنگ مشکی,"۸۹,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-2176536/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%DA%86%D9%86%DA%AF-%DA%A9%D8%AF-a03-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/117658459.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117658463.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,هودی مردانه کد 01,"۸۵,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-979628/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-01/,"['https://dkstatics-public.digikala.com/digikala-products/116865615.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116865618.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,هودی مردانه کد WB182 رنگ مشکی,"۹۱,۰۰۰",-,۳.۶,https://www.digikala.com/product/dkp-1084080/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-wb182-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/116910681.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116910686.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,هودی مردانه طرح مارشملو کد F292,"۶۴,۰۰۰",-,۴,https://www.digikala.com/product/dkp-2440653/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%85%D8%A7%D8%B1%D8%B4%D9%85%D9%84%D9%88-%DA%A9%D8%AF-f292/,"['https://dkstatics-public.digikala.com/digikala-products/119145613.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/119145616.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,هودی مردانه مدل کد 21,"۱۲۵,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-425676/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D8%AF-21/,"['https://dkstatics-public.digikala.com/digikala-products/116657758.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,هودی مردانه طرح Assassins کد S436,"۸۸,۵۰۰",-,۳.۸,https://www.digikala.com/product/dkp-1958931/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-assassins-%DA%A9%D8%AF-s436/,"['https://dkstatics-public.digikala.com/digikala-products/117570125.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117570134.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,هودی مردانه طرح شیکاگو بولز کد H219,"۱۳۷,۵۰۰",-,۳.۹,https://www.digikala.com/product/dkp-2127969/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B4%DB%8C%DA%A9%D8%A7%DA%AF%D9%88-%D8%A8%D9%88%D9%84%D8%B2-%DA%A9%D8%AF-h219/,"['https://dkstatics-public.digikala.com/digikala-products/117625258.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117625261.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,هودی مردانه مدل ساده کد MM01 رنگ مشکی,"۱۰۸,۵۰۰",-,۳.۱,https://www.digikala.com/product/dkp-7154995/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B3%D8%A7%D8%AF%D9%87-%DA%A9%D8%AF-mm01-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/e8b0ee6e5410b0fcb5777da192bcde70334fafd7_1637661307.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/904579faba0e8368d90a017d23b4a60550fb2fb3_1637661310.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,هودی مردانه اکو مدل National geographic کد M237,"۹۲,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-1921762/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%DA%A9%D9%88-%D9%85%D8%AF%D9%84-national-geographic-%DA%A9%D8%AF-m237/,"['https://dkstatics-public.digikala.com/digikala-products/117550476.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117550482.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117550485.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117550491.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,هودی مردانه باینت کد 354,"۲۱۸,۰۰۰",۱۹٪,۴,https://www.digikala.com/product/dkp-2070096/%D9%87%D9%88%D8%AF%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C-%D9%86%D8%AA-%DA%A9%D8%AF-354/,"['https://dkstatics-public.digikala.com/digikala-products/117614306.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117614307.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117614310.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117614313.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117614319.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
