,name,price,discount,star,link,images
0,شلوار جین مردانه ال سی وایکیکی مدل 1S62638Z8-333-GREENRODEO,"۹۱۸,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-9146301/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-1s62638z8-333-greenrodeo/,"['https://dkstatics-public.digikala.com/digikala-products/f57ca7c70b59b7bf6147ba8d6aaa64e0f2da30fb_1659804035.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/807a0658844eb7bab7206611dbdb7e4a8f73e912_1660761940.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/076151d61b6b95b9292f09d8755f77900a1f7a3f_1659804040.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5a82066eaa22bf3b0404815801c95622f32c036c_1659804042.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2d0033ec5cc8a2db3635e5dc71c2bb41dedf613f_1659804045.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0d53d184f0f7e7ce9dc067b769a7be0bda0a595b_1659804048.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,شلوار مردانه کد 129 رنگ مشکی,"۳۲۴,۰۰۰",۲۶٪,۳.۷,https://www.digikala.com/product/dkp-1912471/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-129-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/112742556.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112742573.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112742567.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112742559.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,شلوار مردانه کد 126 رنگ ذغالی,"۳۱۰,۰۰۰",۳۸٪,۳.۸,https://www.digikala.com/product/dkp-808966/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-126-%D8%B1%D9%86%DA%AF-%D8%B0%D8%BA%D8%A7%D9%84%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/112741980.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e66e789b3fb82e24150e9454afa16de558db9031_1617601558.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112741983.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112741985.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112741993.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,شلوار جین مردانه مدل اسکینی کد 0014,"۳۰۴,۰۰۰",۱۱٪,۳.۸,https://www.digikala.com/product/dkp-3814772/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%DA%A9%DB%8C%D9%86%DB%8C-%DA%A9%D8%AF-0014/,"['https://dkstatics-public.digikala.com/digikala-products/6c79af7c9b0e7e375531602b31ed0b8ab69e5c15_1605963866.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/204e9f9e6f3ce2455059154c360c45ae4217d291_1605963867.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,شلوار جین مردانه مدل POOZ-ZO-500,"۲۷۳,۰۰۰",۵۵٪,۳.۸,https://www.digikala.com/product/dkp-7105449/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-pooz-zo-500/,"['https://dkstatics-public.digikala.com/digikala-products/cc4170a15aae96893971049d93f237d6e0e153f5_1637766322.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/27aa7e69e68dcd109817e7043d043a9fdbb8d55b_1638277941.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/03bde5d19f86b82f1c1ef71907f47cc680ba3725_1637766316.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d8893c768ba04762b0abb5a4eb735bc9c1f5e0a6_1637230345.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d2674ebdc775871b3f6213f170cc4b65c80d9d7c_1637230360.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f9980baeb81476f7c6fe82e4f29135830069faf9_1637230342.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/761aa80d2e6a8ee6cf42c55c39b640f61e3b33dc_1637230356.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/73166be54769f234c99ad06ceb3332de2863900c_1637230367.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,شلوار جین مردانه ال سی وایکیکی مدل 1SCH01Z8-GREEN,"۶۲۵,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-9146303/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-1sch01z8-green/,"['https://dkstatics-public.digikala.com/digikala-products/30539edbe91fe48b9f6edf5146e14036182bb41b_1659803989.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e3af6dbf8f80b09369b963cb7105dfb3d8d5b5ac_1659803993.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/82e0830f8611e84ee773a283ef04e7e6ad0c5747_1659803986.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0fb7647ac33666b645492a151100bbe43243d4a3_1659803995.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f025028beb677bc831531b109b8dd9f12e126ae9_1659803997.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/290553280e6653cc08f5d8fb923a45f47624af6a_1661255037.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,شلوار جین مردانه مدل LD55,"۲۱۵,۰۰۰",۶۴٪,۳.۵,https://www.digikala.com/product/dkp-6833798/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-linedot-cross/,"['https://dkstatics-public.digikala.com/digikala-products/23cd3f164220184a9e3b9e84f4fee1b282c5d6e5_1635004464.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/18fc355e936395b24117909c4362c484514d7b96_1635004459.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/600aa05cae388362138d6654f2bf0a523b7dbf16_1635004468.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/452050618322d8907a5f99e6a72e78b98d08fb54_1635004474.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/241955c05a7a7a02aa8be250ab09fa84b3bdc653_1635237023.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/73166be54769f234c99ad06ceb3332de2863900c_1635237045.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,شلوار جین مردانه کیکی رایکی مدل DIO 5001-01,"۲,۵۱۰,۰۰۰",-,۴.۴,https://www.digikala.com/product/dkp-9094611/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-dio-5001-01/,"['https://dkstatics-public.digikala.com/digikala-products/2ec32cd6d62ad80176fddf75dbafca596dc2838f_1659183450.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e14cf2adc7abeeaf48db9d0a5c94053233a269ce_1659183457.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/04ef7f409c6adc7700fc538cec75a28eb269e389_1659183460.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/824a3391c78349ed6a97a170f0be866a0edd04ad_1659183463.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/629af8394df5dc542e6ccc58df954dea963df5b7_1659183466.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dcf3b88daefdc2af6e45ab23739a68564ec582a3_1659504484.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,شلوار جین مردانه مدل POOZ-AB-T300,"۲۶۳,۰۰۰",۵۶٪,۴,https://www.digikala.com/product/dkp-7105290/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-pooz-ab-t300/,"['https://dkstatics-public.digikala.com/digikala-products/3e9abfb52913cfae0c1d2a2fe9bd32dc27bd40ba_1637229544.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/334b70a099dc3661b4c446b61cdee380220225d8_1637229558.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ae4fb39a4b780b518521c0519ba7e95546f6c04e_1637229559.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f66115d1646742e5b001111c5e52f5b3a02aa18f_1637229559.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/73166be54769f234c99ad06ceb3332de2863900c_1637229565.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,شلوار جین مردانه کوی مدل بابا کد 527 رنگ آبی,"۷۵۰,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-7119849/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-%D8%A8%D8%A7%D8%A8%D8%A7-%DA%A9%D8%AF-527/,"['https://dkstatics-public.digikala.com/digikala-products/30815a23d4d4d1225f7bc6bc351f0bd5f8bf34e1_1637403692.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c6d5cd6a6ab7a2f46b6284fb974c4c4e041bd034_1652858857.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
