,name,price,discount,star,link,images
0,کاپشن بهاره مردانه اسپیور مدل 2S18-24,"۶۲۷,۰۰۰",۶۲٪,۴,https://www.digikala.com/product/dkp-4668358/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%A8%D9%87%D8%A7%D8%B1%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%DB%8C%D9%88%D8%B1-%D9%85%D8%AF%D9%84-2s18-24/,"['https://dkstatics-public.digikala.com/digikala-products/44e726cf0eb0676b3644621eaea6b525b12df671_1615716977.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d688e89a2327115af1104d6093cbca1490f6bd36_1615716978.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a859485eb6e5051edd3a819aee0798d39042fa4d_1615716979.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/76b6badfbf91cec3411ef813f834a022b3563b84_1615716980.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/064bce262b9bde6787202926460fd6d873e2756f_1631106880.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9e93924b1696a160e2fd903a7a489a683c6bf5bb_1615716982.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e427d6499bbc749d43090c39cb04cdd51113fad4_1631106885.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e0a87e50b99addef6dec61c7f10c832498574459_1615716983.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6d8975b160c1e08c46878cae8ac3fc522a0b7a4c_1615716985.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/87a4073afceed453ca0d1797e88e4d758379637a_1631106882.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7c737770f46d580fb3b02711a781e492e8e56419_1631106881.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fe389fcdf24db17bb9a9606fece9ef34b6097409_1631106887.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5056dbd22ee9a08baa5b069e8addbc245f89d424_1631106890.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,کاپشن مردانه مدل S007,"۴۹۴,۰۰۰",۵٪,۴.۱,https://www.digikala.com/product/dkp-6632995/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-s007/,"['https://dkstatics-public.digikala.com/digikala-products/923246157357f2baf93e7265277818bb6306294d_1633372710.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b55a261c164c8a1ea485acb39b0b1f202406fc01_1633372712.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fd3488b3965520092b8ea0872c89ac2ff9f011de_1633372715.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/02235152f2c55cf8f55e393882b73f30a3852ca8_1633372716.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8eab6daf3db664a5c41ca8055a40d82fcac92680_1633372719.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,کاپشن مردانه مدل 111,"۳۷۵,۰۰۰",۳۶٪,۳.۸,https://www.digikala.com/product/dkp-6527368/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-111/,"['https://dkstatics-public.digikala.com/digikala-products/98935c426b9aff7a3946b74690286508b8cd387b_1632812939.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e77cebdf0cd9648b45b3dae015afa3c2d9111780_1632812944.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/62d0bb42ab4a3887fdb39d30fc89b36bdd73325b_1632812946.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/98a8570460b34442feae9a5acfae1506d54e25f3_1632812947.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/acc60a891b9700cf39c00e4f0b633a2b4afc3b54_1641845392.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,پالتو مردانه مدل سناتور ضد آب کد 005,"۹۹۸,۰۰۰",۷۷٪,۳.۴,https://www.digikala.com/product/dkp-7645086/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B3%D9%86%D8%A7%D8%AA%D9%88%D8%B1-%D8%B6%D8%AF-%D8%A2%D8%A8-%DA%A9%D8%AF-005/,"['https://dkstatics-public.digikala.com/digikala-products/b61f71fff7f9467efdabd8b1988095ed5af6af90_1643050708.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dd44cd8110822a51e7ee3307a56ee797062053da_1643050681.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/899458920814c1f4a7a812dc7b7b8eec68f3d73b_1643050697.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/62ad6bcfec143288aeda34949ef532b5fdce3357_1643050622.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fb7b90cd0c8c1c1be2df283601b86257cae110a9_1643640116.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b6666a4b92cedb727c72b01cc1c7a8b2cce53771_1643640118.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/242a06548dbaa0ebe68c6c9510d4c8231f3b8733_1643640123.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/305216b3c13c4f0512b1e6afd00141c78f07aa25_1643640131.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,کاپشن مردانه مدل کوهیار کد 1031 رنگ سرمه ای,"۶۹۷,۰۰۰",۲۹٪,۴.۶,https://www.digikala.com/product/dkp-7969519/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D9%88%D9%87%DB%8C%D8%A7%D8%B1-%DA%A9%D8%AF-1031-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/6cee24d6feaa20dda17635524ae97f2d04cbfaf6_1646038170.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/03f6f3152285642809e437319940c9029fa5524d_1662361291.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7aa524a7f58248b3fa751d6aa21bfe7786fa7dd4_1646038174.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/670d7e58d2af8d3627678ade1380ff6b75be010b_1646038178.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2741bd0e547ba503660b26b5e5ed6c1a099b7603_1653900626.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e943d59b8edfd1e4d858111606d9c9614c2ed907_1663045332.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,کاپشن مردانه چرم کن ا کد Q800,"۸,۷۰۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-3293409/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%86%D8%B1%D9%85-%DA%A9%D9%86-%D8%A7-%DA%A9%D8%AF-q800/,"['https://dkstatics-public.digikala.com/digikala-products/7aa8009bc87ab6d14f730ecc071670886b3503f3_1598304179.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ca799e168fffb85940a983f030693f732ce71fd1_1598304195.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0546def96b215b95020e7535d22a3141ef9b197b_1598304246.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b6576ecd385140fc8130ab9e33870cabf8f84be1_1598304265.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,کاپشن مردانه کیکی رایکی مدل MBB02755-001,"۱,۰۸۲,۰۰۰",۷۸٪,۳.۹,https://www.digikala.com/product/dkp-7191493/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-mbb02755-001/,"['https://dkstatics-public.digikala.com/digikala-products/8d8690458db24d97aa492ba1b0c6aaeaa0e28c42_1643197734.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/673f09d3ebabb07de501cb44d5ad2b545c4c3958_1643197739.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3980e660ea04b499bd689d2e15cde28e63082321_1638889928.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/71788d233ac0f731bc418bc011d7157c167a9f3b_1638889932.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ea447896ad2671d0c2de0e60bb2767a18c822277_1638889934.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/475d85503e3baa576b5e71be2a227a96d05b1288_1638889936.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c619b76d1c59276752f8154fb5ed240dbc48128b_1638889938.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/acd0b5c3580e3dd74eca2df3cc0e91a3bd7d569e_1638889940.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f2bb5ead2b42f0208def6b13f2dd41216756d5f3_1638889942.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/50369f778e391324c1abd5d6ad268d9ff763442e_1638889945.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,کاپشن مردانه مدل کوهیار کد 1031 رنگ مشکی,"۷۳۷,۰۰۰",۲۵٪,۴.۱,https://www.digikala.com/product/dkp-4412516/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D9%88%D9%87%DB%8C%D8%A7%D8%B1-%DA%A9%D8%AF-1031-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/5e352897f9a9a9bf297d4624c2f26addab8fe913_1612696177.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/afd6706a99b00d998c8387f16a844249c0cf3cf6_1612696336.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/67586ee714a88519498170367897d077d7db1866_1612696346.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c9f6897b706092a929797170573b588e8e3cde0d_1612696356.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/775e47ea67a05ff06e411235c70c39e77de93ee8_1612696368.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/18eeea02717366e05e16d43930488b192cbc5f8c_1612696455.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/30228897068c628c28be41156ce2e4a2c704a1c7_1643227467.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,کاپشن مردانه کلمبیا مدل دوپوش Aravis Explorer,"۸,۹۹۹,۰۰۰",۳۰٪,-,https://www.digikala.com/product/dkp-7761200/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D9%84%D9%85%D8%A8%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-%D8%AF%D9%88%D9%BE%D9%88%D8%B4-aravis-explorer/,"['https://dkstatics-public.digikala.com/digikala-products/7ae5c813eec25b81b7dd6598e961d3e5493e9c17_1643912634.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/be05bb3963d43ab84e3d1d309c8ea195b24c184f_1643912649.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fd6ec8b310650088643a6e4c6709bc64379278d9_1643912310.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/52cb7d15f727834d19acacaab9722c535babeedb_1643912566.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,کاپشن بهاره مردانه اسپیور مدل 2s15-41,"۶۳۴,۰۰۰",۶۲٪,۴.۲,https://www.digikala.com/product/dkp-4518106/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%A8%D9%87%D8%A7%D8%B1%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%DB%8C%D9%88%D8%B1-%D9%85%D8%AF%D9%84-2s15-41/,"['https://dkstatics-public.digikala.com/digikala-products/589bcfa39402a51635be8bcc972092a98c281192_1614002464.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/826f09b05a9bc8d5d97af945a64b6caa569dc519_1614002464.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1930495909ee55b23f2e3dce9b0cd914aa04304b_1614002465.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7c96ed205d8d1500eaa0f20eea383f08587dc181_1614002465.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1efcda47ca9d09b67cb313db3b1210a2c723077f_1614002466.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/da84c690f3c3ef56229d3327ae13cccb1e420282_1614002467.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6c1963d0dcf5e842bfa390d76ba4a4065e6275f5_1614002489.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/11f5f7a0f6ba9093446e99eadb63ce91429e5d3a_1614002469.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b85e27df8ff9e91c832bf2b2622f285b3029b688_1614173878.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c487d00dba2355d6b5d20d080f5c30da34f10e21_1631110101.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a65e8e3268f91ea8ff31196bcbf7a74c9e758104_1631110104.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fec79f011b1db6c6db5faa3cbff7ac4444569afb_1631110107.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9f676e16f2fb0fd0e12810a9f87f10e1c5bca9a8_1631110113.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
