,name,price,discount,star,link,images
0,شلوارک مردانه مدل چهار خونه رنگ قرمز,"۸۶,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-7520531/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%86%D9%87%D8%A7%D8%B1-%D8%AE%D9%88%D9%86%D9%87-%D8%B1%D9%86%DA%AF-%D9%82%D8%B1%D9%85%D8%B2/,"['https://dkstatics-public.digikala.com/digikala-products/6b2cd95d664745916b6708172bb7078150dc26a1_1641809311.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,شلوارک مردانه مدل نیک کد M,"۱۲۸,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-5449508/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%DA%A9-%DA%A9%D8%AF-m/,"['https://dkstatics-public.digikala.com/digikala-products/39cf7ed57fc21a1f6b1194d5cd49279371ad7001_1623574245.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9656795a3cbb39c2918ab44255251f80cd54a3b8_1623574273.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/87c7cbc8248d2900694f91ac36f9527ca12af5b7_1623574289.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9a3e10620720134e66cdd5bf1e2b29e9ec8cbcd7_1623574298.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e3b5f4c1695caa3031ce018a645fba7d295f280c_1623574308.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2f2ad36a3aa99a882f329bab359eaa6163b8a96d_1623574316.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ee89b7698672e4424887861ad7911b5dcafe26f3_1623574281.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,شلوارک مردانه زی سا مدل 153154007,"۱۸۸,۰۰۰",۵۶٪,۳.۶,https://www.digikala.com/product/dkp-5945258/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B2%DB%8C-%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-153154007/,"['https://dkstatics-public.digikala.com/digikala-products/ab0dbbbee4403ab8d3e95b3d3588f04d8fd885f2_1627907704.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e66bd369e4f5a67287f6bfe3f32c42e6fc4f6fca_1627907702.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8b77cd11ad991fc737bd45add659e1dcc3a5b53c_1627907701.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a8b990c441963d44b2fe404fb7bafbe96ac3529e_1627907695.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8b5612e990f511246a285612bb704cc0adb25549_1628673357.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,شلوارک مردانه مدل SMT1,"۱۸۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-4603943/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-smt1/,"['https://dkstatics-public.digikala.com/digikala-products/7bfc697af59cd8fb4f3de92451981fd61c436d6c_1614716854.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8e2346a8f03fe9cc04c491937c0db831d26e1012_1614717273.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/61d9d8cdb080e4222c3620f7ec6613c701cab189_1614717307.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/535c740a9084b5be1032a92e4fe29bbb9d2c9302_1614717302.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,شلوارک مردانه ایران مد کد r-20780 رنگ مشکی,"۱۲۶,۴۰۰",۲۰٪,۴.۲,https://www.digikala.com/product/dkp-9042844/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D9%85%D8%AF-%DA%A9%D8%AF-r-20780-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/fa11e611a863b89ff16f4a67497db3908d16d335_1658538740.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b6e3157926aa2a1392d7ac28fa5c5efea43e396c_1658538742.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,شلوارک مردانه لیورجی مدل 3131054 رنگ طوسی,"۱۵۵,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-5748834/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%84%DB%8C%D9%88%D8%B1%D8%AC%DB%8C-%D9%85%D8%AF%D9%84-3131054-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/cb9cc476739fb3d28877ac05909fb11e862d512b_1626214645.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,شلوارک مردانه آی ان سی مدل LIGHT MILKY,"۱۹۵,۰۰۰",۳۵٪,۳.۷,https://www.digikala.com/product/dkp-4707994/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%DB%8C-%D8%A7%D9%86-%D8%B3%DB%8C-%D9%85%D8%AF%D9%84-light-milky/,"['https://dkstatics-public.digikala.com/digikala-products/ca3c3e4e854cdf54c4372dcb409b52f7c60a0019_1615646084.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/22be5e6d1a40311b96052b64eb6c97a141d24bac_1615646087.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cba7e4dda5ba074bfe10189f2486e12664d96d40_1615709947.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fb74f4ff9789df2aa9036c6f0684a357869c4738_1615709948.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7e6ea87b06b718e7ee3253081c855c7019807654_1649520777.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,شلوارک مردانه مدل نیک کد A,"۱۲۸,۰۰۰",-,۴,https://www.digikala.com/product/dkp-5618956/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%DA%A9-%DA%A9%D8%AF-a/,"['https://dkstatics-public.digikala.com/digikala-products/014205d6b318d047852d921c88d605ef411e3804_1624894665.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/34ed14ab65d4838fec92794547f0ec7b388834b7_1624894676.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/38fbc711b2c57372f62542709b800d54c4df17c2_1624894808.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1f7d221898930f56138fd94a8e50e4238bf0bbe3_1624894733.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ee1a5e3c8fdc71ec78d781316ec028472d6b9bfc_1624894726.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/39b4fda57ae547fd1ece9c4b321eb299888c1c66_1624894728.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ee89b7698672e4424887861ad7911b5dcafe26f3_1624894702.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,شلوارک مردانه ساروک مدل MLBO کد 01 رنگ طوسی روشن,"۱۷۹,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-6981545/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%D8%A7%D8%B1%D9%88%DA%A9-%D9%85%D8%AF%D9%84-mlbo-%DA%A9%D8%AF-01-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C-%D8%B1%D9%88%D8%B4%D9%86/,"['https://dkstatics-public.digikala.com/digikala-products/f6f546f14d6474f7cbcc2c9bdc239b6aaf148c6f_1636436446.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ac1520b3292d50ea72ae198ae2f696a727f81740_1636436499.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c312ca49fecb9b929ae01bb0694bd0ced5f60a69_1636436452.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,شلوارک مردانه مدل جین کد RK-40274,"۱۶۹,۵۰۰",۱۵٪,۳.۴,https://www.digikala.com/product/dkp-7955157/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AC%DB%8C%D9%86-%DA%A9%D8%AF-rk-40274/,"['https://dkstatics-public.digikala.com/digikala-products/31c311014b5f23216c842668709135d1fa6e1cb9_1645887189.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/da2432504668e55df78d7ca35064262c3fcaa390_1645887192.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
