,name,price,discount,star,link,images
0,شورت مردانه اسپست مدل UPA-BB,"۵۵,۰۰۰",۳۹٪,۳.۸,https://www.digikala.com/product/dkp-5156271/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-upa-bb/,"['https://dkstatics-public.digikala.com/digikala-products/df83052641acdfb140978b51b686d251c3e3d2dd_1620834785.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,شورت مردانه اسپست مدل ASP-SLIPNW,"۵۵,۰۰۰",۵۴٪,۳.۴,https://www.digikala.com/product/dkp-8967445/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-asp-slipnw/,"['https://dkstatics-public.digikala.com/digikala-products/a8c2eb26ec2ac39f99561917fc5b64fa44c1d7a4_1657550292.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1a4f5fd51981b1543291e8f9608ac5c892b38873_1657550268.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7c62b99ab3813bc3ce565b285a83369572736177_1662105012.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,شورت مردانه اسپست مدل ASP-TMM,"۵۵,۰۰۰",۶۳٪,۴.۵,https://www.digikala.com/product/dkp-9369594/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-asp-tmm/,"['https://dkstatics-public.digikala.com/digikala-products/276f4efc9d534cacf2cc12c789ed66b44f78418a_1662290517.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1a5f51d7eb1d9feb15353889bff62c47f51c5068_1662290513.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,شورت مردانه اسپست مدل ASP -TMPA,"۵۵,۰۰۰",۶۳٪,-,https://www.digikala.com/product/dkp-9420085/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-asp-tmpa/,"['https://dkstatics-public.digikala.com/digikala-products/5ff2e18779751dc180b93fe802bd4694da18ae48_1662736924.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1fcb3a5f4e6e945e5c14cb50eb81231223e2856c_1662736931.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,شورت مردانه آوین مدل جعبه ای 01 مجموعه 5 عددی,"۱۶۴,۰۰۰",۵۳٪,۴.۲,https://www.digikala.com/product/dkp-7179803/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%D9%88%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D8%AC%D8%B9%D8%A8%D9%87-%D8%A7%DB%8C-01-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-5-%D8%B9%D8%AF%D8%AF%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/a7ad40f3c8d67928d2b586f527fcc92bbc9b2463_1638171309.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b1781ed53cdb02747225ecef68d0104f97991306_1638171449.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fe500b4383c7cdfc96f057e46bade1636a5161e5_1638171371.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/11b304cfd9e7940f3f1b676ea08bad8276cecdcf_1638171320.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/907700ce259c82bffdf080fe8de9f5dbc14c6694_1638171361.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b31ab648656e437e457cfbcd435f19a7bb148d66_1638171380.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/788d8960b9b8284a31efdda46a1d67c50b0e069f_1638171330.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a05c526e3c3644f6f6594b94316c2aad1c84311d_1638171287.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e486b0fd57f4ec23786c89a1a50ab962fd5f9d24_1638170435.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b17306a3cd3c275cbb23e54c4b7ec9bc5896165e_1638171267.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/76e6d31a29d84447cede5bc914399ee0059abb47_1638170469.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/246c31d8df3104b0bf0a10bef7d3e3c72940938f_1638171240.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/20560564f3f3eaa3a6d771eafb612142a38f50ec_1638171254.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/75988706d9e6d02b1e274d730c397c5a2ebe6e22_1638171342.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,شورت مردانه مدل نیم پا کد avn01 مجموعه 6 عددی,"۱۹۶,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-5409793/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%D9%85-%D9%BE%D8%A7-%DA%A9%D8%AF-avn01-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-6-%D8%B9%D8%AF%D8%AF%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/744a86c98730df8f5f8c4e73cdd5cd4d920d3669_1623185551.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/851f892bd01f776c48f40f5debdede51c01c210d_1623184712.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/30a6a12fbd07b2682a89b208ddf8d9706df016f4_1623184964.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6d6231f4c12c1a5270d237407861af4281225d8c_1623185044.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,شورت مردانه آریان نخ باف کد 1314 مجموعه 3 عددی,"۲۲۵,۰۰۰",۳۲٪,۴.۲,https://www.digikala.com/product/dkp-702401/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%D8%B1%DB%8C%D8%A7%D9%86-%D9%86%D8%AE-%D8%A8%D8%A7%D9%81-%DA%A9%D8%AF-1314-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-3-%D8%B9%D8%AF%D8%AF%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/3127392.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5242821.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/111328797.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public-2.digikala.com/digikala-products/111329675.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,شورت مردانه گویا مدل GA-32MAM23 مجموعه 6 عددی,"۱۶۹,۹۰۰",۱۵٪,۴,https://www.digikala.com/product/dkp-2918433/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%AF%D9%88%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-ga-32mam23-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-6-%D8%B9%D8%AF%D8%AF%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/121594268.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594271.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594274.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594275.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594276.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594278.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594280.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594282.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594284.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594286.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594287.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594289.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121594292.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bf456211639a6822887f25eeebc0104bf73b46d4_1641153951.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,شورت مردانه کد 111 مجموعه 6 عددی,"۱۲۸,۰۰۰",-,۳.۶,https://www.digikala.com/product/dkp-3618614/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%DB%8C%D9%BE-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-6-%D8%B9%D8%AF%D8%AF%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/38e648c3fa0d6eb5f38041ca0d88c083b9c70b46_1603660960.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/342153a613594ba70c9fc79e96169d0b593d96ea_1603660985.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bd2c134ff2f9be3100e8a4fe902b62dc00ad03ee_1603661006.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e8b47a43ce9a79b6e1e14a14ec34304fd1988f2c_1603661267.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/af6aeb4ebf704be743b9f87912a611d3e0c5d20a_1603661355.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/10dc9ee35c74650f07a65a8c197b77afd7a948c4_1603661370.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,شورت مردانه برهان تن پوش مدل پادار 17-04 رنگ مشکی,"۱۵۰,۰۰۰",-,۴,https://www.digikala.com/product/dkp-7520437/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%B1%D9%87%D8%A7%D9%86-%D8%AA%D9%86-%D9%BE%D9%88%D8%B4-%D9%85%D8%AF%D9%84-%D9%BE%D8%A7%D8%AF%D8%A7%D8%B1-17-04-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/8d35a7ef83377ccd903d45d05521fe5e1b16916c_1641808911.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d74447ccbc284769b3bdc869b3e2a46dbcafdac4_1641808915.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ffe0aada8c7c985fa1da0835391bf68bc4dfae22_1641808909.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3a172e249e8d3791e0ad41bafcb6328d44a82814_1641808919.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bc5d3c706e95c517f540471513451fb565cea4b6_1641808935.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a082107e5f4fe0e9efa9f22ff446252cda683627_1641808930.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
