,name,price,discount,star,link,images
0,پیراهن زنانه مدل Eyeful 2021,"۳,۹۹۵,۰۰۰",-,۴.۷,https://www.digikala.com/product/dkp-3274155/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-p-2021/,"['https://dkstatics-public.digikala.com/digikala-products/43671c5d3a905a6baf23f16170e8616ce10613a4_1598012511.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,پیراهن ساحلی زنانه بنیس مدل آنلی,"۲۵۸,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-8538343/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B3%D8%A7%D8%AD%D9%84%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A8%D9%86%DB%8C%D8%B3-%D9%85%D8%AF%D9%84-%D8%A2%D9%86%D9%84%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/de1c8e1eedaa391733a3c2063e3b2ed79c0b3686_1652877843.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a1abf5d4b4f67ce2cbd4399daaac292a4057f137_1652877848.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bb0f54a1de66c4fc6dae1f29262c603a17283d2a_1652877855.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,پیراهن زنانه ال سی وایکیکی مدل آستین بلند BO10357,"۱,۰۱۶,۴۰۰",۳۰٪,-,https://www.digikala.com/product/dkp-7597666/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-bo10357/,"['https://dkstatics-public.digikala.com/digikala-products/5ef2c5c5c83a180f29bb776dbbaf419db8ec1161_1642531124.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7fe1b8549c2a38c749720c57183baf30c840682d_1642531128.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9219a5ed3c0332f54a055d69a9817429ecdbd69e_1642531130.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/38d4dfc0c53c45f6ffb978b426976e2cfe9221e7_1642768493.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,پیراهن زنانه مدل دلنواز 1,"۳۶۵,۷۰۰",۳۱٪,۳,https://www.digikala.com/product/dkp-7958136/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AF%D9%84%D9%86%D9%88%D8%A7%D8%B2-1/,"['https://dkstatics-public.digikala.com/digikala-products/0a8cee2e973220deb362985a95ba574d40f9967a_1645935200.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0a8cee2e973220deb362985a95ba574d40f9967a_1645935205.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,شنل لباس مجلسی مدل Celadon کد Ak17,"۱۹۸,۰۰۰",-,۴,https://www.digikala.com/product/dkp-1088730/%D8%B4%D9%86%D9%84-%D9%84%D8%A8%D8%A7%D8%B3-%D9%85%D8%AC%D9%84%D8%B3%DB%8C-%D9%85%D8%AF%D9%84-celadon-%DA%A9%D8%AF-ak17/,"['https://dkstatics-public.digikala.com/digikala-products/116912053.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116912061.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116912066.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,پیراهن زنانه درس ایگو کد 1010018 رنگ قرمز,"۱,۳۸۰,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-2091710/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%D8%B1%D8%B3-%D8%A7%DB%8C%DA%AF%D9%88-%DA%A9%D8%AF-1010018-%D8%B1%D9%86%DA%AF-%D9%82%D8%B1%D9%85%D8%B2/,"['https://dkstatics-public.digikala.com/digikala-products/117620851.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117620854.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117620862.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117620867.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/121969559.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,پیراهن ساحلی زنانه مدل رنگین کمان 48,"۱۱۴,۰۰۰",۱۹٪,۳.۸,https://www.digikala.com/product/dkp-5654540/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B3%D8%A7%D8%AD%D9%84%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B1%D9%86%DA%AF%DB%8C%D9%86-%DA%A9%D9%85%D8%A7%D9%86-48/,"['https://dkstatics-public.digikala.com/digikala-products/19cb970bfbd3ca5913fea812559fc20424eb5fd3_1625283413.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/19cb970bfbd3ca5913fea812559fc20424eb5fd3_1625283416.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,پیراهن زنانه اسمارا مدل مجلسی کد 8200524,"۵۷۰,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-8200524/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-%D9%85%D8%AC%D9%84%D8%B3%DB%8C-%DA%A9%D8%AF-7975676/,"['https://dkstatics-public.digikala.com/digikala-products/4adeef36fa8beeaaa51925af59d7aa21fa78d6db_1649177657.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b73fc37403c382ff4fb85f40a93978ac6f906274_1649177658.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b8c5d7059b025eeff13ae5e091b10f9ee5b5379f_1649177659.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bee825ffb1b3e3841110a70731926fc9a9e0c9d1_1649177664.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,پیراهن زنانه اسمارا مدل DIGI364-2022,"۲۹۵,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-7831043/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-digi364-2022/,"['https://dkstatics-public.digikala.com/digikala-products/43801247cc583be70ffc5b24a99f34bb139daaef_1644505392.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3cb32ad20ad05f5d49dabca6e85780794750dd56_1644505396.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/38a50fbbb0dca979bbb1d838e2c25693b5fac0e4_1644506338.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8114d634286c3963941995325096943110d95ee4_1644569001.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,پیراهن زنانه مانگو مدل 31023574-52,"۳۸۰,۰۰۰",۵۷٪,۴.۲,https://www.digikala.com/product/dkp-3833861/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-31023574-52/,"['https://dkstatics-public.digikala.com/digikala-products/f5fd1120f2cc1164932997ab98e25ae2086e44ec_1606292379.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/caa91f9926ac27ed7f8569c2afa0976558d96692_1606292380.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/40db4a9e7ce820ca06bb5ebe8f51d146c69980f3_1606292381.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/37e8d212f7de91d43d602997cb019eeb29d61aff_1606292382.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b5c8966e2446afb57c0b42463b66ff8f84ae8351_1606292384.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b9f7d4073cbff2e038bdd11452be570e4f3c3a52_1636960647.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0d958eeef7dd59b89387bb0a16a461f9901129f1_1636960650.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/aa214ecd45534b2a7114e123121da5bf21ac5f8d_1636960653.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8224590d8cc4ba4c27c2ca873054787d5f10c870_1645618479.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d894e6bd3ddefb3c73acbe9f3e0b55994fec3c13_1645618459.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/11c4bb7db3cbc9d7dfd10ff6af0fe32ed8162cbd_1645618456.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
