,name,price,discount,star,link,images
0,لباس خواب زنانه کد T-901-02,"۸۱,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-2506067/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-t-901-02/,"['https://dkstatics-public.digikala.com/digikala-products/119499191.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/119499186.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/119499189.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,لباس خواب زنانه مدل Prenses-Z 07,"۵۸,۳۰۰",-,۳.۴,https://www.digikala.com/product/dkp-2084418/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-prenses-z-07/,"['https://dkstatics-public.digikala.com/digikala-products/113659872.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/114643058.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,لباس خواب زنانه کد 520,"۷۵,۰۰۰",۱۷٪,۳.۶,https://www.digikala.com/product/dkp-3011114/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-520/,"['https://dkstatics-public.digikala.com/digikala-products/122057418.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,لباس خواب زنانه شیک فام مدل TH1451 رنگ مشکی,"۳۵,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-8264217/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B4%DB%8C%DA%A9-%D9%81%D8%A7%D9%85-%D9%85%D8%AF%D9%84-th1451-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/799959ade45697cd9e9c63cf9657ad0846d7f173_1649844822.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8671300550fbc6dd161a8de922c781a75e79ac38_1649844796.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ae2cc0780ccbffdc6bfeb00d6598207e047080f2_1649844915.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,لباس خواب زنانه کد AD252,"۵۳,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-2510571/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-ad252/,"['https://dkstatics-public.digikala.com/digikala-products/119521801.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/119521802.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/119521803.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,پیراهن زنانه افراتین مدل گل ختمی رنگ سرمه ای,"۲۰۹,۰۰۰",۲۷٪,۴,https://www.digikala.com/product/dkp-8735054/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%DA%AF%D9%84-%D8%AE%D8%AA%D9%85%DB%8C-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/ff20affd33e818c52929a7e7e3da2310fb238611_1655101751.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/344cfed22ad1c4e61c55042ca67fb8ff926f65dc_1655101933.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/20bd3ededbb2ebb38ae58e8326b8af83c5a36a6d_1655101991.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/718cf9daa29cb6d9a5d61a70f733445300d9982a_1655102087.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,لباس خواب زنانه فیتن مدل 447B,"۵۵,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-955144/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%81%DB%8C%D8%AA%D9%86-%D9%85%D8%AF%D9%84-447b/,"['https://dkstatics-public.digikala.com/digikala-products/4489343.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4498629.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4498636.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4498632.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4498634.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4498637.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4498631.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4489344.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,ست سویشرت و شلوار زنانه کیکی رایکی مدل BB06313-005,"۵۳۷,۰۰۰",۷۰٪,۴,https://www.digikala.com/product/dkp-7195698/%D8%B3%D8%AA-%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb06313-005/,"['https://dkstatics-public.digikala.com/digikala-products/3c2d578914c852d66dbe23f12b383938941a67e0_1638861354.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d289f0cc782ed19b9b5cc77b2a2d39e3f805bb0e_1638861375.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c4388f4f9170362efe45cf4ab2a856061df891f5_1638861358.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ec56ffc30ea273d97f244355f9e736333acde9c5_1638861360.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/19ec025a589a13f717d4d4d37142ff506891020e_1638861362.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3569920314e9f63b8b651e7c68860a15debbe332_1638861365.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5f7034fc327da0b73276730824e37256c4563bee_1638861367.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/61ad08c394423420899df59813e70d1479eaf449_1638861369.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cdeca6ed5266afd85a31544d3a1e8d6df270741d_1638861371.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6c36ff3a38223090a390831941db1adad71e6d90_1638861373.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/98c0b41bf74d6710c9ce273ad855f875cdf40634_1639384094.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,لباس خواب زنانه مدل 9614,"۶۵,۰۰۰",-,۳.۲,https://www.digikala.com/product/dkp-757897/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-9614/,"['https://dkstatics-public.digikala.com/digikala-products/3433529.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3433530.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3433532.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3433536.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3433533.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3433531.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3433534.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3433535.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,لباس خواب زنانه مدل 136,"۵۶,۴۰۰",۵۷٪,۳.۹,https://www.digikala.com/product/dkp-4149122/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-136/,"['https://dkstatics-public.digikala.com/digikala-products/c71bc5217644f75045f695359d7092e472abda02_1609756766.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/11d936ea9a631fc77692874016e940276455e302_1609756761.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a4b6e8c5e32c08232f99933dbe8b6f0f3f2fb0ff_1609756762.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
