,name,price,discount,star,link,images
0,شلوار جین زنانه مدل مام استایل کد R-H,"۲۷۹,۰۰۰",۲۰٪,۴.۱,https://www.digikala.com/product/dkp-5014351/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%DA%A9%D8%AF-r-h/,"['https://dkstatics-public.digikala.com/digikala-products/e928cd8d0f3072b59a031ff1b8666027c3cd8a02_1619456724.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cea82aa5d61698b4d5dd26b990ba93445fc148c4_1619456734.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/29825ab74a4e129e5ec000d9ef377b23d4558e98_1619456751.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/665e32b4559117dc878cbd8e3135a1369ec684cb_1619456759.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6788d9f2b2b82b8d0f5759dde6f3958437e3822f_1619456716.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,شلوار جین زنانه ال سی وایکیکی مدل 0SC788Z8-507-MIDRODEO,"۳۰۶,۰۰۰",۵۰٪,۴.۴,https://www.digikala.com/product/dkp-9146263/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-0sc788z8-507-midrodeo/,"['https://dkstatics-public.digikala.com/digikala-products/b6316512254122d308571884a355ce446d72a2e2_1660367517.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/76607ee23819f6c16ffa375653dd0e2a42f178ef_1660367511.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/14a1027e1d7e0bf944c265ecfd1363efa651307d_1660367506.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a79931dc8439fccb35b07041dbda30824f1c48ca_1660367515.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2dbcf030701839b576c36923f4c6befa742c6500_1661163289.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,شلوار جین زنانه مدل نیم بگ V242,"۳۶۹,۰۰۰",۲۶٪,۴,https://www.digikala.com/product/dkp-8922297/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%D9%85-%D8%A8%DA%AF-v242/,"['https://dkstatics-public.digikala.com/digikala-products/3c67b99e26ddfadc66de7aa7f056fa85a906ca40_1656961121.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a1ea8432b18a68c18dd51f8d0519e502aa569a31_1656961146.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fb26b97d82aab8139350e885479fa850321be350_1656961136.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/efef30640e8c54f047a47a33acfcb45c1df9a9ac_1656961132.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/83557db82ba31c9b448949ff545db3e2173a05bf_1656961152.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dc04bc7d32fcdfe7d87bd77e7aeab4125d39ed3c_1656961160.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0a2a8179d1280c52707ec9ef712906019c10b602_1656961166.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/44ed984a26dc0962770364e780176c8c4e675751_1656961170.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f4fc3680d4f6b004b533a5eddeaaf86e45dbe130_1656961110.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,شلوار جین زنانه دیان مدل مام استایل کد 009,"۲۶۹,۰۰۰",۲۳٪,۴.۱,https://www.digikala.com/product/dkp-5710316/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%DA%A9%D8%AF-009/,"['https://dkstatics-public.digikala.com/digikala-products/e23c5b97c1ab2514b64002129f89ba9fe5ce2c9b_1625844578.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/04b0bb5b4b78e2789370c1d012131446fc8f52a0_1625844424.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/32d8c926ba4575c98af8cc29c11a9d0339132ca8_1625844393.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/936de91dd75d5a3872208d8692fe90923d68432c_1625844401.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f81746c82102d73a7ab5e01ef037f2938c647313_1625844408.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9a2dd4ba6eba8e025e7303a8f2b075d6652f97f6_1625844414.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/92129a2951c5b986f19f04415c6a00c314b47173_1625844418.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,شلوار جین زنانه مدل مام استایل کد V-H,"۲۸۴,۰۰۰",۱۹٪,۳.۹,https://www.digikala.com/product/dkp-5035127/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%DA%A9%D8%AF-v-h/,"['https://dkstatics-public.digikala.com/digikala-products/ea0ca84cd13a0d9eb8940b6c0395b075f07bc462_1619627819.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a33bde63195cb0ae9ee6d5c14e021a420cbc37ea_1619627826.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9eea29f7c0c62236e94a96c70991d76b4c602ab5_1619627835.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e939184f3f82508ef1d0fa6173d58583d874174d_1619627840.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,شلوار جین زنانه مدل مام بگ,"۲۸۴,۰۰۰",۲۹٪,۳.۴,https://www.digikala.com/product/dkp-8698914/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A8%DA%AF/,"['https://dkstatics-public.digikala.com/digikala-products/034542819d4139a01cad1a014abaf1a8a4ba1640_1654715012.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/63265eef79f1821d92df113d23174ad4d6505bdd_1654715015.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cfd49dd669562d64d0c7991c29f6f2da861abc33_1654715019.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/74ffff891c17aa9d5d3e234446a3c689a0b597b0_1654715039.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a5bab6d017b2354d99ecaebcb6a36b40f0c27ea8_1654715052.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/408355fc164123c8e51f9a9df8fda6627606a4fa_1654715055.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/89753c0bba8c24cefc147bd6498954c3ae83c324_1654715056.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/99da41dc56b91dde76a58da349feca4408e9ecc4_1654715057.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,شلوار جین زنانه دیان مدل مام استایل کد 007,"۲۷۹,۰۰۰",۱۵٪,۳.۹,https://www.digikala.com/product/dkp-5691929/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%DA%A9%D8%AF-007/,"['https://dkstatics-public.digikala.com/digikala-products/21f1be4b98fd23469d8d30804aa0bc2f89b09260_1625593831.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/239c0e554461072fd9eaa637f224fcdd85a8d69c_1625593840.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3dab1b6d9a9c23a65776df019541591751f8dadd_1625593846.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d8046bdabb452443c9e936de4d8f6803062c4890_1625593820.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c01b4dbf9b9be44d1addbf362e413c88f521fb32_1625647060.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,شلوار جین زنانه مدل بگ نیل کد 22,"۲۳۰,۳۰۰",۵۱٪,۴.۳,https://www.digikala.com/product/dkp-8862929/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%DA%AF-%D9%86%DB%8C%D9%84-%DA%A9%D8%AF-22/,"['https://dkstatics-public.digikala.com/digikala-products/483ed4e6e3c8fc54815c683de956264deb9ab398_1656337865.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/59dd76ab63ba926da35a1e0edb66afdb25867a5f_1656337866.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/964cf9fe6062242336670ce24236b0d7d826b468_1656337867.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9baf76a41d2d545b05e5c3b5b24619ad819989ce_1656337869.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e4130be0f7d431123a457adb1645d9713415ce53_1656337870.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4639a1af67f2bc92ce0900dff492b5f0f0cc3f09_1656337870.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/20d3672cef309689abfb3e7389683141da610371_1656337873.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,شلوار جین زنانه مدل ۰۱,"۱۸۴,۰۰۰",۲۰٪,۴,https://www.digikala.com/product/dkp-3387227/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DB%B0%DB%B1/,"['https://dkstatics-public.digikala.com/digikala-products/a747e7c4323020b4ece490686c460780f3b4cef3_1599982392.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b7578fd62b55184f4b9612e1bdc1ac7fea05c4ce_1599982394.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cd27cff76655ac25c04b5b48b7eadce063275e17_1611733338.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,شلوار جین زنانه مدل مام یخی,"۲۱۶,۰۰۰",۴۶٪,۴.۱,https://www.digikala.com/product/dkp-8463201/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%DB%8C%D8%AE%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/fea4b265b71bc122096af7b1b8430e94d1631832_1652029661.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7ea58ec1879859439bcad54db32d0a47d6b853aa_1652029662.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2ad6ec4aafcbf8806b6020063002798f952c69b8_1652029663.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8b17d4822b6e3cba5998f635fd21ec2467287574_1652029664.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9e9c75e62eab6a85ed5a4a917edbc8e3e4b655c0_1652029665.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0187ef45a7dc927f9c21fe96e0812607af60536c_1652029666.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e278ce641bed21278888982eb66dc3ae1ae09072_1652029668.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
