,name,price,discount,star,link,images
0,پلیور زنانه مانگو مدل 33023565-J3,"۱,۲۰۰,۰۰۰",-,۳.۱,https://www.digikala.com/product/dkp-3835349/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33023565-j3/,"['https://dkstatics-public.digikala.com/digikala-products/a240c709a9105f23c43ecb5f9e76ebe00898a069_1606214413.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a35fa0fad8a446f79f47bacf3be66482e3bca0b0_1606214416.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/73c6413cf9489136ca1dbd1c7756d7ffeb3d918c_1606214417.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2e25dfa29f58e6efa1f03de57d3bfc3bbe2c5aee_1606214419.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/78fc495fea8cbc39f47a4b92d9be14124ec64a7f_1606214421.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5b03736f8dfcb554529bf2cbc48bdb2cfcbe1dd0_1631788323.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3da0b4e9c122604c6311345ed49d4e0056b2be01_1631788325.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,پلیور یقه اسکی زنانه کوی مدل 687 کبریتی رنگ شیری,"۳۷۰,۶۰۰",-,-,https://www.digikala.com/product/dkp-8109488/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%DB%8C%D9%82%D9%87-%D8%A7%D8%B3%DA%A9%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-687-%DA%A9%D8%A8%D8%B1%DB%8C%D8%AA%DB%8C-%D8%B1%D9%86%DA%AF-%D8%B4%DB%8C%D8%B1%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/98e2f39c6574ef59eeadd01e5d2f91c11f75dc9a_1647338453.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e7f2fdac97274c917092173690179dd20d3df302_1649667690.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c0948e07c639e7b92f3401137ee78910d04caae8_1656918972.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/36d32d3bdaf2aa63bb7dea0ea315ad10f1ed537c_1656920506.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3950700febb0265fcd7928982c3ca3ff43d7919c_1652856642.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,پلیور زنانه مانگو مدل 33017566-B2,"۷۱۰,۰۰۰",۵۰٪,۳.۴,https://www.digikala.com/product/dkp-3834447/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33017566-b2/,"['https://dkstatics-public.digikala.com/digikala-products/0dc91f58083fb4236f406a24260cb5477e5978b0_1606297983.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/44260067a45fc727a0772ff67532b107a4730fdf_1606297983.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e5116db3689008fce9a0d1a7a667a6bc4008315d_1606297984.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9c86896073443971c041e115d3c4d07c32291cb2_1606297985.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1d71e621a2a8a363a2ebf7b4656b3779e2edf812_1606297986.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,پلیور زنانه سی اند ای مدل راه راه 011,"۹۷,۲۶۰",۶۵٪,۵,https://www.digikala.com/product/dkp-7337618/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C-%D8%A7%D9%86%D8%AF-%D8%A7%DB%8C-%D9%85%D8%AF%D9%84-%D8%B1%D8%A7%D9%87-%D8%B1%D8%A7%D9%87-011/,"['https://dkstatics-public.digikala.com/digikala-products/2676ccb5055fe1dba8ff0823fb45850ab50abff1_1639674952.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a47c7386eeac9608ed207cf0e91d4c9231d4d687_1639925986.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/51b3aeebabc5fcc6ad484bf5c82145cb2b11987f_1639925991.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,پلیور یقه اسکی زنانه مدل بافت ساده رنگ گلبهی تیره,"۲۲۵,۰۰۰",۱۰٪,۵,https://www.digikala.com/product/dkp-7849023/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%DB%8C%D9%82%D9%87-%D8%A7%D8%B3%DA%A9%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%D8%A7%D9%81%D8%AA-%D8%B3%D8%A7%D8%AF%D9%87-%D8%B1%D9%86%DA%AF-%DA%AF%D9%84%D8%A8%D9%87%DB%8C-%D8%AA%DB%8C%D8%B1%D9%87/,"['https://dkstatics-public.digikala.com/digikala-products/cfd6cbded31e2303c60691018c7db37202a969bd_1644681739.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,پلیور زنانه سیدونا مدل SI02174-055,"۷۳,۰۰۰",۶۳٪,۴.۶,https://www.digikala.com/product/dkp-7691424/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-si02174-055/,"['https://dkstatics-public.digikala.com/digikala-products/a4cfd898fb5db750ab375bb74a6cdff04e3e274a_1643525275.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fc4da4603359397c80d72e601f91b8f403ee1fa0_1643525282.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f9dd8f4e30b75395e5a78e473c41bc7c8e32b1a3_1643525285.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/33a9b85b5813a7058390213f6ac2b5b0a1353f99_1643525288.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cf8c682ee0f243eb9c3eb44dda3a0d0e4a113901_1643525293.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8457db44a011ede4a2c4a11e7b8cfb47a4032906_1644759572.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,پلیور زنانه مانگو مدل 33023565-48,"۱,۲۰۰,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-3834422/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33023565-48/,"['https://dkstatics-public.digikala.com/digikala-products/a20289756b5c19531bf2fcd22e30b0e740719829_1631790375.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/078ba33e158110ed7580ef6c339bbd4c103b5967_1606220015.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5516ca51837d45ba1a7f8f513e4fb3c581b2c73d_1606220018.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/76034231635d6fa264e78687a3e7a628cb1586ec_1606220021.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bd01d744487d43d9f62bd26ddf75e28ea3f7a751_1606220024.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8d738089e7635e3327850a1fef6723b119d43dd9_1606220025.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2418ce760bdf63776a8cb204c737633d2e6f1640_1635666250.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,ژاکت زنانه وینکلر مدل W0614040KN-WHITE,"۷۷۸,۰۰۰",-,-,https://www.digikala.com/product/dkp-7128282/%DA%98%D8%A7%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%86%DA%A9%D9%84%D8%B1-%D9%85%D8%AF%D9%84-w0614040kn-white/,"['https://dkstatics-public.digikala.com/digikala-products/88f4ca43fd89e3de05269802e8078fa574b278d0_1637740905.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a90d872e64db54317ca0393bd51c915a1ab1a849_1637740890.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4bcebf4680ae793884f8b04a2df5a9601552c495_1637740896.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bb92cb03adfbc0116c45725b12784e67ffad5eb6_1637740898.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f5c1295642920797e3371c8f2bd9d6545a8c8b12_1637740903.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,پلیور زنانه نیزل مدل I038001166209169-166,"۲۴۴,۰۰۰",۵۲٪,۳.۸,https://www.digikala.com/product/dkp-6680794/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-i038001166209169-166/,"['https://dkstatics-public.digikala.com/digikala-products/d1834489ba7d503fda2d2cac4f0966bbadca6448_1634554474.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b71f2cdcb8b255bd7bcf885e56a972a5f093f145_1638341935.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/01696b875b24a5e1af7aa66dcd64058d242bb8aa_1634554479.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f4c56cf2cc3657bcf8059cac49d818260c76861c_1634554481.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6f8fbd482f9075b9cfb95f63a4ee55ab3a58f768_1634554483.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d40b3c3833b25364bef865edf87930a04e61f71a_1634554485.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a2b7b1500e55dc3b26496e26b98f7ffdb45c2c4d_1638341902.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/858c71c573e01b72155fe14da32d28c48c677af1_1638341905.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3a3debd1b4aa04e768ca10ae69257312af8d8674_1647248301.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,ژاکت زنانه اسمارا مدل 8989,"۱۷۰,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-7759168/%DA%98%D8%A7%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-8989/,"['https://dkstatics-public.digikala.com/digikala-products/1e7f797cc6152bc7bb3c237c496972bc4131c237_1643898139.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
