,name,price,discount,star,link,images
0,کاپشن زنانه السانا مدل باوان کد 108381,"۵۲۸,۰۰۰",-,۴,https://www.digikala.com/product/dkp-7439034/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%A8%D8%A7%D9%88%D8%A7%D9%86-%DA%A9%D8%AF-108381/,"['https://dkstatics-public.digikala.com/digikala-products/7f87bf2350954913c37ec2672c388d7a67afe123_1662446781.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/84edeefc3f44a9475786ce6b899fbb42a1ab92e3_1641040426.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d9a1f493573e2563c3cb5c46d21f2fd300d508db_1641040411.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/10589be115680bf30efe64de282569ea969650be_1641040454.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6992c99a5d689dfdb3e6e232ca52eb363b4d0de8_1641040471.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c5931f2c4f32ea7507c6f98f225f2bb84ca3382a_1641040484.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/014320f7dd57af15cbc8cd6892980e78e5a20351_1641040504.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,کاپشن زنانه السانا مدل چیکا کد 108401,"۵۴۸,۰۰۰",۱۴٪,۴.۳,https://www.digikala.com/product/dkp-7282152/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%DA%86%DB%8C%DA%A9%D8%A7-%DA%A9%D8%AF-108401/,"['https://dkstatics-public.digikala.com/digikala-products/918ce16ae01518982fcf9af1e272b391da18ab80_1658744500.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/420ee46fcb7e50a072901825d5669ec2f121f42f_1639224540.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d1263c84814a461a65928b35a0ff5d0e9cc49cbc_1639224586.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a08ac10f79215b24cbe1dcd5dedaf349d85eca72_1639224600.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9ec0bf7fdbadf50b76c3ecade0cbd513a39ec920_1639224615.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0a69052f671f1d4dc783b79c89d7cb2f688a1569_1639224635.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,کاپشن زنانه السانا مدل شانلی کد 108537,"۴۵۸,۰۰۰",۱۳٪,۴.۴,https://www.digikala.com/product/dkp-7314713/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%B4%D8%A7%D9%86%D9%84%DB%8C-%DA%A9%D8%AF-108537/,"['https://dkstatics-public.digikala.com/digikala-products/06717c12f14cbefc5c53082f7cece412966adf1a_1658314083.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c5a1ed9918711c02e88f03290287e50d86421c94_1639482542.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6729d538e70a324e79a52956ad4bc7bf6064013e_1639482587.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e447eaa3e9b4253d56e6f49330ba57056cfca1cf_1639482621.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d7733d0cc678e903c4a85ca11132c045a91474ee_1639482664.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d97000e60351fab24c082d4b93d6caa997114ccc_1639482723.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,پالتو زنانه السانا مدل امیلی کد 100102,"۴۳۸,۰۰۰",۱۲٪,۳.۸,https://www.digikala.com/product/dkp-6328541/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%A7%D9%85%DB%8C%D9%84%DB%8C-%DA%A9%D8%AF-100102/,"['https://dkstatics-public.digikala.com/digikala-products/8aaee9be3e3a7d26d1f90bd06e13bdac4f1a9df4_1630836270.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e82be805681e4112311b35d9d43e2e39e6d57909_1630836463.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/81160164678e274c035a7c9778e224276e26c037_1630836675.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a2751b07212ce0be40aeabccc6086d8300d13ec7_1630837155.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/caaa9bba4efdb44ab868df90819c37fa0867d313_1630837239.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,پالتو زنانه زیبو مدل 011416-PINK,"۱,۲۰۰,۰۰۰",۵۰٪,۴.۵,https://www.digikala.com/product/dkp-7224644/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B2%DB%8C%D8%A8%D9%88-%D9%85%D8%AF%D9%84-011416-pink/,"['https://dkstatics-public.digikala.com/digikala-products/52f0251112848e790bc20c1822aac2c69743b2b5_1638619162.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/729e2975c19df64dae309a7005ad165b82ff7563_1638619164.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b7d82aca9b1c9f07e8d702e46fb969fc3f908a30_1638619165.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a0d91c6afd7161f44cc4767792c4a5f95cf46b6c_1638619167.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d16f5ee6e3a14390f9c20a525b1cc0d7f0a09af1_1638619168.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ea7be33e10ce7ac2485cb2ef23334c4ee4a481dc_1638619170.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,پافر زنانه السانا مدل آیرال کد 109801,"۴۱۸,۰۰۰",۱۴٪,۴.۵,https://www.digikala.com/product/dkp-7502954/%D9%BE%D8%A7%D9%81%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%A2%DB%8C%D8%B1%D8%A7%D9%84-%DA%A9%D8%AF-109801/,"['https://dkstatics-public.digikala.com/digikala-products/ca769af472af8f744946aceb3e1d04ffec8e861d_1662020296.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/022a3837eff0ed871bbe168f541ee0da5e67052a_1641714445.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/32cca7351262f256b8553fe86d6e4752b9654e05_1641714452.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a3476d741491e1e5c8c19ddb99462fc18c88d0a0_1641714537.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6c307e4ec668678aa38254f19b438ad619148086_1641714560.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e4cd5475839de52c29d213b541201384240e6829_1641714581.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,کت زنانه نیزل مدل P052004133040058-133,"۲۱۶,۰۰۰",۶۰٪,۳.۹,https://www.digikala.com/product/dkp-7064997/%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-p052004133040058-133/,"['https://dkstatics-public.digikala.com/digikala-products/bc89ad1ceba45345e1b88683336baf179898427e_1637155009.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c33763105eaa027f4b2e45a02f74ec7bed66764a_1637155016.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1489195d3281c8725a9a0cc9e341de4f66629f48_1637155019.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d6dc7055c8595c0b23aa88f05a563586605b36f9_1637155023.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/af1810052baab9aaeef5f63e68e2add40e9356cd_1637155028.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3a3debd1b4aa04e768ca10ae69257312af8d8674_1647166917.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,بارانی زنانه السانا مدل یارین کد 103716,"۳۷۸,۰۰۰",۱۴٪,۴.۵,https://www.digikala.com/product/dkp-6454318/%D8%A8%D8%A7%D8%B1%D8%A7%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%DB%8C%D8%A7%D8%B1%DB%8C%D9%86-%DA%A9%D8%AF-103716/,"['https://dkstatics-public.digikala.com/digikala-products/1b251499e5e7f3c368ac8a9adde114bd3806cf9b_1658390034.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8dbe022c941ffec1532b8ff4a14b3f74e0ae469d_1632124834.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ec393d35284859c49116865d599c693828aff368_1632124841.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1d2b6e560b9add87e5b45b8ce1b5ab98dc4312f1_1632124849.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c3671cc62f21b77b947067aa240649dc76cfabb3_1632124798.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a7276499710f823f80d9a15fa2ce52540e06fd1f_1632124792.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,بارانی زنانه السانا مدل طنان کد 103054,"۲۷۸,۰۰۰",۱۵٪,۳.۳,https://www.digikala.com/product/dkp-6305725/%D8%A8%D8%A7%D8%B1%D8%A7%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%B7%D9%86%D8%A7%D9%86-%DA%A9%D8%AF-103054/,"['https://dkstatics-public.digikala.com/digikala-products/385e903500a471535f4892708250378cf16c5a34_1632125313.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/86d340dabc9f468817e60c6550d0142aeaf93741_1632125306.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/25a787129ce32d7e597382929847650412f3fdaf_1632125320.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4d3294ddd0546ec1efb3905e2305889887c4c076_1632125325.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/06ccf865486c41a44df915b0e94d103599d50a27_1632125331.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,بارانی زنانه نیزل مدل P042005156140057-156,"۴۳۰,۰۰۰",۵۱٪,۴.۵,https://www.digikala.com/product/dkp-6948710/%D8%A8%D8%A7%D8%B1%D8%A7%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-p042005156140057-156/,"['https://dkstatics-public.digikala.com/digikala-products/d3237ca0ac32e90159feefeddff33ab7075b7474_1638179039.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9408911639b57f0ee81871b86b5734dfad6ae5a8_1636551252.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4406f16e68110a7cf167bc6699ed8425a4204339_1636551257.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a36754a7669e8fd38da7980279907cefbd703952_1636551259.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a37d7bd6d96e90ea788710f49f94aad518baf4b3_1636551262.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5818b7cc8fc1a4326e07ea0c4a70f0c564bf0882_1636551267.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3a3debd1b4aa04e768ca10ae69257312af8d8674_1647167085.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
