,name,price,discount,star,link,images
0,بلوز زنانه کیکی رایکی مدل BB2496-010,"۳۹۰,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-8821691/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb2496-010/,"['https://dkstatics-public.digikala.com/digikala-products/833f32f1a07273d55c1e56f0167528661e895def_1656147191.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e0e8f0bae1f0f07227b0cc45e37c99a28474df3f_1656147197.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/500541d0827d6c53a67a85b7d8f5af2798e3642a_1656147195.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/414672afde5980ef1a704c48ef4a4ca48fc426c8_1656147189.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c4727041297ee5566fd1c6ab611447ecbe46c802_1656147198.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/64930c6dc4d5a7ff2b7cce653332a4953439d069_1656219823.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/721fa60694024f12c232c2732c2030b55a28c1d9_1657645729.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,بلوز زنانه مانگو مدل 33005510-02,"۳۸۰,۰۰۰",۵۷٪,۳.۵,https://www.digikala.com/product/dkp-3833770/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33005510-02/,"['https://dkstatics-public.digikala.com/digikala-products/6596e11a5bc8d58c468f83b778707402d20879bb_1606214194.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/aab1a8d486b1e3319e5cd3d011b13d7552943af1_1606214199.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5b5447a7c93fe40b23e0bb6e65d5a76cb3c8335a_1606214198.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f5c315dcbfe2c1a4da5891f431f8d50953609026_1606214200.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a49f239ad7fefa0069866a251d4dff8e1f682951_1606214203.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,بلوز زنانه کیکی رایکی مدل BB2496-016,"۱۳۶,۰۰۰",۶۵٪,۲.۹,https://www.digikala.com/product/dkp-8533904/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb2496-016/,"['https://dkstatics-public.digikala.com/digikala-products/583fd728a86f7d8197402eb60639985dbc5966eb_1653117806.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9a72294f1d1883cdb68c2c76b02f68e8f364ed5e_1653117808.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1b18a8dacf105317055e0e0d8a6d6dff6026e030_1653117815.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7d08a12fee4ca34b4d9b5c184236cf3a5120f747_1653117817.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/18e13fbd1558e77085350616cfadcb4676ae4cbb_1653117821.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/64930c6dc4d5a7ff2b7cce653332a4953439d069_1656219829.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,شومیز زنانه مدل RZ-ARSA82039-SHO.RA-TOO رنگ طوسی,"۱۲۰,۰۰۰",۴۳٪,۳.۸,https://www.digikala.com/product/dkp-5656232/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-rz-arsa82039-shora-too-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/cbafc4786f7c53e91aea0a5fe1689f4e7d992841_1625298390.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/502c44759fc94191251ac50799d8045aa0c1e344_1625298393.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,بلوز زنانه کیکی رایکی مدل BB2496-017,"۳۹۰,۰۰۰",-,۲.۹,https://www.digikala.com/product/dkp-8821692/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb2496-017/,"['https://dkstatics-public.digikala.com/digikala-products/2028ccd4ca9b0705a234b3fa79b8b0eeb2f1c494_1656147273.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4b69f5d85e60cf55a0a989ce0b4782df1ee1c031_1656147278.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bb84e5851a97be55deb15f26d479ea1e9f49171c_1656147276.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2cce22c5f122e49cb4118b8fe02296cece102b40_1656147280.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8235a58775e5eceaa6ee4e0377bce407f8863713_1656147283.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/64930c6dc4d5a7ff2b7cce653332a4953439d069_1656219819.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b8b3d81c803486a72c5849e8648619a4c8387b37_1657646020.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,بلوز زنانه کیکی رایکی مدل BB2496-024,"۳۹۰,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-8821693/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb2496-024/,"['https://dkstatics-public.digikala.com/digikala-products/dc9df6f0c277fe8ae6dc13c65b4310f9df86914d_1656147243.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e352bb9dfe63620b0b03d52031c1f62e965880a7_1656147239.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/99e2b7aad63cc403e8426279f66d0b7ce2ffd7e2_1656147247.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8d410206427bbee17a6b048d70b4112a935b3f60_1656147241.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a1e655e8a93f5b819319960d4298a763b63ab0d6_1656147249.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/64930c6dc4d5a7ff2b7cce653332a4953439d069_1656219816.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/95e2ee3fe0260f20b14c67f4bc8cdfa498c3b7b7_1657646326.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,شومیز زنانه السانا مدل لونا کد 116822,"۱۷۸,۰۰۰",۳۴٪,۳.۸,https://www.digikala.com/product/dkp-8588307/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D9%84%D9%88%D9%86%D8%A7-%DA%A9%D8%AF-116822/,"['https://dkstatics-public.digikala.com/digikala-products/d3a2cb3de418501fa4785b116e5e5a514d0fd4db_1653387766.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4f8f45a345ec35325a4153779a5ddc409de76d76_1653387960.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/aa6d51044ac24438b59c4d245baa19be04871584_1653388015.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c61ddc230f941ba4a0120cb4fc5b033d987821f0_1653388419.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/088863c132ddb3721d5c9111a2c964476f3df270_1653388543.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,شومیز آستین سه ربع زنانه مدل بهار,"۷۹۱,۱۲۰",۳۸٪,-,https://www.digikala.com/product/dkp-9188341/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%B3%D9%87-%D8%B1%D8%A8%D8%B9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%D9%87%D8%A7%D8%B1/,"['https://dkstatics-public.digikala.com/digikala-products/f0cf65b80d95e477c6b0475690c867e85bfc1cba_1660389121.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e720eefe2ddd65fc411dc2960de5fad713349821_1660389126.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/74891168a76f56495ec9308c9008f00d45dd5d73_1660389131.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ff7ea167cb601670664064c697519c4debfc84bc_1660389136.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ff5ed19396fb0042354ab153093a9965abb383e7_1660542727.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,بلوز زنانه مانگو مدل 33005510-M1,"۳۸۰,۰۰۰",۵۷٪,۴.۲,https://www.digikala.com/product/dkp-3833772/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33005510-m1/,"['https://dkstatics-public.digikala.com/digikala-products/9a5475d79735b4fff899f3940199767c6865990b_1606213141.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2139ae901f50c8513465940e0b7238ff11f5c039_1606213144.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cbcd0f827e368cd1b9b6c49edc6788e3a9633f02_1606213146.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/55f4e221e42c1b0a32e13ac0036d71bf49bde296_1606213148.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dbab494199ebd8f0b8156d94e185b4f3012aafee_1606213150.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,شومیز زنانه برهان تن پوش کد Z01,"۳۶۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-2832190/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-z01/,"['https://dkstatics-public.digikala.com/digikala-products/808d178f846b2544d3f10df628d0f514997fecf6_1596111049.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/801fa25fc211d55d7e743f71caeef8ccee961668_1596111047.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
