,name,price,discount,star,link,images
0,دامن زنانه مدل روبینا,"۳۱۵,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-4680873/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B1%D9%88%D8%A8%DB%8C%D9%86%D8%A7/,"['https://dkstatics-public.digikala.com/digikala-products/f7612749a8ff6d0ced92f614fb80b8a3a8dc951b_1615387921.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6bba8a685f4ef72ca69c2140443943e3511389b1_1615387916.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/04ed03cb770988b0f40514d416381151710ea510_1615387949.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0400ae899653b0058005d532653717032a60ea12_1615387917.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,دامن زنانه اسمارا مدل 320829,"۹۹,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-4997297/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-320829/,"['https://dkstatics-public.digikala.com/digikala-products/d3f6a1081c789b6245cf8243c6621a2c6a098aeb_1619503722.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d3f6a1081c789b6245cf8243c6621a2c6a098aeb_1619503734.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bc1f7d5739b1b0745e87cb2dd4b217cad09f05bd_1619503736.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2ffd88459913d3c1ea262547191f4c4988e727cd_1619503737.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d9a848d89503e8b8063dc32485bf805819105a1a_1619503739.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,دامن زنانه اسمارا مدل LS141,"۱۳۹,۰۰۰",-,۴,https://www.digikala.com/product/dkp-7787696/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-ls141/,"['https://dkstatics-public.digikala.com/digikala-products/a13089d9d6c0a03d4f533abee6f5330032a64d75_1644146152.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2ad80847f9d2a39e72cd4186f519a018e68577fe_1644146157.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5d1b78aafbebb97f3db202d7b0a22067e4668a0e_1644146209.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,دامن زنانه اچ اند ام کد 0789,"۲۱۰,۰۰۰",۴۲٪,۳.۶,https://www.digikala.com/product/dkp-3647420/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%86-%D8%A7%D9%86%D8%AF-%D8%A7%D9%85-%DA%A9%D8%AF-0789/,"['https://dkstatics-public.digikala.com/digikala-products/357aff193a8d203bf8b3fe3605a952a3546a3145_1604079873.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,دامن زنانه مدل تور روبان دار,"۳۴۹,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-8132049/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AA%D9%88%D8%B1-%D8%B1%D9%88%D8%A8%D8%A7%D9%86-%D8%AF%D8%A7%D8%B1/,"['https://dkstatics-public.digikala.com/digikala-products/699ed2db4a4405fde9c0735d71df3176c742061e_1647590413.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,دامن زنانه مدل الی 2,"۱۸۹,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-5729853/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D9%84%DB%8C-2/,"['https://dkstatics-public.digikala.com/digikala-products/864f74f9db5aa5b998d97ed832fd15e4d6984c5c_1626029058.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/14da143853deb5a576b7166b6d4632d5fce9812f_1626029081.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,دامن زنانه مدل نخی کد a.2,"۱۷۱,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-6761439/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%D8%AE%DB%8C-%DA%A9%D8%AF-a2/,"['https://dkstatics-public.digikala.com/digikala-products/074d8b84a852c9c2e685ba8a1e2a12deb5a2f726_1634330707.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0d2885a7e466e750e1dde48f514fd0e854e77248_1634330709.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/30874f4cbaa062543be82f255cd6059fe9f12132_1634330711.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,دامن زنانه سرژه مدل 210173-MC,"۲۳۷,۰۰۰",۴۰٪,۱,https://www.digikala.com/product/dkp-6053404/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%D8%B1%DA%98%D9%87-%D9%85%D8%AF%D9%84-210173-mc/,"['https://dkstatics-public.digikala.com/digikala-products/3049434f24509bd4adfabd749a0ba122a3fa3966_1628914117.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/589a33db7b7dc5b24addeeb2f74ea2929520efef_1628914120.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fd5a597c79db75689d28f35dfe73c95b05df4e24_1628914122.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6c8d637499af4f5415ddaa0d14e3d967447e97bb_1628914125.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e0de8c4d56110123bde91a9337394b82a20c805c_1628914123.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cdddd1f1ee067cc46d9951ed47e784f2e7500560_1656928120.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,دامن زنانه سون پون مدل 2391184-59,"۲۴۹,۰۰۰",-,۴.۵,https://www.digikala.com/product/dkp-8962851/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%D9%88%D9%86-%D9%BE%D9%88%D9%86-%D9%85%D8%AF%D9%84-2391184-59/,"['https://dkstatics-public.digikala.com/digikala-products/71fbb00eec9bea0ca27c14a35ea39d50c663dae6_1657605447.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/efe9ec945780ca3d2d1ee6acf7379cb5e8128c45_1657605450.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b670622c3cf02f82dc82c58a60b780b9bad55fd1_1657605452.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/475c435c6f8025ea1bece0b90a458429eac943ba_1657605454.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/89a795a6ba6782176ab70f44315e3addcc5f72c6_1657605457.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,دامن زنانه کد 48,"۲۴۷,۵۰۰",-,۴,https://www.digikala.com/product/dkp-1941157/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-48/,"['https://dkstatics-public.digikala.com/digikala-products/117559517.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117559521.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117559520.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
10,ژپون زنانه مدل ASE25,"۹۸,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-6295361/%DA%98%D9%BE%D9%88%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-ase25/,"['https://dkstatics-public.digikala.com/digikala-products/c4353c518e110cff7491ffc35fc48cb5ca425f23_1630517291.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
