,name,price,discount,star,link,images
0,مایو زنانه مدل MC,"۶۲۵,۰۰۰",-,۱,https://www.digikala.com/product/dkp-7724279/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-mc/,"['https://dkstatics-public.digikala.com/digikala-products/be59d52a327ef5208d0809c265c61bd123fec624_1643657622.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/00d3004630a15bf71d018752b35860a6a7e00018_1643657636.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f3ee051be42b0b2ee08a4afb104ccf2e89198a41_1643657648.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,مایو زنانه اسمارا مدل SweemEs369,"۲۹۰,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-7882278/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-sweemes369/,"['https://dkstatics-public.digikala.com/digikala-products/eef7512b17e2453a03ed302af599a8d0bcf796e8_1645044874.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5d0e4c7590394172cbb30df02a743e2636bd23ee_1645044871.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,مایو زنانه ماییلدا مدل 2 تکه کد 3686-7100-4 رنگ بنفش,"۲۱۷,۰۰۰",۵٪,۵,https://www.digikala.com/product/dkp-9055013/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-2-%D8%AA%DA%A9%D9%87-%DA%A9%D8%AF-3686-7100-4-%D8%B1%D9%86%DA%AF-%D8%A8%D9%86%D9%81%D8%B4/,"['https://dkstatics-public.digikala.com/digikala-products/eec0471d04d1a56df81b92e58f7561da6ebdf33b_1658668104.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b1abf423805ce472723c05ac6fa256ba273f6bd8_1658668112.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7057eff426f2cce275bb95f7467301e104f6e088_1658668122.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/953058c9791160885b17ea2dd4d5a560d490cf90_1658668141.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4184ab3c42476f762d3079ff5b52392567f47fe8_1658668155.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b6caba857d2ef8689a88906cfd63f53241aac12d_1658668173.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f51fd029a1968eb32821fad6acf2cd09fd5b37de_1658668196.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,ست 3 تکه لباس ورزشی زنانه مدل 2801-63,"۳۳۸,۹۰۰",۳۱٪,۴.۴,https://www.digikala.com/product/dkp-6504652/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-2801-63/,"['https://dkstatics-public.digikala.com/digikala-products/d073ba3f7301513ec571b143d48957ba6d265ef7_1632125270.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/79b763f26b7f64c5bc5ee0862f0d368f1abb238d_1632125269.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/26bd064476c4203a9cc4fc22251eb4c5fc09d43e_1632125274.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fdb1de20b40a78553f5665881044f4f695e98dc8_1663061820.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,ست 3 تکه لباس ورزشی زنانه کد Mhr-456,"۲۵۵,۰۰۰",۲۷٪,۳.۱,https://www.digikala.com/product/dkp-4796588/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-mhr-456/,"['https://dkstatics-public.digikala.com/digikala-products/91493e599a12934fa97d04990410c20a2dabe63d_1616858193.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e0674c76c924c8025485dd458f5d4647970a844c_1616858213.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/da75c598fb9aa58c6b82dcf8fdeb3258579e0fdc_1616858216.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0647aba141e0a6582db42032cba2544749e13acc_1616858219.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/16ef4643b6e2d802fbe7df26640f2a3bed125f22_1616858220.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/46bac67e9560aafc27297d59ce4ab39883a434c5_1616858223.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d02722823dc801d563f2149d019918fbe90aac4e_1616858246.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,مایو زنانه مدل GC,"۶۲۵,۰۰۰",-,۴,https://www.digikala.com/product/dkp-8722904/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-gc/,"['https://dkstatics-public.digikala.com/digikala-products/2d7003330b8ddf0caa7cb91a37ee2d5dd97f28cd_1654967614.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/915ac238d525d7804feb001678cb8bc08a45ec4d_1654967614.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,مایو زنانه ماییلدا مدل دو تکه کد 3686-981 رنگ سبزآبی,"۱۹۲,۰۰۰",۲۶٪,۱,https://www.digikala.com/product/dkp-8929959/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-%D8%AF%D9%88-%D8%AA%DA%A9%D9%87-%DA%A9%D8%AF-3686-981-%D8%B1%D9%86%DA%AF-%D8%B3%D8%A8%D8%B2%D8%A2%D8%A8%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/2a7d3d0cb3d99cdc008e3e0bf66b65ba69ee7977_1657036463.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dfda5d5729e6925d8b9f76808460d6fa0d82ca89_1657036469.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4a70b7464f2af40ceca19f76ff8294ad41b0c034_1657036478.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fbd2d21842d9f45ea90987e3651935915db047e6_1657036492.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f2b5d04b1c2ac7a71d33847b753880a3329d343e_1657036502.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ea62d30feca4b7dc8a3d78e47dd4517c36bf9e2d_1657036514.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5c7e05ee8141f2a972860336f8f387a3dd41b0a3_1657036528.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,مایو زنانه مدل HB,"۵۹۵,۰۰۰",-,۳,https://www.digikala.com/product/dkp-8723009/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-hb/,"['https://dkstatics-public.digikala.com/digikala-products/ce4bdb351b79f3b6a9b892dc2038ee06461bc8d3_1654970544.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d9543786c2fbe92fb0d522921a24592c65eb6854_1654970558.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,مایو زنانه مدل FA,"۶۲۵,۰۰۰",-,-,https://www.digikala.com/product/dkp-8722951/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-fa/,"['https://dkstatics-public.digikala.com/digikala-products/d7f1b694c74a80830089c961cf3f011a0f3f565d_1654968749.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4d63f56f589d990b363abd1034bb767ea58f820e_1654968767.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,مایو زنانه مدل ME,"۶۲۵,۰۰۰",-,۲,https://www.digikala.com/product/dkp-8274505/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-me/,"['https://dkstatics-public.digikala.com/digikala-products/2a3e15df1ca14ed568ad82ccbdcf4488f629feb9_1649942590.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/aae4a769c5a5239eb297d6871450eb2e5c3af186_1649942602.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
