,name,price,discount,star,link,images
0,تیشرت زنانه طرح آرزو کد 23,"۳۴,۵۰۰",-,۳.۶,https://www.digikala.com/product/dkp-832100/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A2%D8%B1%D8%B2%D9%88-%DA%A9%D8%AF-23/,"['https://dkstatics-public.digikala.com/digikala-products/116807920.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116807923.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116807926.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116807930.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,تیشرت زنانه طرح نگاه کد 105,"۳۲,۵۰۰",-,۳.۳,https://www.digikala.com/product/dkp-1797518/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%86%DA%AF%D8%A7%D9%87-%DA%A9%D8%AF-105/,"['https://dkstatics-public.digikala.com/digikala-products/117487489.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,تیشرت زنانه کد p0003,"۳۵,۰۰۰",-,۳.۱,https://www.digikala.com/product/dkp-2741040/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-p0003/,"['https://dkstatics-public.digikala.com/digikala-products/120773909.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,تی شرت زنانه طرح بی تی اس کد bts5,"۳۱,۵۰۰",-,۳.۴,https://www.digikala.com/product/dkp-2814046/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3-%DA%A9%D8%AF-bts5/,"['https://dkstatics-public.digikala.com/digikala-products/121340328.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,تی شرت زنانه کیکی رایکی مدل BB20060-403,"۸۸,۰۰۰",۷۸٪,۳.۹,https://www.digikala.com/product/dkp-8366049/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb20060-403/,"['https://dkstatics-public.digikala.com/digikala-products/2783023758977832b605b71826909c8a8c8ec018_1650954357.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dfe673fbda540d75dc5cc62d12e0d8d510e6c4c9_1650954351.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9667ec6eb245da37d241c98ea82ab7bd005b9d57_1650954353.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1a250e81162597e1f0095ef0cb877004d828f197_1650954355.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5aa75f237aaafc7c96d9f1df8b634627880924bb_1650954359.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9cd7e19b8c8ecda97954a6582ef2f43939c1883b_1651907849.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,تی شرت زنانه مدل ro_mi0041,"۳۵,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-5557103/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-ro-mi0041/,"['https://dkstatics-public.digikala.com/digikala-products/20836239c1516451bc504981d6b00338be2065c5_1624346532.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,تی شرت زنانه به رسم طرح بی تی اس کد 436,"۳۳,۵۰۰",-,۳.۴,https://www.digikala.com/product/dkp-705149/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A8%D9%87-%D8%B1%D8%B3%D9%85-%D8%B7%D8%B1%D8%AD-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3-%DA%A9%D8%AF-436/,"['https://dkstatics-public.digikala.com/digikala-products/116758504.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116758509.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116758513.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,تیشرت زنانه طرح سرنوشت، آرزو، عشق کد 55,"۳۴,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-833450/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B3%D8%B1%D9%86%D9%88%D8%B4%D8%AA-%D8%A2%D8%B1%D8%B2%D9%88-%D8%B9%D8%B4%D9%82-%DA%A9%D8%AF-55/,"['https://dkstatics-public.digikala.com/digikala-products/116808521.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116808526.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116808535.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116808538.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,تی شرت زنانه طرح امروز نه کد486,"۲۷,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-1145415/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A7%D9%85%D8%B1%D9%88%D8%B2-%D9%86%D9%87-%DA%A9%D8%AF486/,"['https://dkstatics-public.digikala.com/digikala-products/116940262.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116940274.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116940265.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116940272.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,تیشرت زنانه طرح ماه و رازها کد 58,"۳۴,۵۰۰",-,۳.۵,https://www.digikala.com/product/dkp-834472/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%85%D8%A7%D9%87-%D9%88-%D8%B1%D8%A7%D8%B2%D9%87%D8%A7-%DA%A9%D8%AF-58/,"['https://dkstatics-public.digikala.com/digikala-products/116809378.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116809384.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116809388.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116809393.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
10,تی شرت زنانه ماییلدا مدل 3522-16,"۵۲,۰۰۰",۵٪,۳.۱,https://www.digikala.com/product/dkp-4366438/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-3522-16/,"['https://dkstatics-public.digikala.com/digikala-products/d7ca0314ce6bc4528a4e577f88aa1784e71cab2b_1612169649.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6ae5814471daeb200f9a774f24a30afe1584cd95_1612169656.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5965f799a8d3795c25d095606ba719114e98ba6d_1612169671.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
11,تی شرت آستین کوتاه زنانه اسد طرح BTS کد 103,"۳۹,۹۰۰",-,۳.۸,https://www.digikala.com/product/dkp-3391723/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D8%AF-%D8%B7%D8%B1%D8%AD-bts-%DA%A9%D8%AF-103/,"['https://dkstatics-public.digikala.com/digikala-products/c4678880a3059045df0146e14b7a126677630ada_1600040075.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/398d4ae3e5c1934c2b185b8ba5fb7d6131b31dd5_1600040080.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d59006ab464cefa933d83c9e7034da177f0e2997_1600040083.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
12,تیشرت زنانه طرح شکوفه کد F10,"۳۸,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-2441537/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B4%DA%A9%D9%88%D9%81%D9%87-%DA%A9%D8%AF-f10/,"['https://dkstatics-public.digikala.com/digikala-products/119150388.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
13,تی شرت زنانه پارس طرح کارتونی کد 3739,"۲۸,۷۰۰",-,۳.۲,https://www.digikala.com/product/dkp-608997/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%B7%D8%B1%D8%AD-%DA%A9%D8%A7%D8%B1%D8%AA%D9%88%D9%86%DB%8C-%DA%A9%D8%AF-3739/,"['https://dkstatics-public.digikala.com/digikala-products/116707333.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116707341.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116707349.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116707337.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116707354.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
14,تی شرت لانگ زنانه مدل خرس خوابالو,"۱۳۹,۰۰۰",۲۱٪,۴,https://www.digikala.com/product/dkp-8330666/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%84%D8%A7%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AE%D8%B1%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8%D8%A7%D9%84%D9%88/,"['https://dkstatics-public.digikala.com/digikala-products/e8a355a38d21c37b7b2cf508613a1af901c20c52_1650464347.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
15,تی شرت زنانه طرح یونیکورن کد 4175,"۳۵,۰۰۰",-,۳.۱,https://www.digikala.com/product/dkp-3131201/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%DB%8C%D9%88%D9%86%DB%8C%DA%A9%D9%88%D8%B1%D9%86-%DA%A9%D8%AF-4175/,[]
16,تی شرت طرح بلک پینک کد mbts3,"۳۰,۶۰۰",-,۳,https://www.digikala.com/product/dkp-2777157/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B7%D8%B1%D8%AD-%D8%A8%D9%84%DA%A9-%D9%BE%DB%8C%D9%86%DA%A9-%DA%A9%D8%AF-mbts3/,"['https://dkstatics-public.digikala.com/digikala-products/121079803.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
17,تی شرت زنانه افراتین طرح جوجه کد 2549 رنگ سرمه ای,"۱۴۹,۰۰۰",۳۱٪,۴.۳,https://www.digikala.com/product/dkp-3293730/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D8%B7%D8%B1%D8%AD-%D8%AC%D9%88%D8%AC%D9%87-%DA%A9%D8%AF-2549-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/787945c5eb49ab127f0c492c536ade841dbaa42f_1598331736.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f986e72ad989e1ac6c76ce40da4f0573038d04b5_1598331728.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5126ad48fb990a86a41ebf8ab5fec831cec6e694_1659161622.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
18,تی شرت زنانه افراتین مدل بهار,"۲۳۰,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-8461144/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D8%A8%D9%87%D8%A7%D8%B1/,"['https://dkstatics-public.digikala.com/digikala-products/c1f267757966cfee63076b28949aa2d939c32a7b_1652011976.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/43380c3d98a640182eea05d5964453d5d0b0874e_1652012049.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/275bf1b176ba5aecb395bd49574a71ada9546c84_1652012080.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dfaceb687ee000306731345f3ee5aa547d18f9f2_1652012187.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
19,تیشرت زنانه طرح قاصدک و آرزو کد 73,"۳۵,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-834606/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%82%D8%A7%D8%B5%D8%AF%DA%A9-%D9%88-%D8%A2%D8%B1%D8%B2%D9%88-%DA%A9%D8%AF-73/,"['https://dkstatics-public.digikala.com/digikala-products/116809293.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116809298.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116809303.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116809304.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
20,تی شرت زنانه مدل بی تی اس,"۵۹,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-6867294/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3/,"['https://dkstatics-public.digikala.com/digikala-products/fb81ef7fdd6675104256df77cfa3b351c2c050b1_1635349686.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
21,تی شرت لانگ زنانه مدل bts,"۱۷۵,۰۰۰",۱۷٪,۴,https://www.digikala.com/product/dkp-8582893/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%84%D8%A7%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bts/,"['https://dkstatics-public.digikala.com/digikala-products/e8a355a38d21c37b7b2cf508613a1af901c20c52_1653324924.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
