,name,link,images
0,هودی دخترانه مدل اسب تک شاخ,https://www.digikala.com/product/dkp-9331985/%D9%87%D9%88%D8%AF%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D8%A8-%D8%AA%DA%A9-%D8%B4%D8%A7%D8%AE/,"['https://dkstatics-public.digikala.com/digikala-products/92cbf0b2605f0076ffe2a99fa62d3d2c5a3a2730_1661872529.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a2b7d7c0e5a760ac16def30fba94de326b7ee35a_1661924376.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,کوله پشتی دخترانه کد 163811,https://www.digikala.com/product/dkp-1834949/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-163811/,"['https://dkstatics-public.digikala.com/digikala-products/112331241.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331252.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331280.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331283.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331286.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331288.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331291.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331294.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331296.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331298.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112337780.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,کوله پشتی دخترانه کد 163801,https://www.digikala.com/product/dkp-1834948/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-163801/,"['https://dkstatics-public.digikala.com/digikala-products/112331306.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331313.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331321.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331323.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331325.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331333.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331337.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331345.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331351.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112331355.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/112337793.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,کوله پشتی دخترانه طرح یونیکورن مدل پاپیت,https://www.digikala.com/product/dkp-8622397/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%DB%8C%D9%81-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%BE%D8%A7%D9%BE%DB%8C%D8%AA-%D8%B7%D8%B1%D8%AD-%DB%8C%D9%88%D9%86%DB%8C%DA%A9%D9%88%D8%B1%D9%86/,"['https://dkstatics-public.digikala.com/digikala-products/45571ab46ea72b400ad439916bb2cd805c1f4821_1653767648.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a34af36307582e872010c588dd4f7ae463849530_1653767649.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4bcba876fd069a071401418fd1b0009c0213d466_1653767653.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,کوله پشتی دخترانه مدل RX-760,https://www.digikala.com/product/dkp-8130199/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-rx-760/,"['https://dkstatics-public.digikala.com/digikala-products/ca8cff7e49eda335d1d03e97f8bddbb9b0a161f3_1652971034.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a5097583aa99800487c6f43d7063082205eb4e64_1652971025.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a6410cbf0eaf349b8be326cabd678126f5916485_1652971030.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/28794d83c573b77f9450eb8fa92c1f989d1fceb7_1652971024.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/98a5b3aac0cd291042a3ac6045d46896d121ee0e_1652971016.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8ecccab2fc2fc135cd7bffe309b837b8876b5792_1652971017.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6f4c9ab878cdadeafc5c81092182ccc877407282_1652971019.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4b758f9dfa91d77cd643d11f93d4e9719145448e_1652971032.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/abd86e519237a6625e40b31567bf1205c37f1000_1652971035.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d0fefc51d2545de6cec7fd891c2f3bfba452ee7a_1652971037.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/be95edd05b828bcc7668d6dde3687026d238f02c_1652971038.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a9191e98f1ad04bd31c40b5b0508fc0e2ab4ae86_1652971039.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b9f157362888ea1fa358d8a488d966f7d457a53a_1652971040.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4fab21ecf250a93161704c3567bb2e20805108bf_1658039058.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/01447b2d05d86ec35b54d3bbda70f4706773bcf9_1658039060.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f31bf5f52c8264588298e6857e91a46c7bb57d12_1658039033.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,کوله پشتی دخترانه مدل فانتزی,https://www.digikala.com/product/dkp-5429606/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/148d88fdd9819e8439d52d71f35684a2f76f3fcf_1623414370.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8fed029cd275fc447f0205d19fb1a0977f3fe29c_1623414353.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/be10ce8d6c81096a0b884bfde28166dee1438635_1623414356.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cd62fa553c3d9ef05ab8240d338dde01b571ecd2_1623414365.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/474ea4c1715d6df99fb930bb400c8bf87e50621d_1625492116.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/680c8782c6530d1ea014ecb6df3b17affe9c35c8_1625492149.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5d676084d7b38dcd96884375754d304f3a1beb78_1625492153.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/38a46cb7e9825eff39bccdbf22776db18483ed12_1625492156.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ae160291a4e8f9889957a6017a5b3577397764f3_1625492164.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3cb33e24fac7e2721033bc4ffdaa81f0432fa36f_1625492173.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/47a7dd32dd091e396dea9653d3dce3585628f452_1625492171.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2eb06866ff8c9ea21e359003b765bbf89fc8b016_1625492120.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/843dfc55c6cea343ad9db5e341eba5851185f1e2_1625492181.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d15ff264e0101306dc81957957094d38c6196721_1625492187.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2655f2e4d76f0a70a5ed68c3457ccda605c23e1e_1625492192.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/551864bc2e5425da56f9f3592c9c24bf7f3b6329_1625492213.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b553f54326113034c278a37d992a9cc5bf90bc0e_1625492216.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e967aeb6e84cc45b72186728de01ef830149e31c_1625492230.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6ec66bd55a912f8f6c0bb8613b1c58863fb2709a_1625492104.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b17ca2caceecf23683433a7e193067eeb30c6cae_1625492236.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/407019ee3fa10b415f3c53231f083e5315b361f1_1625492238.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7b0fe54c3484f0c1d909498f4dba47572b8078c4_1625492248.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e86f65584ae78708c70e211ef2119f5d23fe1409_1625492249.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5d172ec0a23d8ca68d9de50ac997c2743f15c6ab_1625492251.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d0e4cb10724cafbffc875357658596c8cc96dae3_1625492101.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/70b2782381e40988cf24a839d77195df11aa2e5b_1625492258.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1d7d06490712a0a3b3d3cf00002ccb937c05fdbc_1625492259.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4b2964cd7c4e826fd91081344912932b513faa28_1625492262.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7da5cf48d76bbe1b318abfb48216896ca4914fde_1625492265.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7caa76a1de9bc667f78f24cad01a2d5a412740ad_1625492268.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5f0fe375b59f360a53199a6399245119beeb6445_1625492271.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d7fc54b8561913408a00ac6fed8db584c9542f08_1625492274.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,جاکلیدی دخترانه مدل سلنا 04,https://www.digikala.com/product/dkp-9270332/%D8%AC%D8%A7%DA%A9%D9%84%DB%8C%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-%D8%B3%D9%84%D9%86%D8%A7-04/,"['https://dkstatics-public.digikala.com/digikala-products/4fbea81406a7dfdf0091d94f055db470a8eec63c_1661779492.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b71e9e8f6694727d85aebefbe43550c1b8421423_1661779509.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,کوله پشتی بچگانه مدل PRX-300,https://www.digikala.com/product/dkp-8982115/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-prx-300/,"['https://dkstatics-public.digikala.com/digikala-products/2671f81ef3951a02d7098b90b89eee343f21dd5a_1657707647.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/185ac9a92f90c2e24832afc66cb825a12826f828_1657707659.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/687930442ad108a0237659d1d8ae8e9931ca74af_1657707687.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7a1bbbe50e726a4d1ad2fa738b9887fce6f81c1f_1657707762.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/05dd5dd5039b6119b195bdeb9bf609e8d52028c4_1657707905.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a80c861108647c5592c643e9268474600beccd3d_1657707926.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a45cc2a140a80194a867010cd637d353495727d5_1657707957.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1e536e176e7d5e0fa99f8d58af510cf5cd83da40_1657707981.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4df078800bba6f92a8dd4ca2fb800251c85a6848_1657708001.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/de7798f2d65d9b9e9a074582c54fe2b6a9dc8c7d_1657708017.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,کوله پشتی دخترانه مدل چرمی Mn,https://www.digikala.com/product/dkp-8691256/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%86%D8%B1%D9%85%DB%8C-mn/,"['https://dkstatics-public.digikala.com/digikala-products/126132eb975e9df3ff42f89cabcb4fdb08fb280b_1654661915.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/233ebd42880142eabfc3a228e4624210bea8e81b_1654661929.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/692d9ce123eb350ef5456b8ee086f7858c4dc1da_1654661947.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5e48b3dd3958eef77cb0633d258df5451acb4e30_1654661990.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c78f2b1a4cc9f9ea9fe3a6161a538386ed9744c2_1654662003.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f24d8f2312576d68ff32f8432d854e344d75432e_1654662017.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7bed6335b996c9e0b35b976deefa6221dfad1853_1654662029.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b5bbdda649c0a2ed25e65b99ed9bf6df7ab7a441_1654667342.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,شلوار دخترانه مدل کلویی زنبوری کد 01,https://www.digikala.com/product/dkp-6370969/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D9%84%D9%88%DB%8C%DB%8C-%D8%B2%D9%86%D8%A8%D9%88%D8%B1%DB%8C-%DA%A9%D8%AF-01/,"['https://dkstatics-public.digikala.com/digikala-products/2e84c48c09e39e67d67ba4f3fe57e6c11696340b_1631089254.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a143921c27406e101ada30e6e26e527fde8febc6_1631089271.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/60a33b6f16b02c91a86c2c8c0867af4f9d6bf35e_1631089271.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
