,name,link,images
0,پیراهن آستین بلند مردانه مدل bn03 رنگ مشکی,https://www.digikala.com/product/dkp-5204217/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bn03-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/313fc2ec832ab72825d3cf274f527a3562f0d1ff_1621333452.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7a3bed374dbac5e89bc5e69b86da923860669e7b_1621333456.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3f33b9d3af419fe855e352ae080e0de00a6e69d5_1621333460.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,پیراهن مردانه مدل bn9999,https://www.digikala.com/product/dkp-3244777/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bn9999/,"['https://dkstatics-public.digikala.com/digikala-products/6eefd37de2efb925b64fab18a8dd18f0c8c1ae6a_1597527803.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7ba41b701708d4e49b5e0299fcc6b1ca2183b1a7_1597527805.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9b2225d18411222fdeac13968c80a6ae2d2c31aa_1597527806.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,پیراهن آستین کوتاه مردانه مدل هاوایی ABR-M,https://www.digikala.com/product/dkp-8682083/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%87%D8%A7%D9%88%D8%A7%DB%8C%DB%8C-abr-m/,"['https://dkstatics-public.digikala.com/digikala-products/3a7dd0ea6699a82c7de93654a4c7d28b81b84c95_1654531740.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1c8a5556ad95189627424ca7b325eb4dfee3f90b_1654531744.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1528785dfe378c7be5cd41a72b94e58af425fcae_1654531931.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/289193c8f6cdd1626c298135915d62700dc6d0ee_1654531994.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3bce89be5474b315c1757ada53f6236730b1ebe6_1654531963.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/289193c8f6cdd1626c298135915d62700dc6d0ee_1654532100.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,پیراهن مردانه مدل bn10000,https://www.digikala.com/product/dkp-3244782/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bn10000/,"['https://dkstatics-public.digikala.com/digikala-products/e78ddef6473f9d6f5cf11dff6dfe7d795eeb56b9_1597527992.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/37e04bbc2e7235477750c9bc7c9588635f9d923f_1597527994.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9b2225d18411222fdeac13968c80a6ae2d2c31aa_1597527995.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,پیراهن مردانه سرز طرح هاوایی مدل zxcvk258,https://www.digikala.com/product/dkp-3353507/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%D8%B1%D8%B2-%D8%B7%D8%B1%D8%AD-%D9%87%D8%A7%D9%88%D8%A7%DB%8C%DB%8C-%D9%85%D8%AF%D9%84-zxcvk258/,"['https://dkstatics-public.digikala.com/digikala-products/8b47a89bc86d0c37f7b34e108df00f1ab1b953b1_1599418148.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b598b813f7d08525987f61d548708efc748bdf91_1599418152.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/04ac1d6626b1bede6c9f7f62bacc0308541f2140_1599418154.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/34e0ab81a667f9f32b81e1d4ddfb29c69de83e49_1599418156.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,پیراهن مردانه ایزی دو مدل 218113199,https://www.digikala.com/product/dkp-6994194/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%DB%8C%D8%B2%DB%8C-%D8%AF%D9%88-%D9%85%D8%AF%D9%84-218113199/,"['https://dkstatics-public.digikala.com/digikala-products/04894759c888fdb742cdb01861bec5ea8cf8e77a_1636979828.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/529ac442c3b4920e45a21bc3e30149a554a05268_1636979808.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/86fa69a00e6489a6fe77e49b1727c73835b0246b_1636979810.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/450a0dd71f8c60e7337f88df256f5a2137ac30d9_1636979813.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3e54001bfed10a840d728828ad0a3d4eea942af6_1636979815.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a0cb49d1719c334d39397c22bcc6db0990b73fc7_1636979817.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b20104191be9560e0c40acee742ae5fa9fef087a_1636979819.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/72a6bea98313c3ff5d92643ec0bbaee774884a01_1636979822.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0a4f103cc4ed9b5412c647a0e5123456efda91a0_1636979826.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e307c38dd88f2604270061223842391ccec09b19_1636979834.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d02544218a90b249056955263c679a4b145ad1af_1638174990.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3e9e912d923e1212a60bc67cfed2490ae04f8708_1639333502.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,پیراهن آستین کوتاه مردانه مدل راه راه DIP- رنگ مشکی,https://www.digikala.com/product/dkp-8682173/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B1%D8%A7%D9%87-%D8%B1%D8%A7%D9%87-dip-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/2136bb5ab17d8d763bb2bc033148ab5f1ed1dcdd_1654533078.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/188899710b03995829effa384facff8fd1a0a9ba_1654533067.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/197e97ee5abf8fd5e72be2bacc70796b932053a6_1654533074.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/048dc4c866783035e4e413f06d0132030cdd834e_1654533074.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/289193c8f6cdd1626c298135915d62700dc6d0ee_1654533089.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,پیراهن آستین بلند مردانه بادی اسپینر مدل 03980094 کد 1 رنگ ذغالی,https://www.digikala.com/product/dkp-8728912/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%D8%AF%DB%8C-%D8%A7%D8%B3%D9%BE%DB%8C%D9%86%D8%B1-%D9%85%D8%AF%D9%84-03980094-%DA%A9%D8%AF-1-%D8%B1%D9%86%DA%AF-%D8%B0%D8%BA%D8%A7%D9%84%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/bfd36270f92320e9e64f789f23322ae66b34b213_1655029437.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/49254b24494fa3586f940d8d082dfc2518aace79_1655029435.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/afabd88ce278bc2bb3ac9426df30fb937da5312f_1655029433.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,پیراهن مردانه مدل PVLF-B-M-9903 رنگ مشکی,https://www.digikala.com/product/dkp-3125591/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-pvlf-b-m-9903-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/fb28233c1e89406e7d37973b9bcfcc32e5673fac_1597136722.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c526f647f0e6b38bc219b0cf77f3eb8161d46ddd_1597136725.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e04a58b5229e790cca05f212d006be36a77c78a9_1597136726.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/38fe3a2f238325c02c997e3a7d175932def0ae6c_1605598654.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,پیراهن آستین بلند مردانه مدل BMBT1043-7,https://www.digikala.com/product/dkp-4939233/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bmbt1043-7/,"['https://dkstatics-public.digikala.com/digikala-products/d204048f35b3c14cc068b6737d67c1a68997fd6a_1661611382.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/af441ba0f0f3c93e2d602ab509dbeff232eb3199_1661610976.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/556172028519cc30295f6ebebbc344f8d62abe82_1661610974.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f41fa32f9d26463886ff0adad012686dac4b3ca1_1661610983.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/90ad75930f5af99fdf28832179c76a09f86eb112_1662011836.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
