,name,link,images
0,تی شرت مردانه کد S179,https://www.digikala.com/product/dkp-1857864/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-s179/,"['https://dkstatics-public.digikala.com/digikala-products/117515975.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,تی شرت ورزشی نخی مردانه فلوریزا طرح بوکس کد boxing 002M تیشرت,https://www.digikala.com/product/dkp-919013/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D9%86%D8%AE%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%81%D9%84%D9%88%D8%B1%DB%8C%D8%B2%D8%A7-%D8%B7%D8%B1%D8%AD-%D8%A8%D9%88%DA%A9%D8%B3-%DA%A9%D8%AF-boxing-002m-%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA/,"['https://dkstatics-public.digikala.com/digikala-products/116839272.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116839274.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116839278.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116839283.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,تی شرت آستین کوتاه مردانه فرد مدل t.f.045,https://www.digikala.com/product/dkp-8785995/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%81%D8%B1%D8%AF-%D9%85%D8%AF%D9%84-tf045/,"['https://dkstatics-public.digikala.com/digikala-products/3cef6e1418f094682c7d838c7164aab6a2233168_1655898174.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/92245f0b0e65c3b784ad1cf0f93cfc10259e923d_1655898178.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e81dde67d2c2e86504b9d3843940948421563e48_1655898180.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/662ceeed27b6380e4f28ea5d94bb89f461ea3e61_1656137967.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,تی شرت مردانه طرح مارشملو کد 17330,https://www.digikala.com/product/dkp-1765914/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%85%D8%A7%D8%B1%D8%B4%D9%85%D9%84%D9%88-%DA%A9%D8%AF-17330/,"['https://dkstatics-public.digikala.com/digikala-products/117461638.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117461642.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117461645.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117461649.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117461658.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,تی شرت مردانه کد 34160,https://www.digikala.com/product/dkp-1816767/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-34160/,"['https://dkstatics-public.digikala.com/digikala-products/117502405.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117502409.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117502416.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,تی شرت مردانه کیکی رایکی مدل MBB02989-008,https://www.digikala.com/product/dkp-8237188/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-mbb02989-008/,"['https://dkstatics-public.digikala.com/digikala-products/aeb4de36060a21412f0e06e08a7a5afbb5f38d82_1649674396.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a3df50db7fc39c37cc2bf0c8ca6a21d74c7b0274_1649674401.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/387bd567cf0d84bf778cb2ffb9ad86bbd239c88e_1649674404.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7e7df28f96bea8f0a7a03499c4cbed9b2326deaf_1649674407.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e2de18e2f4c8c6c9b166a6dc05f544c4d25fbcda_1649674412.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/02f4c29594ea4be069809398eeb42e3bee1e307e_1650089976.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,تی شرت مردانه طرح پرواز کد 146,https://www.digikala.com/product/dkp-1027150/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%BE%D8%B1%D9%88%D8%A7%D8%B2-%DA%A9%D8%AF-146/,"['https://dkstatics-public.digikala.com/digikala-products/116886659.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116886664.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116886668.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116886670.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cb97ed62ab56e4f2a55484d3a9efb69aa5ec2daa_1617546684.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,تی شرت مردانه طرح موزیک کد 34002,https://www.digikala.com/product/dkp-1816842/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%85%D9%88%D8%B2%DB%8C%DA%A9-%DA%A9%D8%AF-34002/,"['https://dkstatics-public.digikala.com/digikala-products/117502486.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117502492.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117502499.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117502502.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,تیشرت آستین کوتاه مردانه 1991 اس دبلیو مدل TS1930 GR,https://www.digikala.com/product/dkp-4927605/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-1991-%D8%A7%D8%B3-%D8%AF%D8%A8%D9%84%DB%8C%D9%88-%D9%85%D8%AF%D9%84-ts1930-gr/,"['https://dkstatics-public.digikala.com/digikala-products/c4ca55888720ec009a61d040d78d7854d7ad0757_1618653236.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0178d6ab5008659f15f8b6ea4bf194ab72b289bc_1627485638.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1f8876c1899e744ad8cdf9a44287df0528f65a96_1618653242.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a6f40f74ecf931089b49dfed7c64a46ee04504c3_1618653248.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c1db998849d372506eb515f2d9f3446eaa69d8e1_1618653267.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f7452113c3f1cd8a95f4fdb2d25a0aacf409202a_1618653279.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,تیشرت آستین بلند مردانه کد 3BL,https://www.digikala.com/product/dkp-1062119/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-3bl/,"['https://dkstatics-public.digikala.com/digikala-products/116904078.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116904085.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
