,name,link,images
0,تاپ کلاه دار مردانه اولسون مدل Tpko,https://www.digikala.com/product/dkp-8384243/%D8%AA%D8%A7%D9%BE-%DA%A9%D9%84%D8%A7%D9%87-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D9%88%D9%84%D8%B3%D9%88%D9%86-%D9%85%D8%AF%D9%84-tpko/,"['https://dkstatics-public.digikala.com/digikala-products/b638c1d538d05c5359eb7e543e35ff27de0e2b97_1651038268.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/250c56e29dadaf7cf1589a8351f6a4a3368a9161_1651038275.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b84b1cab9ffbda3df1cf19aa43301c3f4af49bfd_1651038239.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9d8650385aec428901b3320a079409bbfe3669e0_1651038286.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,تاپ مردانه طرح شیکاگو بولز کد 3067,https://www.digikala.com/product/dkp-3252091/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B4%DB%8C%DA%A9%D8%A7%DA%AF%D9%88-%D8%A8%D9%88%D9%84%D8%B2-%DA%A9%D8%AF-3067/,"['https://dkstatics-public.digikala.com/digikala-products/5f88de34247836474a711ebaed3f87fb1db0b022_1597648040.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,تاپ مردانه طرح انجامش بده کد 3062,https://www.digikala.com/product/dkp-3252058/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A7%D9%86%D8%AC%D8%A7%D9%85%D8%B4-%D8%A8%D8%AF%D9%87-%DA%A9%D8%AF-3062/,"['https://dkstatics-public.digikala.com/digikala-products/5f88de34247836474a711ebaed3f87fb1db0b022_1597647821.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,تاپ کلاه دار مردانه آندر آرمور مدل ROCK BIG LOGO,https://www.digikala.com/product/dkp-7981147/%D8%AA%D8%A7%D9%BE-%DA%A9%D9%84%D8%A7%D9%87-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%D9%86%D8%AF%D8%B1-%D8%A2%D8%B1%D9%85%D9%88%D8%B1-%D9%85%D8%AF%D9%84-rock-big-logo/,"['https://dkstatics-public.digikala.com/digikala-products/6bd725a8a01412e21f3dbb7ff15d766b07326f56_1646151069.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a6c2f05e2dc80bc51ee63ef6e17c208ea2274cf2_1646151067.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cc85df8c062312f9b6ad308cee0292e4cc738091_1646151092.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,تاپ مردانه طرح UFC کد 2246,https://www.digikala.com/product/dkp-3243714/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-ufc-%DA%A9%D8%AF-2246/,"['https://dkstatics-public.digikala.com/digikala-products/5f88de34247836474a711ebaed3f87fb1db0b022_1597504486.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,تاپ مردانه 27 طرح gym کد H76,https://www.digikala.com/product/dkp-3257526/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D8%B7%D8%B1%D8%AD-gym-%DA%A9%D8%AF-h76/,"['https://dkstatics-public.digikala.com/digikala-products/32de60d2465504afda09b717cd1ce678d2755954_1597730395.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/23258de554c29d2a5273476768293a14af9de343_1597730377.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,تاپ مردانه 27 مدل بدن سازی کد WN985,https://www.digikala.com/product/dkp-8785588/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D9%85%D8%AF%D9%84-%D8%A8%D8%AF%D9%86-%D8%B3%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-wn985/,"['https://dkstatics-public.digikala.com/digikala-products/b37a6e1ee74cca00970d0859a9acf22c09455d07_1655621290.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/23258de554c29d2a5273476768293a14af9de343_1655621295.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,تاپ کلاه دار مردانه باینت مدل 472-2,https://www.digikala.com/product/dkp-8327080/%D8%AA%D8%A7%D9%BE-%DA%A9%D9%84%D8%A7%D9%87-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-472-2/,"['https://dkstatics-public.digikala.com/digikala-products/4dedfed3e5a2201952b7940ce2caf6138412d0c6_1650443995.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fb96b451cb527078d8502c94be1edbaf7cb7f468_1650444037.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d1ca4306dec82bcc324385b6139275ec94423010_1650444060.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f1e7b0249e962cdc0c2e1a27416ee3e9577aedcf_1650444091.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0256d0601fcac026faae706c146e4ac335c1ff3d_1651744493.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,تاپ مردانه مدل B62 رنگ طوسی,https://www.digikala.com/product/dkp-5063638/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-b62-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/3787353d79af2ea87a95bdedd83f1b797df39644_1619953876.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7ab7eaa9876c1e508fa8d1b4d7106e05d9855ed4_1619954035.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fb84104a68ba1bcabab41e902efba385d1679706_1619954088.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,تاپ کلاه دار مردانه 27 مدل بدن سازی کد WN985,https://www.digikala.com/product/dkp-8789261/%D8%AA%D8%A7%D9%BE-%DA%A9%D9%84%D8%A7%D9%87-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D9%85%D8%AF%D9%84-%D8%A8%D8%AF%D9%86-%D8%B3%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-wn985/,"['https://dkstatics-public.digikala.com/digikala-products/af2c704a0fadec8738277e491f965a5cc6ac78ac_1655636154.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/435cc4b9489503d3ea09a6cc401c35bd7120d6eb_1655636159.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1791f83e57c5967a94a930d03e73b87a490c1f1d_1655636155.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
