,name,link,images
0,شلوار مردانه مدل اسلش هفت جیب 5566333,https://www.digikala.com/product/dkp-6212000/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%D9%87%D9%81%D8%AA-%D8%AC%DB%8C%D8%A8-5566333/,"['https://dkstatics-public.digikala.com/digikala-products/f0d4f82bdd421effd84a1d383f2683d271c7d715_1629827643.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8905404bd63ca94b42ef78d5af4d350bb31adbf6_1629827660.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,شلوار مردانه مدل اسلش 110,https://www.digikala.com/product/dkp-7936296/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-110/,"['https://dkstatics-public.digikala.com/digikala-products/9c48863c2546cdfb33c56159e9980853e473d70f_1645620906.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,شلوار مردانه صدرا مدل BOY LONDON کد R-40924  رنگ مشکی,https://www.digikala.com/product/dkp-5481548/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B5%D8%AF%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-boy-london-%DA%A9%D8%AF-r-40924-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/844784e23da913f1ffc3a5a6706d088384bf1442_1623799034.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5e9c33a4e05fb555aae9e88d7e7892337154effa_1623799045.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0e909e61e852772cebd05c72dd0a52deed4d041b_1623799048.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a2908cb68413c10a1f5f15db2a11a1f791ae060e_1623799036.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/950cdd7269a33f56c9d48a33fa6e54d870601682_1623799043.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b22ac43c2db732eec763cba5aa5437b3d129de61_1623799041.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,شلوار مردانه مدل ایکس لابی,https://www.digikala.com/product/dkp-8719283/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%A7%D8%B3%D9%84%D8%B4-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%DB%8C%DA%A9%D8%B3-%D8%A8%D9%86%D8%AF/,"['https://dkstatics-public.digikala.com/digikala-products/545cef28c27fc51a4f99e2bf6d07fa3e0cda091f_1654942236.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c5a9afbcf3cbc74178a34a912a0fc455e1bbe245_1654942238.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,شلوار پارچه ای مردانه ادریس کد 8,https://www.digikala.com/product/dkp-918076/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%BE%D8%A7%D8%B1%DA%86%D9%87-%D8%A7%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%AF%D8%B1%DB%8C%D8%B3-%DA%A9%D8%AF-8/,"['https://dkstatics-public.digikala.com/digikala-products/4287508.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4287533.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4287514.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4287524.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4287524.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4287511.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,شلوار مردانه مدل اسلش کد cocle3453,https://www.digikala.com/product/dkp-5757193/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%A9%D8%AF-cocle3453/,"['https://dkstatics-public.digikala.com/digikala-products/62a89a7bd32f2764094bc7f3e728553fdafdeca1_1626280044.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/02cb7d8a8b423a401a7efcc9c483f1dd8990fba1_1626280146.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,شلوار مردانه مدل اسلش مدل شش جیب 110 TOS,https://www.digikala.com/product/dkp-8106899/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%D9%85%D8%AF%D9%84-%D8%B4%D8%B4-%D8%AC%DB%8C%D8%A8-110-tos/,"['https://dkstatics-public.digikala.com/digikala-products/cf19126289fddbc92b2edf703027fa5ef95108bb_1647402555.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7b7ec15c71b42b11fe3df77ecebb4a0aa0a851d5_1648454187.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,شلوار مردانه کیکی رایکی مدل DIO 1020-04,https://www.digikala.com/product/dkp-8810951/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-dio-1020-04/,"['https://dkstatics-public.digikala.com/digikala-products/7634a40c724f8a583d98cd5266aba2b0705c6de0_1655870240.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/54bda65603ea31c3e35adac88a5ab29635b630c9_1655870243.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c548333d47a306c95321e8a7223089bdbc5361d4_1655870245.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8960b8c09b66ca6b1316714a731911e9d4481445_1655870247.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/aad28c65b13c555466e8dac53a89a58543a18478_1655870236.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7fac756d144036b9641b5faa533d3e35c9229eae_1659504280.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,شلوار مردانه پنبه شکار مدل اسلش چهار نقاب SIA,https://www.digikala.com/product/dkp-7086878/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%BE%D9%86%D8%A8%D9%87-%D8%B4%DA%A9%D8%A7%D8%B1-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%86%D9%87%D8%A7%D8%B1-%D9%86%D9%82%D8%A7%D8%A8-sia/,"['https://dkstatics-public.digikala.com/digikala-products/b5af3b83392f214aab157e5cfe1c74a1e9bfe8df_1637075604.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a339ade5ee4af9936b3115b8cefed76b6819c9c3_1637075605.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,شلوار مردانه مدل اسلش کد 127,https://www.digikala.com/product/dkp-8009021/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%A9%D8%AF-127/,"['https://dkstatics-public.digikala.com/digikala-products/d2601731a8b17e218bd541c5225aa1c43484c43d_1646481113.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
