,name,link,images
0,هودی زنانه مدل بی تی اس کد AA612,https://www.digikala.com/product/dkp-4258462/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3-%DA%A9%D8%AF-aa612/,"['https://dkstatics-public.digikala.com/digikala-products/ecd5b0940cb559bd7d2d66f01cf715fb7aa36b6d_1610968019.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,هودی زنانه طرح خرگوش کد F235,https://www.digikala.com/product/dkp-2432742/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%AE%D8%B1%DA%AF%D9%88%D8%B4-%DA%A9%D8%AF-f235/,"['https://dkstatics-public.digikala.com/digikala-products/119101308.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/119101309.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,هودی زنانه طرح حرف M کد S395,https://www.digikala.com/product/dkp-1958043/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%AD%D8%B1%D9%81-m-%DA%A9%D8%AF-s395/,"['https://dkstatics-public.digikala.com/digikala-products/117562056.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117562062.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,هودی زنانه مون‌سا مدل 16312691515,https://www.digikala.com/product/dkp-6811851/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-16312691515/,"['https://dkstatics-public.digikala.com/digikala-products/8b33d07d6d9a8828235c26d0fbcf25c1c4bda792_1634990032.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/afe7374e04719895415482ddfad3160dbf6f8148_1642856019.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f67fbd25f015907b6e4c4846838487f8034af2db_1642856017.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ca2a299ec4a08edeaee87a9fb7c78fb316cd0377_1634990036.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/edd501407fff30d55bdeea87035b9abf0ba1abdc_1642856013.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/19469b7d607dde25c523f1f36a40fc628a56f627_1634990038.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4223b6ea36b4e328e453eec407a9acfa8d0759d7_1634990040.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bf4ba1b8a990665f417e2326e936d6e911272538_1634990043.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/57af637ed28d7a1c7eb9fad2e5e34e673b0d5477_1636195696.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,هودی زنانه طرح BTS مدل K42,https://www.digikala.com/product/dkp-3445687/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-bts-%D9%85%D8%AF%D9%84-k42/,"['https://dkstatics-public.digikala.com/digikala-products/51696ce1932049c05d9e52ece780e0c6f0d69d57_1600862420.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,هودی زنانه مدل فانتزی کره ای,https://www.digikala.com/product/dkp-9262013/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C-%DA%A9%D8%B1%D9%87-%D8%A7%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/d372564ca3b9abc4825b3d0ae963aebde7b74271_1661187430.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5b9eff8abac895a52baea2070fd542776100c413_1661187422.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a47c175a5c1feb6395b10a4ce28908d1eae2a02f_1661187423.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8879bcd8b5378a1652f99e4ede45d7d8abaafc1b_1661187424.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e163167968de0a87387b382bfc451e2969c3a4b8_1661187426.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b63933a14af0bfdc07c14668421e1fc67713736a_1661187428.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,هودی زنانه مدل بلک پینک کد J07 رنگ طوسی,https://www.digikala.com/product/dkp-6576708/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%D9%84%DA%A9-%D9%BE%DB%8C%D9%86%DA%A9-%DA%A9%D8%AF-j07-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/eb3a71b20bacac59c3dd73ed9335c1163b6ace02_1632824413.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/80c8043373989a7f3001d8cd4739c1f9aff30144_1632824416.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,هودی زنانه زانتوس مدل 99410-15,https://www.digikala.com/product/dkp-6362892/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B2%D8%A7%D9%86%D8%AA%D9%88%D8%B3-%D9%85%D8%AF%D9%84-99410-15/,"['https://dkstatics-public.digikala.com/digikala-products/d258fc747db46164ba4309fd4ffdca9a09592f61_1632637568.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4584aa97017df959f93c9892091b7de61187f035_1632028021.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b361ce7f8e78bfed855f80dcbfd536b4faac5c67_1632028025.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1492ef28960091bf03a4d6999f614e9fb1135d9f_1632028027.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2f3863e023171dc0d0c64240110d653a1b70e38b_1632028029.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/57dde63d03ccb747f7869c7b9b39ad2083cbc5f1_1632028031.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/017d36989635cebe2e7af033ace77091817fbba2_1633506062.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ce8bf6f0031963deec29d9eee68ce94ade93ebbe_1633506065.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/30c4b4e163c8f159b10a7c1277e436abe6724cea_1635342276.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/82a46fde3ff381f20509deb223c4c67617b76f46_1635342278.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bda4c4278d1db623336e86bc3490a5c909235e9e_1635342281.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0a12db52518b5f85f75a30eef8597125d90015c6_1635342282.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,هودی زنانه اکزاترس مدل P040001110150022-110,https://www.digikala.com/product/dkp-6646819/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%A9%D8%B2%D8%A7%D8%AA%D8%B1%D8%B3-%D9%85%D8%AF%D9%84-p040001110150022-110/,"['https://dkstatics-public.digikala.com/digikala-products/1895882df67e5ee77f9cb23efa27f3b741a766a9_1634381932.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8e8c270afdc6d612d28fccb9bec7004845e26f07_1638344370.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0dc0223bde75478e805c4af5eefea17cf206cace_1634381938.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/aceefd378e579baf713995790e22c7f811442f58_1634381940.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b98dc6394b237928b4391451c027c308629d09af_1634381941.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/be3368b0c28ac1e3fe7fbd2a1472a6633ce51548_1634381944.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e94faf6edcd21fe4875c164782bdf0774903a685_1638344372.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ba6caa71cd5ca4002f942d29bf817e554aa85a95_1638344374.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3a3debd1b4aa04e768ca10ae69257312af8d8674_1647249214.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,هودی زنانه مدل 143,https://www.digikala.com/product/dkp-7150493/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-143/,"['https://dkstatics-public.digikala.com/digikala-products/4cd35bf87eb3741ca587f5529d25ac1bcb002f04_1637615723.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4335dfcc49f5a549147fb9234c65a26d2ac26742_1637615728.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9224d9a64cfc186b5065dad5f07d105a09f1c176_1637615731.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
