,name,link,images
0,لگینگ زنانه آریان نخ باف مدل 1972,https://www.digikala.com/product/dkp-8181547/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A2%D8%B1%DB%8C%D8%A7%D9%86-%D9%86%D8%AE-%D8%A8%D8%A7%D9%81-%D9%85%D8%AF%D9%84-1972/,"['https://dkstatics-public.digikala.com/digikala-products/657700526cbb0ef80fbec23039303398990d253d_1648964923.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d6458d4c8b2c2d96515a1d3bb71fed6def2ec362_1648964965.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,لگینگ زنانه فیتن فرخ زادی مدل ساعت شنی کد 3686-309 رنگ مشکی,https://www.digikala.com/product/dkp-8513465/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%81%DB%8C%D8%AA%D9%86-%D9%81%D8%B1%D8%AE-%D8%B2%D8%A7%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-%D8%B3%D8%A7%D8%B9%D8%AA-%D8%B4%D9%86%DB%8C-%DA%A9%D8%AF-3686-309-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/931742077a1a1bec967d57142aeb26a6489dbe69_1652639393.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7a0fc089cdf761217a2ac9750d354f1080639778_1652639395.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/21f91d1a4bb4975955046dc3686ff0e6fd3cd23c_1652639402.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1de4584afd8e4d75e716f23b37407866f1cf97dd_1652639414.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b8522580f5d85bc6e5fc71bce30996bd0b7c4f87_1652639432.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,لگینگ زنانه مدل شاین کد 06,https://www.digikala.com/product/dkp-8220249/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B4%D8%A7%DB%8C%D9%86-%DA%A9%D8%AF-06/,"['https://dkstatics-public.digikala.com/digikala-products/c79e4536432a1a02ffadfac6a4d17b33a7b513df_1649414413.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,لگینگ زنانه فیتن فرخ زادی مدل 3686-00307 رنگ مشکی,https://www.digikala.com/product/dkp-6140879/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%81%DB%8C%D8%AA%D9%86-%D9%81%D8%B1%D8%AE-%D8%B2%D8%A7%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-3686-00307-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/5a923b9142a40d523c41b146834a79c9f3a6c162_1629103410.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/beb49a456e41efad46221b52824ef1d8394a665f_1629103534.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b8086ac28113fa5786112f59e7f1e26bd4370813_1629198796.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,لگینگ زنانه جی وی جی کد HN2FX,https://www.digikala.com/product/dkp-5025472/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AC%DB%8C-%D9%88%DB%8C-%D8%AC%DB%8C-%DA%A9%D8%AF-hn2fx/,"['https://dkstatics-public.digikala.com/digikala-products/54bc28d33f4e6e0168f71ec505f1a5951bd092f7_1619541239.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3bde3f2bac5b32034fd8a5a7f721657c6bbe1dbf_1619948354.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,لگینگ زنانه طرح براق مدل 103TR,https://www.digikala.com/product/dkp-5764805/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A8%D8%B1%D8%A7%D9%82-%D9%85%D8%AF%D9%84-103tr/,"['https://dkstatics-public.digikala.com/digikala-products/efa3dad3863616cbef1c14d2218a0b351358e002_1626358326.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/48ad2cbfb1cdebaa520f3a9d6f93e227671c697c_1626358328.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6d9d640409a674226be9746c3872d0ef83997fac_1626358330.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4b3e964843ca4e71b6e96edb002e3989b66adf9d_1626358460.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,لگینگ زنانه مدل Li,https://www.digikala.com/product/dkp-6638015/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-li/,"['https://dkstatics-public.digikala.com/digikala-products/32b642a2fb7c488b3460100e1042bd8a6d8f4d64_1633441122.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f280c6db7f1424d86d7ad2bc3c090e7a1553396c_1633441123.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ed024975be0fa4e3994ecc7644963b71fea7a4fb_1633441124.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,لگینگ زنانه کد 7200-1001 رنگ مشکی,https://www.digikala.com/product/dkp-8665147/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-7200-1001-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/2cb24fce37a83b0e7be6042bca500d3b62234f20_1654248998.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1306bcb1b82fc40d30512f4421c97c2fa14fd5fd_1654249827.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a44b487429d0f1baeb5daacacf6d877252334850_1654256400.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,لگینگ زنانه مدل SA3,https://www.digikala.com/product/dkp-8638381/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%88-%D8%B3%D8%B1%D9%87%D9%85%DB%8C-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-sa3/,"['https://dkstatics-public.digikala.com/digikala-products/61904e9b7e9a4a05b5cd54b220c2745bbd4bbebd_1653918347.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/501250969022bc74933622c5e3eed76a202b9e2d_1653918348.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/57060d048bd2edf072a64890734f811689b3ff48_1653918357.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d53472a1e3c146ead6cef719a71331fccaca46aa_1653918358.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cce14ba867b1687d17c90b5e471d72c307639f96_1653918359.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,لگینگ زنانه مدل براق کد 1013,https://www.digikala.com/product/dkp-8947293/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%D8%B1%D8%A7%D9%82-%DA%A9%D8%AF-1013/,"['https://dkstatics-public.digikala.com/digikala-products/9d91b7140454d907e614c1f38f9a51c86f88ec6f_1657288179.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
