,name,link,images
0,پولوشرت زنانه رونی مدل 32110003-10,https://www.digikala.com/product/dkp-5134808/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-10/,"['https://dkstatics-public.digikala.com/digikala-products/a358bd24489979c8905a7599bc8a9bf3bce6b273_1620816528.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0480a06e2908dacef95fb2c0a5c2a085277c1211_1620816637.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ce24b269abe5b917dd7fc49c878d4eb2ee77c29d_1620816634.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/964ed80c8d71e4e258fdf8f96ec94a90b9d82920_1620816635.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/38ac60f9ebbe176950b511084897d5c14b029bc2_1620816638.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2bd8f9e80cc4981e8fcb4c7ed14e2e78d101815b_1622549602.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9e19ebe5fbf0a384583324c8903d7afa5cf84914_1630149484.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,پولوشرت زنانه رونی مدل 32110003-03,https://www.digikala.com/product/dkp-5134826/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-03/,"['https://dkstatics-public.digikala.com/digikala-products/abffd665ecc54caf43e337ba877cfb0aa0f0ab19_1620816178.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/12ba4349e0f343bc0dc63ce7fe64d7b6b0f628a7_1620816184.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bf909f1185e997bfb9a259dbd37906ede531c9ed_1620816182.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3661cec4e5b408222a2eaae4af3efe65ebfdcc2c_1620816189.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4a3c7edb60355b558ddfbd399c5f051a9f893461_1620816186.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2bd8f9e80cc4981e8fcb4c7ed14e2e78d101815b_1622549603.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,پولوشرت آستین کوتاه زنانه باینت مدل 468-1,https://www.digikala.com/product/dkp-7719946/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-468-1/,"['https://dkstatics-public.digikala.com/digikala-products/8de491d0eab1d5aa9ed7318619d164a641e495d3_1643634338.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8b441256e66bca2b8ef2123f49a90862c25da688_1643634423.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c846cf51922d32938bfc56c097f357c4bf95bbcc_1643634398.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f9179eef90662db23bf65a26bca74ff7098ad52c_1643634256.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0670fb141382948c4b7a64b855de5ba9bbd50aa3_1643634458.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,پولوشرت زنانه رونی مدل 32110003-11,https://www.digikala.com/product/dkp-5134791/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-11/,"['https://dkstatics-public.digikala.com/digikala-products/ffd2f04a1cc16924631774fc8c286ee0814d216f_1620816547.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c26b8ef98259c2ff13f389e171391085abd16db4_1620816542.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ee1d18fa5ff1114b0d538e56ba1e946c5a35e71e_1620816544.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/30311d3a33a53dec8319bfbf61ba6bf313300266_1620816663.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6ba60730841d05cfdfc14531f940796c8f17e05e_1620816667.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2bd8f9e80cc4981e8fcb4c7ed14e2e78d101815b_1622549601.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,پولوشرت زنانه رونی مدل 32110003-31,https://www.digikala.com/product/dkp-5150755/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-31/,"['https://dkstatics-public.digikala.com/digikala-products/39bb33bd42b19227cbeafeed76a3d8fc34d943d5_1620821142.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/17052e40a3824fa151cc33077e5c8cb57d132e1e_1620821141.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7b751cd06b67815b5d53cc388ba89a87b48ebcfe_1620821228.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5669bf948a80dea7d3c3c9bf0416a67f630611fa_1620821231.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2bd8f9e80cc4981e8fcb4c7ed14e2e78d101815b_1622549595.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,پولوشرت زنانه مون‌سا مدل 163122145,https://www.digikala.com/product/dkp-5317587/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163122145/,"['https://dkstatics-public.digikala.com/digikala-products/f09305fa880b2cbe5293fa9d3afb12358884681f_1632226787.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a19db641b3e66f382f983bd8be0eb7b04a5dc1de_1622622805.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/be353e362015e116db8731b3891f7a04205824ec_1622622809.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/23386ca43b066da297c6bee8115ce5a2f6a2fd95_1622622812.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a0460c8a6ac9f258be7e1cddc354660345fe4913_1622622814.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c1e4a3e62827c294820f5858c056167a9d56d083_1637738089.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f1d779231c776e605f12e8e4334ae847e166412a_1637738092.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,پولوشرت زنانه رونی مدل 32110003-32,https://www.digikala.com/product/dkp-5134617/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-32/,"['https://dkstatics-public.digikala.com/digikala-products/b5e3130dabc8f1f353702b953ca44cffb7044083_1620816233.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ea0548bc9c4fd898817cffca8d83f8046efa4abe_1620816245.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/de429926dd08c5f2f500c59db8bda20bfc86790c_1620816237.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f090b8ca443e441de30ed6781a04ee6475ec5cb3_1620816241.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8b409577c74d721f36ca5cc0edd024d9640216fb_1620816247.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2bd8f9e80cc4981e8fcb4c7ed14e2e78d101815b_1622549594.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,پولوشرت زنانه رونی مدل 32110003-34,https://www.digikala.com/product/dkp-5134477/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-34/,"['https://dkstatics-public.digikala.com/digikala-products/98a7a5d78405c168f0b8b8f40dc0e78eeb77ac04_1620816715.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/138333ecb3384579346b39be3cc6216ce9c4c0b8_1620816716.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e3fb57015a845399b1b92b75fdebb26e62657348_1620816717.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/adaa2fe60d8442d60e7d0ef4bb3f941363d23c7c_1620816833.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2ba073c4aecb02583f0873ee173b325f94ac0d25_1620816824.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2bd8f9e80cc4981e8fcb4c7ed14e2e78d101815b_1622549592.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,پولوشرت زنانه رونی مدل 32110003-26,https://www.digikala.com/product/dkp-5134710/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-26/,"['https://dkstatics-public.digikala.com/digikala-products/00bfd5102788fe1cb1e6440a59e6a58e48351c99_1620816889.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/09af38a0cb05d348bed45f3a4201e151654140eb_1620816897.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9752b80f2d62e47107eb6b9ed596b02ed94ad27b_1620816887.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/139fb3341c3239ec47c712a8ad9e66f9a64744b3_1620816894.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d2a0fe78a82d35b6c8131bf09ab8fd31ac0978ef_1620816899.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2bd8f9e80cc4981e8fcb4c7ed14e2e78d101815b_1622549597.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,پولوشرت زنانه مون‌سا مدل 163122165,https://www.digikala.com/product/dkp-5317498/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163122165/,"['https://dkstatics-public.digikala.com/digikala-products/817c3c187b48645a971e6fb96a83d726f9d8734b_1637652342.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f09305fa880b2cbe5293fa9d3afb12358884681f_1632226788.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d2dd34ec05666e8490dffe290b91f50044a9c8c8_1622622924.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d57bb9238b726958221168ce8c95af31b5133ce4_1622622936.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ffbdd8675349552e46bffa90edd0f6783e804db2_1622622934.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5b338e245e00bc16c234051a99cadab925c44ee1_1622622940.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bcc9f9b86e6ae2657f1800add3fdead2b8d7ced5_1637652337.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a6af1a34be561fafce2f7c157393bb0cb5efd1d9_1637652339.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
