,name,link,images
0,سویشرت زنانه کد 001 رنگ مشکی,https://www.digikala.com/product/dkp-2173730/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-001-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/117656081.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117656082.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117656084.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,سویشرت زنانه اچ اند ام مدل 0741054005,https://www.digikala.com/product/dkp-7888227/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%86-%D8%A7%D9%86%D8%AF-%D8%A7%D9%85-%D9%85%D8%AF%D9%84-0741054005/,"['https://dkstatics-public.digikala.com/digikala-products/a17660ade9d5477402ef623288dcf6833bc94e88_1645120714.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cd4c59ac01dc2ba6811e68046ad3828dcb50072b_1645120711.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d59e6419fb45892c73f01588004c33bf6a6663cd_1645120717.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/29cf073a65033ec687f9b42fb4ed72e233f03394_1645120723.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,سویشرت زنانه طرح پروانه کد F56 رنگ سرمه ای,https://www.digikala.com/product/dkp-2237756/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%BE%D8%B1%D9%88%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-f56-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/117686711.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117686716.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,سویشرت زنانه گارودی مدل 1110412104-54,https://www.digikala.com/product/dkp-7451968/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%AF%D8%A7%D8%B1%D9%88%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-1110412104-54/,"['https://dkstatics-public.digikala.com/digikala-products/19247446ce7ffd4ddaf7e5095b605d2f544d8f07_1641215688.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bf237405593ab09ac16ef7faa9c994e67dbf0494_1641215691.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6118f7d4804105591c54c800fda979935d5910d6_1641215694.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bc88ea3361413004b05395cd0736fcaa9c8d145b_1641215705.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,سویشرت زنانه مون‌سا مدل 163127116,https://www.digikala.com/product/dkp-7146701/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163127116/,"['https://dkstatics-public.digikala.com/digikala-products/900b31f8e13e8455bb9297b8ef9c2f83f042cb13_1637838604.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ce8e72ec1af7283050eeb6652d094b511ec65b23_1637838625.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3322b55845415386946f4c3fbce19966c10fa85d_1637838607.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0b503400ba1f703cee8ccfae003752ae3f7792bd_1637838596.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/301c683923d77d04e9dd45c9148bbddb455b3644_1637838600.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/71296e22dc134a4dfe7053abf8037bca714f5373_1637838612.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/af739cc7a745dea33653821109307cd4f8536eb5_1637838618.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d8e5218e47b8f96d055bdb2fff94e912c5c0bd7c_1637838628.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7ab12874264c4bcdb57b3674e70971fb190e461f_1638686842.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5edd2959d0715ba0a8549a53f1c01087a1dcf746_1643622608.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/28292980cf2e753e353f5195c6dd77092606696f_1643622611.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/57024c15ca4552f1da44c2f8aedf8d59e1afb021_1643622615.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,سویشرت زنانه جوتی جینز مدل 8242,https://www.digikala.com/product/dkp-7991383/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AC%D9%88%D8%AA%DB%8C-%D8%AC%DB%8C%D9%86%D8%B2-%D9%85%D8%AF%D9%84-8242/,"['https://dkstatics-public.digikala.com/digikala-products/d7e13114d1da141867cad9d2c963bd8ca7c42191_1646246621.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/175b2b0426e32681daaf586e97b9667e74b9241f_1646246622.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/90986f644cf5c7df3b24b1b17a8f25a9293853bd_1646246625.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0364a2bdb12d0ffb13dbba904a6e553de79a6bd5_1646246525.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/acd8c2eeb74e2a2d2abd3a38c74881848dc637df_1646246527.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9b64f155af233b42e9c705b346afcfb2b7df0b84_1648907290.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,سویشرت زنانه گارودی مدل 1110412104-09,https://www.digikala.com/product/dkp-7451967/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%AF%D8%A7%D8%B1%D9%88%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-1110412104-09/,"['https://dkstatics-public.digikala.com/digikala-products/a1fa0e95de4164b2a2e3ee15ca9de4b36e4bc7c5_1641215861.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6bd40d793ba644da38514af806716a73225c1588_1641215867.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ff1de1184aa350c5b19240912abead26130c5123_1641215872.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/715a320e6cabcc347063657ba562e4547eccea0b_1641215876.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a7b0d39de9e315798af56e19d7d6ff6d4f997db6_1641215881.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b6dca55d09b1d5c99b44e7802223cb964879e34d_1650186208.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3f9fab118d562a0648a7c27a318fcbb3031d540d_1650186211.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bc74ba25de9f6d80bc81e3b14d54cb43bf7e5b34_1650186214.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,سویشرت زنانه کد ZM000 رنگ مشکی,https://www.digikala.com/product/dkp-2105301/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-zm000-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/117627193.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117627198.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,سویشرت زنانه دیوایدد مدل 0389594001,https://www.digikala.com/product/dkp-4591402/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%86-%D8%A7%D9%86%D8%AF-%D8%A7%D9%85-%D9%85%D8%AF%D9%84-0389594001/,"['https://dkstatics-public.digikala.com/digikala-products/9fb84ecdcf9bd924f756ec8fe4dcf6e34e2c7eb8_1614626137.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1d283e36923568121dcc60687be9bd655a3331e6_1614626129.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,سویشرت زنانه ایزی دو مدل 218111593,https://www.digikala.com/product/dkp-6764474/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DB%8C%D8%B2%DB%8C-%D8%AF%D9%88-%D9%85%D8%AF%D9%84-218111593/,"['https://dkstatics-public.digikala.com/digikala-products/55272a28a67201a8d4fce8feb268404911f1c739_1634711496.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1cda7a392888876908175a2e894db8c123804fdb_1634711483.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/76f8be9d07c027f0eb193c09c75e0539bf4edcc7_1634711485.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c42d9ea4549145fed95403bf8030bd9d5637b777_1634711487.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/47aaf6fc49096716d796e9907bee95ba3db3f358_1636016450.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6471527bc3490fc66bdd59747fa271dcd5e306bc_1643638606.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d21c2911696a638dbac3af7af4468fe98ce1bf0c_1643638608.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/eaa48429d272c9366b4f5e265f73ddf7d7364d98_1643638626.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
