,name,link,images
0,نیم تنه زنانه کژین دوخت مدل پروانه رنگ مشکی,https://www.digikala.com/product/dkp-8650489/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DA%98%DB%8C%D9%86-%D8%AF%D9%88%D8%AE%D8%AA-%D9%85%D8%AF%D9%84-%D9%BE%D8%B1%D9%88%D8%A7%D9%86%D9%87-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/45f74df2e9e0ac128b20db4052992d8d6ba8d77b_1661231845.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0db34294d248525ffa721646a44889e7dd077ef0_1661231846.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,تاپ زنانه کژین دوخت مدل pink,https://www.digikala.com/product/dkp-8585161/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DA%98%DB%8C%D9%86-%D8%AF%D9%88%D8%AE%D8%AA-%D9%85%D8%AF%D9%84-sh-g-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/c7d7c243948658185cb283bbdcc37b15e4ad8c30_1653400802.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bf3e954595e1fc475257eaf5fc41f31aaf6c3fc5_1653400828.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a59e777ca12c2dd199fce10fd3d40b0697aed056_1653400804.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,تاپ زنانه ال سی وایکیکی مدل 0SI343Z8-FKU-BEIGE,https://www.digikala.com/product/dkp-8456629/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-0si343z8-fku-beige/,"['https://dkstatics-public.digikala.com/digikala-products/0447fbb87f5d59310bc7ed52552112757132da23_1652075825.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/eeb8b20ed36bb75b7886dc00d9b5ab9bbee64bb3_1652075840.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/978acfb54ef1141d61cce474b9ae595db4be00f7_1652075846.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1deed61a862eb16261a5afd67048e085e63bd078_1652075884.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,نیم تنه زنانه طرح کتونی کد 20,https://www.digikala.com/product/dkp-2638030/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%DA%A9%D8%AA%D9%88%D9%86%DB%8C-%DA%A9%D8%AF-20/,"['https://dkstatics-public.digikala.com/digikala-products/120220310.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,تاپ زنانه مدل AS1060 رنگ مشکی,https://www.digikala.com/product/dkp-3888716/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-as1060-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/eb12144d846d436eb1b67b52fa31d8b3766bbe85_1606853915.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,زیر سارافونی زنانه مدل tl2,https://www.digikala.com/product/dkp-3664782/%D8%B2%DB%8C%D8%B1-%D8%B3%D8%A7%D8%A7%D8%B1%D9%81%D9%88%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-tl2/,"['https://dkstatics-public.digikala.com/digikala-products/0c7a28856aae9a4e75e3add26dad5de65f07f7e1_1604308271.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,تاپ زنانه کیکی رایکی مدل BB02793-040,https://www.digikala.com/product/dkp-7691136/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb02793-040/,"['https://dkstatics-public.digikala.com/digikala-products/7b3a8f43b3ea573f5109e2b80197b024d2703355_1643531502.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ba7764f9ed140e5788cf7ec83c0b6bf0e51315ca_1643531508.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7b9973d3b4acde7cff6684ed698c09463081cd57_1643531506.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/98e9a71bdd91556ec22cb1c63760ed2ed7cc0144_1643531511.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b2003f7668f439d85a236817f8a131008ce2e63c_1643531516.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/498fb9a0a4adf0af187d50450a73ac9f41e02b98_1644761515.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,نیم تنه زنانه نیزل مدل P046005002030218-002,https://www.digikala.com/product/dkp-8465868/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-p046005002030218-002/,"['https://dkstatics-public.digikala.com/digikala-products/f2327fc2b634d435ada29b56541ed2520e985605_1652247448.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/17e66e390be05212f270f38acc0237fc1e4b3f75_1652247451.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d3a8c34d28d8b7789e186c21da90b5a5201a89e1_1652247458.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ecde70d6884201bcfaf72fcac34bf3da280547bd_1652247462.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cff1216af15b03f6a2cf19b0fd575a5e6b908cd5_1652247467.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,تاپ زنانه اسمارا مدل qaz0011,https://www.digikala.com/product/dkp-4816236/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-qaz0011/,"['https://dkstatics-public.digikala.com/digikala-products/bbda47117c2c67007e8ed57ca1842aea5fbadff1_1617354234.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,نیم تنه زنانه نیزل مدل I019005138030365-138,https://www.digikala.com/product/dkp-7799300/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-i019005138030365-138/,"['https://dkstatics-public.digikala.com/digikala-products/7c415b3427fb37dfd4eccad3fa23395dc072942a_1644400024.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/cc806f4c7c1271ba6c33d559495703f381d3a990_1644400014.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e5db493c21aa563a74a10b6cc2f70152ac0e4ffd_1644400019.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/25b93e0227a333dbde03b9edec578794d987bcc4_1644400016.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2692194acd6f381b23baba06e845c0139fe90b1c_1644400022.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
