,name,link,images
0,شلوار زنانه کوی مدل دمپا گشاد شب‌پره اکلیلی کد 451 رنگ سورمه‌ای,https://www.digikala.com/product/dkp-8285871/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-%D8%AF%D9%85%D9%BE%D8%A7-%DA%AF%D8%B4%D8%A7%D8%AF-%D8%B4%D8%A8%D9%BE%D8%B1%D9%87-%D8%A7%DA%A9%D9%84%DB%8C%D9%84%DB%8C-%DA%A9%D8%AF-451-%D8%B1%D9%86%DA%AF-%D8%B3%D9%88%D8%B1%D9%85%D9%87%D8%A7%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/a8d26c742ad4c1dee1655192b49b3edc68be56bb_1650090979.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fd603727b97e66da22126c3231f0204f943da04f_1650090985.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/52f0fa4c033d9ecb3d5c9a8b7c6034a5851b9ea5_1652856034.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,سرهمی زنانه افراتین مدل آبرنگی,https://www.digikala.com/product/dkp-8736241/%D8%B3%D8%B1%D9%87%D9%85%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D8%A2%D8%A8%D8%B1%D9%86%DA%AF%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/e7f0c9b25202a3dd80f01170f013977a56baac52_1655106709.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f821c91cb3c886ad8cca60d4cd6963c7bc4f41e9_1655106873.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/331ec3073138ada0fb758b0cc37402f17455afe2_1655107033.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/28fa8e9d67e6044e27a071126eac2ce52e6e63f0_1655107434.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,شلوار زنانه مدل راسته,https://www.digikala.com/product/dkp-7478626/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B1%D8%A7%D8%B3%D8%AA%D9%87/,"['https://dkstatics-public.digikala.com/digikala-products/a458cf4b9c6720bd7aea113719eefe913394620f_1641329546.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/66df1439892f58a7d207e13df3226d7f05bfe693_1644378388.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0bcda9db2f05cbea4bf38bdce9eaa3568fe1f67e_1644398602.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/66798f553ca5ed16b16e88d769ce92f24d9381af_1644398618.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,ساپورت زنانه آریو شاپ مدل 109,https://www.digikala.com/product/dkp-522607/%D8%B3%D8%A7%D9%BE%D9%88%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A2%D8%B1%DB%8C%D9%88-%D8%B4%D8%A7%D9%BE-%D9%85%D8%AF%D9%84-109/,"['https://dkstatics-public.digikala.com/digikala-products/1481629.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1481702.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1481671.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,شلوار زنانه مدل بگ گشاد کد 234 رنگ خردلی,https://www.digikala.com/product/dkp-6519736/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%DA%AF-%DA%AF%D8%B4%D8%A7%D8%AF-%DA%A9%D8%AF-234-%D8%B1%D9%86%DA%AF-%D8%AE%D8%B1%D8%AF%D9%84%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/283bcc49a7ea90845f9fcaafe2849fb5c803a4e0_1632221351.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0ed902852ef74495d2c487aeaf824779011e2922_1632221347.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/55ef6056831ddcba68273278bc017af15508c663_1632221349.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1be9fbe86c43547122a28070588e4e968dd7aff8_1632221350.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,شلوار زنانه مدل کتان kiss me بگ,https://www.digikala.com/product/dkp-6801986/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D8%AA%D8%A7%D9%86-kiss-me-%D8%A8%DA%AF/,"['https://dkstatics-public.digikala.com/digikala-products/80cfb0e317113c3b12498243feeefe0469ad5bfe_1634647916.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,شلوار زنانه مدل پلیسه کد 2023,https://www.digikala.com/product/dkp-5042259/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%BE%D9%84%DB%8C%D8%B3%D9%87-%DA%A9%D8%AF-2022/,"['https://dkstatics-public.digikala.com/digikala-products/9f099df8ccaa56f789953d4232a0a767ceef7c83_1619698410.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,شلوار زنانه پپا مدل Carmen,https://www.digikala.com/product/dkp-8879733/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%BE%D9%BE%D8%A7-%D9%85%D8%AF%D9%84-carmen/,"['https://dkstatics-public.digikala.com/digikala-products/53ca7a2a76284c31981de52e77d896cb2d21c781_1656500528.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/65bfb86c2303efaed38cf652cd3585883d3bfa7e_1656500539.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a19772bdda35318a7033be3e15c71bf0f413e655_1656749877.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/058220253c7c3a5356095829cb8c5439888119e9_1658301156.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,سرهمی زنانه کیکی رایکی مدل BB03485-008,https://www.digikala.com/product/dkp-7691521/%D8%B3%D8%B1%D9%87%D9%85%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb03485-008/,"['https://dkstatics-public.digikala.com/digikala-products/3cc9287104f1114e88cd303668a233dd87156617_1643531620.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a376d0f9f2802d2a70aa5266f6590e63cbdae612_1643531621.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/500b80961a289f217d5816f12f69ff7027300015_1643531622.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d522cfca871e32066bfae93ff70bf80fbff98350_1643531626.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d3ba9c3c3f8d1e5edf1f67d9ff6404d8711f82ac_1643531628.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7e4ae6fe60b8a176664de36f698b3673ae42a3b1_1645343038.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,شلوار زنانه مدل دمپا گشاد کد MD3 3850,https://www.digikala.com/product/dkp-8248183/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AF%D9%85%D9%BE%D8%A7-%DA%AF%D8%B4%D8%A7%D8%AF-%DA%A9%D8%AF-md3-3850/,"['https://dkstatics-public.digikala.com/digikala-products/d7da9c713d95f0be25bafa7723edef91d751a454_1649677116.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/58d3c005b797f2e93f2ce3618a7a3d07bee4578e_1649677127.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
