,name,link,images
0,تونیک زنانه مانتو ولیعصر مدل دلبر کد 65713,https://www.digikala.com/product/dkp-5038568/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%D8%AA%D9%88-%D9%88%D9%84%DB%8C%D8%B9%D8%B5%D8%B1-%D9%85%D8%AF%D9%84-%D8%AF%D9%84%D8%A8%D8%B1-%DA%A9%D8%AF-65713/,"['https://dkstatics-public.digikala.com/digikala-products/121f4d552816ef26e714af918ec506c1e94f7eda_1621238294.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a96255c1554fde964deb41ead444d6aade58a86c_1621238320.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dc75c50ffc3ef9d34a21d8a3c90e9d99237df7f9_1621238328.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/2417915b3fd00d5f3b026fd2b1691f8906a64055_1621238336.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a6dbc0bca0ac54fc917a3d9afb08ab212fb0875c_1621238684.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ed3613c3d05d53d9c0b2450e0d5cfa852f418794_1621238344.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,تونیک زنانه افراتین مدل آسمان,https://www.digikala.com/product/dkp-9010840/%D9%85%D8%A7%D9%86%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D8%A2%D8%B3%D9%85%D8%A7%D9%86/,"['https://dkstatics-public.digikala.com/digikala-products/97c5c777efb4e59e33d12acbf7cca769e23051be_1658060494.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0c15420164ed71e10a3aee297d733a1a89c2eca6_1658060833.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/319c98bb20752cff91cbb5bfe82aaa6d552e0369_1658060991.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1f2a327ae9187cfd5ab11ddb929f4663d50b2506_1658060356.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4cc203fbc40f5d284904f6ae7adcb54073b0a844_1658061214.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,تونیک زنانه مدل M2620 مجموعه 2 عددی,https://www.digikala.com/product/dkp-8975456/%D8%A8%D9%84%D9%88%D8%B2-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-m2620/,"['https://dkstatics-public.digikala.com/digikala-products/2e0379907a8f445a37fbbba166fdcf5ba43cc085_1657638714.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/595ee36978cc13ecda8bf68d81fbc40599be17b9_1657638815.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d26f6cc9fda7198d40cb15878a5fed5d8cc473ce_1657638848.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3922b44a4575db377325b2ae678ceca9bcc45203_1657638895.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5bd45da0b3aca61a125f8661c7a57e6869fb2238_1657638909.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/768cb0a88a7b492c1b19f001d9d2ce3d650146c9_1657638922.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e119ab29d9ffaf7dc30b9eaa4f6e9551946016ab_1657638930.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bb167ce625a39c23a0edbc3aef690dae8bb9f4f9_1657895784.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bb0fea053d0529a69c1154213b67a775fcdcec1d_1657895837.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/00fdcfac69b8377ae77f15b92bca3343cd5b62a6_1657895815.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,تونیک بافت زنانه سیدونا مدل SI02052-001,https://www.digikala.com/product/dkp-7260232/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%A8%D8%A7%D9%81%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-si02052-001/,"['https://dkstatics-public.digikala.com/digikala-products/4a3d2fe7f321a9a42720e9bdd8d910d0a2f8881c_1639548710.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8e553df9a14a855155af31f6e843cbdec23414d0_1639548714.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/45fde0dd4fd469f6e353e0aa707bb113a6426e40_1639548716.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/fbccaf6dc8a4a51d0961db5f237cd91bf10ab3ab_1639548718.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/aed811bb6b577a6644ddab240e3fa948cd8c2164_1639548720.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b5dfed4868759319e4592bfbe98b287927e2d3ce_1639918615.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,تونیک زنانه ناوالس کد LADY2030BL,https://www.digikala.com/product/dkp-586774/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%D8%A7%D9%88%D8%A7%D9%84%D8%B3-%DA%A9%D8%AF-lady2030bl/,"['https://dkstatics-public.digikala.com/digikala-products/116700321.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116700331.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/116700325.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,تونیک زنانه مانتو ولیعصر مدل دلبر کد 65739,https://www.digikala.com/product/dkp-5483197/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%D8%AA%D9%88-%D9%88%D9%84%DB%8C%D8%B9%D8%B5%D8%B1-%D9%85%D8%AF%D9%84-%D8%AF%D9%84%D8%A8%D8%B1-%DA%A9%D8%AF-65739/,"['https://dkstatics-public.digikala.com/digikala-products/037ff8c58a8e5bb10faebf1bfe5225fcfbbe194b_1625990767.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0d8a40bb1df847e741b49b94a8ac498ad194ddfb_1625990777.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/ec56d22ffffa9c82172bb0c44fe3a3bcc0b9d1e9_1625990830.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0be099b3f33530cd8ca67791f683075008122ae5_1625990839.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a6dbc0bca0ac54fc917a3d9afb08ab212fb0875c_1625991023.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7f9c8f351313f0693d0b8e2fefa114b7f3ecc023_1625990844.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,تونیک زنانه کد 2-1047,https://www.digikala.com/product/dkp-2386997/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-2-1047/,"['https://dkstatics-public.digikala.com/digikala-products/117751476.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117751493.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117751512.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,تونیک زنانه افراتین مدل گلدار پشت بلند رنگ سرمه ای,https://www.digikala.com/product/dkp-7933253/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%DA%AF%D9%84%D8%AF%D8%A7%D8%B1-%D9%BE%D8%B4%D8%AA-%D8%A8%D9%84%D9%86%D8%AF-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/c2218f40f69421126b41d84e0aa9d9b03bb1a268_1645604855.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e32b58e6c08560152c1c7efda48b93dbe5606fc6_1645604877.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/06a998a639b2e871b48706dad0476419259257aa_1645604933.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/101f80b8575886b4bd7c240a76865336d36e7efd_1645604954.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e0cbfdf522a53623f3722433b316a9952e1dbb19_1645604965.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,تونیک زنانه کوزا مدل 3708 رنگ مشکی,https://www.digikala.com/product/dkp-6538316/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D9%88%D8%B2%D8%A7-%D9%85%D8%AF%D9%84-3708-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/2ce584f6a436da5a08f56aa681fc7f93b24798dc_1632403497.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/08e953ffadc2902186085fc2447013c13aaa4356_1632403506.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a7b8f2d0679f4f6d99a527fa9e27bb740c40ddac_1632403511.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/f0929c3764fba0245de7d98d92a7c2f7fed37d77_1632403528.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3c91214db25b17d9e87b893a8924659d5068cb99_1643214380.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,تونیک زنانه سیدونا مدل SI02236-303,https://www.digikala.com/product/dkp-8842549/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-si02236-303/,"['https://dkstatics-public.digikala.com/digikala-products/d5dfce3976b53d6c946ad262cb79ec38537c017a_1656333263.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/0f55975c014d26ec0a0d8ddf598f979d046ec099_1656333273.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bd04ff1c85eb9d38bd46337a7519f8401c7f435e_1656333267.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7a266ae2771f5b93321310515b1afded67a81e15_1656333270.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/7a808b0705640ea9995de981f8ba9f9d46b756cc_1656333276.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
