,name,link,images
0,شورت زنانه اسپست مدل ASP-BYR000 بسته سه عددی,https://www.digikala.com/product/dkp-8946090/%D8%B4%D9%88%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-asp-byr000/,"['https://dkstatics-public.digikala.com/digikala-products/ef43bd6c12bdc8edaf5d21b6663c253dac0912f3_1657268784.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/3e44c10f3f435f616eecdf04de7bc10b40041ffc_1657268781.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8f53330f07e4b90a80393925b44c1f2c45ff6eee_1657268763.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a799591fdc796c9ba92fc279043a36e1b5eaaba7_1657268772.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1f158e48a12f86d9a060fd8f002cdcaea0e333db_1657268754.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
1,سوتین زنانه کد 9997-F رنگ فیروزه ای,https://www.digikala.com/product/dkp-1844078/%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-9997-f-%D8%B1%D9%86%DA%AF-%D9%81%DB%8C%D8%B1%D9%88%D8%B2%D9%87-%D8%A7%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/117508732.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117508737.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117508741.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
2,ست شورت و سوتین زنانه کارنا رز مدل فنردار کد 3378-15 رنگ کرم,https://www.digikala.com/product/dkp-8670459/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%A7%D8%B1%D9%86%D8%A7-%D8%B1%D8%B2-%D9%85%D8%AF%D9%84-%D9%81%D9%86%D8%B1%D8%AF%D8%A7%D8%B1-%DA%A9%D8%AF-3378-15-%D8%B1%D9%86%DA%AF-%DA%A9%D8%B1%D9%85/,"['https://dkstatics-public.digikala.com/digikala-products/2fb6f600e197e566d028066ea3614229719bee4d_1654356654.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1a5c5b2d727c38d5962277aef1507cd19f6a98e8_1654356675.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c606ee1a92ebce6c215f3c74b2fd439d724b28ee_1654356709.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/b5312d5cf6917e593dd5acb89071294f26d841ed_1654356748.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a326807bd560c9ff7008b2d254f0d1cf303b3f16_1654356778.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
3,ست شورت و سوتین زنانه ماییلدا مدل 3622-1,https://www.digikala.com/product/dkp-4745234/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-3622-1/,"['https://dkstatics-public.digikala.com/digikala-products/0366ab5b8b9fd3c60eb9e01e049efbb15695c54f_1616011296.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c00467c267d21298a575f68c2df22b2f9cbed3a2_1616011301.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/26c4e240581ca731f6ad1f661311066baa4e5f15_1616011309.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c7915f5d8199290247f7a6b2dcfca1f34cc197a9_1616011315.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/97ec800319825c1a5d1fc96b00c4cc9e2ed9d397_1616011343.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/5bc9dc39e870d71c4a87ed2611dcef0893f2446f_1616011359.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/949203f4f9b9625825031bf7c5da8fab6defd5bd_1641372795.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
4,شورت زنانه راحتی کمیکس بسته 6 عددی کد 5044,https://www.digikala.com/product/dkp-1597795/%D8%B4%D9%88%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%DA%A9%D9%85%DB%8C%DA%A9%D8%B3-%D8%A8%D8%B3%D8%AA%D9%87-6-%D8%B9%D8%AF%D8%AF%DB%8C-%DA%A9%D8%AF-5044/,"['https://dkstatics-public.digikala.com/digikala-products/117392389.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117392396.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117392400.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117392407.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117392411.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117392415.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/117392437.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
5,سوتین زنانه کارنا رز مدل فنردار کد 3377-4 رنگ صورتی,https://www.digikala.com/product/dkp-8448020/%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%A7%D8%B1%D9%86%D8%A7-%D8%B1%D8%B2-%D9%85%D8%AF%D9%84-%D9%81%D9%86%D8%B1%D8%AF%D8%A7%D8%B1-%DA%A9%D8%AF-3377-4-%D8%B1%D9%86%DA%AF-%D8%B5%D9%88%D8%B1%D8%AA%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/8438182198dd22d107c17aacb6b7033ce364f0db_1651858653.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/05a52e05a423ab408160f8210e59ca07a5e51fdf_1651858654.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/bdd2f98e33eb365dcb912e1bb41f381d3a9eea15_1651858677.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/861d976a6211b80c9f28236ae7d6d1cb9a2508e1_1651858694.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
6,ست سوتین و شورت مدل Gold Ring,https://www.digikala.com/product/dkp-965344/%D8%B3%D8%AA-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D9%88-%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%AF%D9%84-gold-ring/,"['https://dkstatics-public.digikala.com/digikala-products/4512542.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/4512548.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
7,ست شورت و سوتین زنانه نُجَبا مدل 001,https://www.digikala.com/product/dkp-8414454/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%D8%AC%D8%A8%D8%A7-%D9%85%D8%AF%D9%84-001/,"['https://dkstatics-public.digikala.com/digikala-products/a1211a51aebe0c227c7514d046899883593542aa_1651391389.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/dafbfa77610aa8d9838e1f6f25efc1152a70679f_1651391394.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/e52332c1c349987d1a20673172d37d03f7566984_1651391398.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/a1211a51aebe0c227c7514d046899883593542aa_1651391403.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
8,ست شورت و سوتین زنانه کارنا رز مدل 3340 رنگ کالباسی,https://www.digikala.com/product/dkp-5422687/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%A7%D8%B1%D9%86%D8%A7-%D8%B1%D8%B2-%D9%85%D8%AF%D9%84-3340-%D8%B1%D9%86%DA%AF-%DA%A9%D8%A7%D9%84%D8%A8%D8%A7%D8%B3%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/a49e7ea3dab9ae776b771eae7702d08ac6116e12_1623314598.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/c3a78f8ad6ec3b947b8433c985da3c13226ffc2c_1623314345.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/1a7b64b9fd14cc86d6d243603630cb7f3049d84e_1623314362.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6add530822877caf925a215afd6b9feed05aaf22_1623314392.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/6c1f1276ff130df2c4ff8022eae32003c8767b27_1623314416.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/256413e5ec7e2a7b1ac96f22787b464b7d50eea9_1623314465.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/8c73e03f0c496f2a78e8d19ff25e645ed67ca822_1623314503.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/9902691fc41d57e616a3e906bb928a5c39f4345c_1623314544.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
9,ست شورت و سوتین زنانه نُجَبا مدل بندی,https://www.digikala.com/product/dkp-8394374/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%D8%AC%D8%A8%D8%A7-%D9%85%D8%AF%D9%84-%D8%A8%D9%86%D8%AF%DB%8C/,"['https://dkstatics-public.digikala.com/digikala-products/0355622b8922aafc6b0db95349225f66cc2b4dd8_1651134652.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/41ae2b9e963e193b729799d0b853e023edd98e29_1651134659.jpg?x-oss-process=image/resize,h_1600/quality,q_80', 'https://dkstatics-public.digikala.com/digikala-products/d6c68af3dfb51e0d4accc66d9e61cf09271eab7d_1651134665.jpg?x-oss-process=image/resize,h_1600/quality,q_80']"
