name,price,discount,star,link
ست 3 تکه لباس نوزادی طرح پنگوئن کد 003,"۷۱,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-2032569/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%D8%B7%D8%B1%D8%AD-%D9%BE%D9%86%DA%AF%D9%88%D8%A6%D9%86-%DA%A9%D8%AF-003/
ست 5 تکه لباس نوزاد کد G001,"۹۵,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-1772698/%D8%B3%D8%AA-5-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF-%DA%A9%D8%AF-g001/
ست 3 تکه لباس نوزادی مدل الی و دوستاش,"۹۳,۵۰۰",۴۵٪,۳.۹,https://www.digikala.com/product/dkp-7918403/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-%D8%A7%D9%84%DB%8C-%D9%88-%D8%AF%D9%88%D8%B3%D8%AA%D8%A7%D8%B4/
ست 5 تکه لباس نوزادی کد C15,"۹۲,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-3075877/%D8%B3%D8%AA-5-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%DA%A9%D8%AF-c15/
ست 19 تکه لباس نوزادی Nadiya,"۳۲۹,۰۰۰",۴۴٪,۴.۳,https://www.digikala.com/product/dkp-6596785/%D8%B3%D8%AA-19-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-nadiya/
ست تی شرت و شلوار نوزادی کد 23009,"۱۶۶,۶۶۰",۴۸٪,۳.۶,https://www.digikala.com/product/dkp-2434215/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%DA%A9%D8%AF-23009/
ست تی شرت و شلوار نوزادی طرح آبنبات چوبی,"۱۲۹,۹۹۰",۴۶٪,۴.۱,https://www.digikala.com/product/dkp-4207327/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%D8%B7%D8%B1%D8%AD-%D8%A2%D8%A8%D9%86%D8%A8%D8%A7%D8%AA-%DA%86%D9%88%D8%A8%DB%8C/
ست 3 تکه لباس نوزادی دخترانه طرح روباه کد M236,"۹۳,۵۰۰",۱۵٪,۴.۱,https://www.digikala.com/product/dkp-2743922/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B1%D9%88%D8%A8%D8%A7%D9%87-%DA%A9%D8%AF-m236/
ست تی شرت و شلوار نوزادی کد 8877578,"۱۲۹,۹۹۰",۵۷٪,۳.۷,https://www.digikala.com/product/dkp-3315524/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%DA%A9%D8%AF-8877578/
ست 4 تکه لباس نوزادی کارانس طرح نوزاد مدل SO-309,"۱۴۳,۰۰۰",۱۸٪,۳.۸,https://www.digikala.com/product/dkp-3237880/%D8%B3%D8%AA-4-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%86%D9%88%D8%B2%D8%A7%D8%AF%DB%8C-%DA%A9%D8%A7%D8%B1%D8%A7%D9%86%D8%B3-%D8%B7%D8%B1%D8%AD-%D9%86%D9%88%D8%B2%D8%A7%D8%AF-%D9%85%D8%AF%D9%84-so-309/
