name,price,discount,star,link
ست تی شرت آستین کوتاه و شلوارک پسرانه مدل سگ های نگهبان 3,"۵۵,۰۰۰",۵۴٪,۴.۷,https://www.digikala.com/product/dkp-9023255/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B3%DA%AF-%D9%87%D8%A7%DB%8C-%D9%86%DA%AF%D9%87%D8%A8%D8%A7%D9%86-3/
ست تی شرت آستین کوتاه و شلوارک پسرانه مدل سگ نگهبان 1,"۴۹,۰۰۰",۵۹٪,۴,https://www.digikala.com/product/dkp-9023148/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B3%DA%AF-%D9%86%DA%AF%D9%87%D8%A8%D8%A7%D9%86-1/
کوله پشتی بچگانه مدل PRX-300,"۲۹۷,۰۰۰",۳۹٪,۴.۳,https://www.digikala.com/product/dkp-8982115/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-prx-300/
کوله پشتی بچگانه مدل C,"۳۲۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-9260189/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-c/
کفش راحتی بچگانه مدل K n پرفکت,"۱۵۰,۰۰۰",۱۱٪,۳.۸,https://www.digikala.com/product/dkp-7482153/%DA%A9%D9%81%D8%B4-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-k-n-%D9%BE%D8%B1%D9%81%DA%A9%D8%AA/
کفش راحتی بچگانه شیما مدل 1511985,"۳۵۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-9283080/%DA%A9%D9%81%D8%B4-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D8%B4%DB%8C%D9%85%D8%A7-%D9%85%D8%AF%D9%84-1511985/
کفش راحتی بچگانه شیما مدل 1511987,"۳۵۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-9283282/%DA%A9%D9%81%D8%B4-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D8%B4%DB%8C%D9%85%D8%A7-%D9%85%D8%AF%D9%84-1511987/
هودی پسرانه مدل گرگ کد F400,"۸۵,۹۰۰",۱۴٪,۴.۲,https://www.digikala.com/product/dkp-4008432/%D9%87%D9%88%D8%AF%DB%8C-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%AF%D8%B1%DA%AF-%DA%A9%D8%AF-f400/
ساعت مچی دیجیتال مدل فانتزی لمسی کد 104,"۴۹,۷۵۰",-,۳.۷,https://www.digikala.com/product/dkp-8917456/%D8%B3%D8%A7%D8%B9%D8%AA-%D9%85%DA%86%DB%8C-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84-%D9%85%D8%AF%D9%84-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C-%D9%84%D9%85%D8%B3%DB%8C-%DA%A9%D8%AF-104/
ست تی شرت آستین کوتاه و شلوارک پسرانه چیندکا مدل SPORT کد 157,"۹۵,۰۰۰",۵۰٪,۴.۱,https://www.digikala.com/product/dkp-8504952/%D8%B3%D8%AA-%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%BE%D8%B3%D8%B1%D8%A7%D9%86%D9%87-%DA%86%DB%8C%D9%86%D8%AF%DA%A9%D8%A7-%D9%85%D8%AF%D9%84-sport-%DA%A9%D8%AF-157/
