name,price,discount,star,link
هودی دخترانه مدل اسب تک شاخ,"۹۵,۰۰۰",۴۴٪,۳.۵,https://www.digikala.com/product/dkp-9331985/%D9%87%D9%88%D8%AF%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D8%A8-%D8%AA%DA%A9-%D8%B4%D8%A7%D8%AE/
کوله پشتی دخترانه کد 163811,"۱۷۹,۰۰۰",۷٪,۴.۲,https://www.digikala.com/product/dkp-1834949/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-163811/
کوله پشتی دخترانه کد 163801,"۱۵۸,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-1834948/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-163801/
کوله پشتی دخترانه طرح یونیکورن مدل پاپیت,"۳۱۸,۰۰۰",۵۶٪,۴.۳,https://www.digikala.com/product/dkp-8622397/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%DB%8C%D9%81-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%BE%D8%A7%D9%BE%DB%8C%D8%AA-%D8%B7%D8%B1%D8%AD-%DB%8C%D9%88%D9%86%DB%8C%DA%A9%D9%88%D8%B1%D9%86/
کوله پشتی دخترانه مدل RX-760,"۳۹۸,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-8130199/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-rx-760/
کوله پشتی دخترانه مدل فانتزی,"۱۶۴,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-5429606/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C/
جاکلیدی دخترانه مدل سلنا 04,"۱۵,۰۰۰",۷۵٪,-,https://www.digikala.com/product/dkp-9270332/%D8%AC%D8%A7%DA%A9%D9%84%DB%8C%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-%D8%B3%D9%84%D9%86%D8%A7-04/
کوله پشتی بچگانه مدل PRX-300,"۲۹۷,۰۰۰",۳۹٪,۴.۳,https://www.digikala.com/product/dkp-8982115/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%A8%DA%86%DA%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-prx-300/
کوله پشتی دخترانه مدل چرمی Mn,"۱۷۴,۸۰۰",۵۴٪,۲.۵,https://www.digikala.com/product/dkp-8691256/%DA%A9%D9%88%D9%84%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%86%D8%B1%D9%85%DB%8C-mn/
شلوار دخترانه مدل کلویی زنبوری کد 01,"۸۹,۰۰۰",۵۱٪,۴.۵,https://www.digikala.com/product/dkp-6370969/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D9%84%D9%88%DB%8C%DB%8C-%D8%B2%D9%86%D8%A8%D9%88%D8%B1%DB%8C-%DA%A9%D8%AF-01/
