name,price,discount,star,link
شلوار مردانه مدل کردی کلیه بند,"۱۵۵,۰۰۰",۱۱٪,۳.۶,https://www.digikala.com/product/dkp-6956230/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D8%B1%D8%AF%DB%8C-%DA%A9%D9%84%DB%8C%D9%87-%D8%A8%D9%86%D8%AF/
شلوار راحتی مردانه فرد مدل Sha.r.002,"۱۵۹,۰۰۰",۵۸٪,۳.۷,https://www.digikala.com/product/dkp-2195277/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%81%D8%B1%D8%AF-%D9%85%D8%AF%D9%84-shar002/
ست تاپ و شلوارک مردانه مدل yk,"۱۸۵,۰۰۰",-,۴,https://www.digikala.com/product/dkp-8010238/%D8%B3%D8%AA-%D8%AA%D8%A7%D9%BE-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-yk/
شلوار مردانه مدل اسلش 2 خط مغزی دار,"۷۹,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-8237053/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-2-%D8%AE%D8%B7-%D9%85%D8%BA%D8%B2%DB%8C-%D8%AF%D8%A7%D8%B1/
شلوار مردانه سیدونا مدل MSI03021-022,"۷۷,۰۰۰",۶۱٪,۲.۷,https://www.digikala.com/product/dkp-7418016/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-msi03021-022/
شلوار راحتی مردانه مدل اسلش کد 01,"۱۰۳,۷۰۰",-,۳.۹,https://www.digikala.com/product/dkp-6229948/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%A9%D8%AF-01/
شلوار مردانه مدل 6655,"۹۳,۰۰۰",۲۳٪,۳.۹,https://www.digikala.com/product/dkp-3441747/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-6655/
شلوار مردانه سیدونا مدل MSI03021-403,"۵۹,۰۰۰",۷۰٪,۳.۳,https://www.digikala.com/product/dkp-7418018/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-msi03021-403/
ست تاپ و شلوارک مردانه باینت مدل 110,"۳۴۸,۰۰۰",۲۴٪,۴.۱,https://www.digikala.com/product/dkp-5638467/%D8%B3%D8%AA-%D8%AA%D8%A7%D9%BE-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-110/
شلوار راحتی مردانه مدل N70,"۶۸,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-6884159/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-n70/
