name,price,discount,star,link
شلوار جین مردانه ال سی وایکیکی مدل 1S62638Z8-333-GREENRODEO,"۹۱۸,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-9146301/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-1s62638z8-333-greenrodeo/
شلوار مردانه کد 129 رنگ مشکی,"۳۲۴,۰۰۰",۲۶٪,۳.۷,https://www.digikala.com/product/dkp-1912471/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-129-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
شلوار مردانه کد 126 رنگ ذغالی,"۳۱۰,۰۰۰",۳۸٪,۳.۸,https://www.digikala.com/product/dkp-808966/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-126-%D8%B1%D9%86%DA%AF-%D8%B0%D8%BA%D8%A7%D9%84%DB%8C/
شلوار جین مردانه مدل اسکینی کد 0014,"۳۰۴,۰۰۰",۱۱٪,۳.۸,https://www.digikala.com/product/dkp-3814772/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%DA%A9%DB%8C%D9%86%DB%8C-%DA%A9%D8%AF-0014/
شلوار جین مردانه مدل POOZ-ZO-500,"۲۷۳,۰۰۰",۵۵٪,۳.۸,https://www.digikala.com/product/dkp-7105449/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-pooz-zo-500/
شلوار جین مردانه ال سی وایکیکی مدل 1SCH01Z8-GREEN,"۶۲۵,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-9146303/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-1sch01z8-green/
شلوار جین مردانه مدل LD55,"۲۱۵,۰۰۰",۶۴٪,۳.۵,https://www.digikala.com/product/dkp-6833798/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-linedot-cross/
شلوار جین مردانه کیکی رایکی مدل DIO 5001-01,"۲,۵۱۰,۰۰۰",-,۴.۴,https://www.digikala.com/product/dkp-9094611/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-dio-5001-01/
شلوار جین مردانه مدل POOZ-AB-T300,"۲۶۳,۰۰۰",۵۶٪,۴,https://www.digikala.com/product/dkp-7105290/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-pooz-ab-t300/
شلوار جین مردانه کوی مدل بابا کد 527 رنگ آبی,"۷۵۰,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-7119849/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-%D8%A8%D8%A7%D8%A8%D8%A7-%DA%A9%D8%AF-527/
شلوار جین مردانه کد 156,"۲۹۹,۰۰۰",۲۴٪,۳.۷,https://www.digikala.com/product/dkp-1966937/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-156/
شلوار جین مردانه ال سی وایکیکی مدل 1SCH01Z8-CREAM,"۶۲۵,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-9146302/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-1sch01z8-cream/
شلوار جین مردانه کد 161 رنگ آبی روشن,"۳۵۵,۰۰۰",۲۰٪,۳.۸,https://www.digikala.com/product/dkp-2031949/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-161-%D8%B1%D9%86%DA%AF-%D8%A2%D8%A8%DB%8C-%D8%B1%D9%88%D8%B4%D9%86/
شلوار جین مردانه مدل ME-400,"۲۶۸,۰۰۰",۵۵٪,۳.۸,https://www.digikala.com/product/dkp-7105399/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-me-400/
شلوار جین مردانه مدل HAYAT-01Z,"۳۷۰,۰۰۰",۴۳٪,۳.۲,https://www.digikala.com/product/dkp-4645920/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-hayat-01z/
شلوار جین مردانه آر اِن اِس مدل 12041275-93,"۶۸۵,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-8199222/mz89-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%D8%B1-%D8%A7%D9%86-%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-12041275-93/
شلوار جین مردانه مدل AR-40064,"۳۵۰,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-5646960/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-ar-40064/
شلوار جین مردانه کد M1719,"۳۱۵,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-3238675/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-m1719/
شلوار جین مردانه مدل A-3040,"۲۹۵,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-6412924/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-t-3040/
شلوار جین مردانه مدل 40096,"۳۶۴,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-7347789/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-40096/
شلوار جین مردانه کیکی رایکی مدل DIO 5001-04,"۲,۵۱۰,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-9094612/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-dio-5001-04/
شلوار جین مردانه کد 157,"۳۱۷,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-1968790/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-157/
شلوار جین مردانه کوی مدل بابا کد 527 رنگ آبی اسیدی,"۷۵۰,۰۰۰",-,۴.۸,https://www.digikala.com/product/dkp-8247844/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-%D8%A8%D8%A7%D8%A8%D8%A7-%D8%A7%D8%B3%DB%8C%D8%AF%DB%8C-%DA%A9%D8%AF-527-%D8%B1%D9%86%DA%AF-%D8%A2%D8%A8%DB%8C/
شلوار مردانه کد 158 رنگ آبی روشن,"۳۶۹,۰۰۰",۲۰٪,۳.۶,https://www.digikala.com/product/dkp-2012948/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-158-%D8%B1%D9%86%DA%AF-%D8%A2%D8%A8%DB%8C-%D8%B1%D9%88%D8%B4%D9%86/
شلوار مردانه کد 222,"۳۴۹,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-1968870/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-222/
شلوار جین مردانه مدل M2574,"۵۲۸,۹۰۰",۶۸٪,۴,https://www.digikala.com/product/dkp-8769011/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-m2574/
شلوار جین مردانه وینترهارت مدل M2045001DM-99,"۶۸۹,۰۰۰",-,-,https://www.digikala.com/product/dkp-8484342/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%86%D8%AA%D8%B1%D9%87%D8%A7%D8%B1%D8%AA-%D9%85%D8%AF%D9%84-m2045001dm-99/
شلوار جین مردانه کد RR-40798,"۲۲۰,۰۰۰",-,۳.۲,https://www.digikala.com/product/dkp-4288217/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-rr-40798/
