name,price,discount,star,link
کاپشن بهاره مردانه اسپیور مدل 2S18-24,"۶۲۷,۰۰۰",۶۲٪,۴,https://www.digikala.com/product/dkp-4668358/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%A8%D9%87%D8%A7%D8%B1%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%DB%8C%D9%88%D8%B1-%D9%85%D8%AF%D9%84-2s18-24/
کاپشن مردانه مدل S007,"۴۹۴,۰۰۰",۵٪,۴.۱,https://www.digikala.com/product/dkp-6632995/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-s007/
کاپشن مردانه مدل 111,"۳۷۵,۰۰۰",۳۶٪,۳.۸,https://www.digikala.com/product/dkp-6527368/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-111/
پالتو مردانه مدل سناتور ضد آب کد 005,"۹۹۸,۰۰۰",۷۷٪,۳.۴,https://www.digikala.com/product/dkp-7645086/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B3%D9%86%D8%A7%D8%AA%D9%88%D8%B1-%D8%B6%D8%AF-%D8%A2%D8%A8-%DA%A9%D8%AF-005/
کاپشن مردانه مدل کوهیار کد 1031 رنگ سرمه ای,"۶۹۷,۰۰۰",۲۹٪,۴.۶,https://www.digikala.com/product/dkp-7969519/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D9%88%D9%87%DB%8C%D8%A7%D8%B1-%DA%A9%D8%AF-1031-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/
کاپشن مردانه چرم کن ا کد Q800,"۸,۷۰۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-3293409/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%86%D8%B1%D9%85-%DA%A9%D9%86-%D8%A7-%DA%A9%D8%AF-q800/
کاپشن مردانه کیکی رایکی مدل MBB02755-001,"۱,۰۸۲,۰۰۰",۷۸٪,۳.۹,https://www.digikala.com/product/dkp-7191493/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-mbb02755-001/
کاپشن مردانه مدل کوهیار کد 1031 رنگ مشکی,"۷۳۷,۰۰۰",۲۵٪,۴.۱,https://www.digikala.com/product/dkp-4412516/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D9%88%D9%87%DB%8C%D8%A7%D8%B1-%DA%A9%D8%AF-1031-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
کاپشن مردانه کلمبیا مدل دوپوش Aravis Explorer,"۸,۹۹۹,۰۰۰",۳۰٪,-,https://www.digikala.com/product/dkp-7761200/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D9%84%D9%85%D8%A8%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-%D8%AF%D9%88%D9%BE%D9%88%D8%B4-aravis-explorer/
کاپشن بهاره مردانه اسپیور مدل 2s15-41,"۶۳۴,۰۰۰",۶۲٪,۴.۲,https://www.digikala.com/product/dkp-4518106/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%A8%D9%87%D8%A7%D8%B1%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%DB%8C%D9%88%D8%B1-%D9%85%D8%AF%D9%84-2s15-41/
کاپشن مردانه لیورجی مدل LW-322595,"۱,۱۹۰,۰۰۰",-,۳.۱,https://www.digikala.com/product/dkp-3471669/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%84%DB%8C%D9%88%D8%B1%D8%AC%DB%8C-%D9%85%D8%AF%D9%84-lightweight-jacket/
کاپشن مردانه مدل SH-339,"۵۴۴,۰۰۰",۱۵٪,۳.۹,https://www.digikala.com/product/dkp-3827346/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-sh-339/
کاپشن بهاره مردانه مدل MW-02,"۳۶۰,۰۰۰",۲۸٪,۴.۳,https://www.digikala.com/product/dkp-7620664/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%A8%D9%87%D8%A7%D8%B1%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-mw-02/
جلیقه مردانه کارتل مدل EG23,"۳۵۰,۰۰۰",۲۲٪,۴.۳,https://www.digikala.com/product/dkp-8475508/%D8%AC%D9%84%DB%8C%D9%82%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%A7%D8%B1%D8%AA%D9%84-%D9%85%D8%AF%D9%84-eg23/
بارانی مردانه کیکی رایکی مدل MBB02852-403,"۱,۰۱۷,۰۰۰",۸۳٪,۲.۷,https://www.digikala.com/product/dkp-7649680/%D8%A8%D8%A7%D8%B1%D8%A7%D9%86%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-mbb02852-403/
کاپشن مردانه کیکی رایکی مدل MBB02751-016,"۹۹۹,۰۰۰",۷۸٪,۴.۷,https://www.digikala.com/product/dkp-7159981/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-mbb02751-016/
کت چرم مردانه آلین مدل M4018ABHBS,"۹,۸۹۰,۰۰۰",۳۴٪,-,https://www.digikala.com/product/dkp-6216855/%DA%A9%D8%AA-%DA%86%D8%B1%D9%85-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%D9%84%DB%8C%D9%86-%D9%85%D8%AF%D9%84-m4018abhbs/
