name,price,discount,star,link
پیراهن آستین بلند مردانه مدل bn03 رنگ مشکی,"۱۱۹,۴۵۰",-,۳.۷,https://www.digikala.com/product/dkp-5204217/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bn03-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
پیراهن مردانه مدل bn9999,"۹۸,۱۲۰",-,۳.۸,https://www.digikala.com/product/dkp-3244777/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bn9999/
پیراهن آستین کوتاه مردانه مدل هاوایی ABR-M,"۱۸۵,۰۰۰",۷۹٪,۴.۱,https://www.digikala.com/product/dkp-8682083/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%87%D8%A7%D9%88%D8%A7%DB%8C%DB%8C-abr-m/
پیراهن مردانه مدل bn10000,"۹۸,۱۲۰",-,۳.۸,https://www.digikala.com/product/dkp-3244782/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bn10000/
پیراهن مردانه سرز طرح هاوایی مدل zxcvk258,"۲۲۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-3353507/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%D8%B1%D8%B2-%D8%B7%D8%B1%D8%AD-%D9%87%D8%A7%D9%88%D8%A7%DB%8C%DB%8C-%D9%85%D8%AF%D9%84-zxcvk258/
پیراهن مردانه ایزی دو مدل 218113199,"۶۱۳,۰۰۰",-,۳.۱,https://www.digikala.com/product/dkp-6994194/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%DB%8C%D8%B2%DB%8C-%D8%AF%D9%88-%D9%85%D8%AF%D9%84-218113199/
پیراهن آستین کوتاه مردانه مدل راه راه DIP- رنگ مشکی,"۱۸۵,۰۰۰",۷۹٪,۳.۷,https://www.digikala.com/product/dkp-8682173/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B1%D8%A7%D9%87-%D8%B1%D8%A7%D9%87-dip-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
پیراهن آستین بلند مردانه بادی اسپینر مدل 03980094 کد 1 رنگ ذغالی,"۱۷۹,۵۰۰",۵۰٪,۳.۲,https://www.digikala.com/product/dkp-8728912/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%D8%AF%DB%8C-%D8%A7%D8%B3%D9%BE%DB%8C%D9%86%D8%B1-%D9%85%D8%AF%D9%84-03980094-%DA%A9%D8%AF-1-%D8%B1%D9%86%DA%AF-%D8%B0%D8%BA%D8%A7%D9%84%DB%8C/
پیراهن مردانه مدل PVLF-B-M-9903 رنگ مشکی,"۱۱۷,۶۰۰",۱۶٪,۳.۵,https://www.digikala.com/product/dkp-3125591/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-pvlf-b-m-9903-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
پیراهن آستین بلند مردانه مدل BMBT1043-7,"۹۸,۱۲۰",-,۴,https://www.digikala.com/product/dkp-4939233/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bmbt1043-7/
