name,price,discount,star,link
شلوارک مردانه مدل چهار خونه رنگ قرمز,"۸۶,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-7520531/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%86%D9%87%D8%A7%D8%B1-%D8%AE%D9%88%D9%86%D9%87-%D8%B1%D9%86%DA%AF-%D9%82%D8%B1%D9%85%D8%B2/
شلوارک مردانه مدل نیک کد M,"۱۲۸,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-5449508/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%DA%A9-%DA%A9%D8%AF-m/
شلوارک مردانه زی سا مدل 153154007,"۱۸۸,۰۰۰",۵۶٪,۳.۶,https://www.digikala.com/product/dkp-5945258/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B2%DB%8C-%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-153154007/
شلوارک مردانه مدل SMT1,"۱۸۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-4603943/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-smt1/
شلوارک مردانه ایران مد کد r-20780 رنگ مشکی,"۱۲۶,۴۰۰",۲۰٪,۴.۲,https://www.digikala.com/product/dkp-9042844/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D9%85%D8%AF-%DA%A9%D8%AF-r-20780-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
شلوارک مردانه لیورجی مدل 3131054 رنگ طوسی,"۱۵۵,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-5748834/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%84%DB%8C%D9%88%D8%B1%D8%AC%DB%8C-%D9%85%D8%AF%D9%84-3131054-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/
شلوارک مردانه آی ان سی مدل LIGHT MILKY,"۱۹۵,۰۰۰",۳۵٪,۳.۷,https://www.digikala.com/product/dkp-4707994/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%DB%8C-%D8%A7%D9%86-%D8%B3%DB%8C-%D9%85%D8%AF%D9%84-light-milky/
شلوارک مردانه مدل نیک کد A,"۱۲۸,۰۰۰",-,۴,https://www.digikala.com/product/dkp-5618956/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%DA%A9-%DA%A9%D8%AF-a/
شلوارک مردانه ساروک مدل MLBO کد 01 رنگ طوسی روشن,"۱۷۹,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-6981545/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%D8%A7%D8%B1%D9%88%DA%A9-%D9%85%D8%AF%D9%84-mlbo-%DA%A9%D8%AF-01-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C-%D8%B1%D9%88%D8%B4%D9%86/
شلوارک مردانه مدل جین کد RK-40274,"۱۶۹,۵۰۰",۱۵٪,۳.۴,https://www.digikala.com/product/dkp-7955157/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AC%DB%8C%D9%86-%DA%A9%D8%AF-rk-40274/
