name,price,discount,star,link
تی شرت مردانه کد S179,"۲۶,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-1857864/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-s179/
تی شرت ورزشی نخی مردانه فلوریزا طرح بوکس کد boxing 002M تیشرت,"۳۳,۹۰۰",-,۳.۳,https://www.digikala.com/product/dkp-919013/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D9%86%D8%AE%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%81%D9%84%D9%88%D8%B1%DB%8C%D8%B2%D8%A7-%D8%B7%D8%B1%D8%AD-%D8%A8%D9%88%DA%A9%D8%B3-%DA%A9%D8%AF-boxing-002m-%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA/
تی شرت آستین کوتاه مردانه فرد مدل t.f.045,"۶۹,۰۰۰",۷۷٪,۳.۶,https://www.digikala.com/product/dkp-8785995/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%81%D8%B1%D8%AF-%D9%85%D8%AF%D9%84-tf045/
تی شرت مردانه طرح مارشملو کد 17330,"۳۷,۳۰۰",-,۳.۱,https://www.digikala.com/product/dkp-1765914/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%85%D8%A7%D8%B1%D8%B4%D9%85%D9%84%D9%88-%DA%A9%D8%AF-17330/
تی شرت مردانه کد 34160,"۳۵,۵۰۰",-,۳.۱,https://www.digikala.com/product/dkp-1816767/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-34160/
تی شرت مردانه کیکی رایکی مدل MBB02989-008,"۱۷۳,۰۰۰",۶۵٪,۳.۷,https://www.digikala.com/product/dkp-8237188/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-mbb02989-008/
تی شرت مردانه طرح پرواز کد 146,"۴۴,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-1027150/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%BE%D8%B1%D9%88%D8%A7%D8%B2-%DA%A9%D8%AF-146/
تی شرت مردانه طرح موزیک کد 34002,"۳۵,۳۰۰",-,۳.۴,https://www.digikala.com/product/dkp-1816842/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%85%D9%88%D8%B2%DB%8C%DA%A9-%DA%A9%D8%AF-34002/
تیشرت آستین کوتاه مردانه 1991 اس دبلیو مدل TS1930 GR,"۱۹۸,۰۰۰",۴۰٪,۴.۱,https://www.digikala.com/product/dkp-4927605/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-1991-%D8%A7%D8%B3-%D8%AF%D8%A8%D9%84%DB%8C%D9%88-%D9%85%D8%AF%D9%84-ts1930-gr/
تیشرت آستین بلند مردانه کد 3BL,"۴۵,۰۰۰",-,۳.۱,https://www.digikala.com/product/dkp-1062119/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-3bl/
