name,price,discount,star,link
تاپ کلاه دار مردانه اولسون مدل Tpko,"۸۹,۰۰۰",-,۴,https://www.digikala.com/product/dkp-8384243/%D8%AA%D8%A7%D9%BE-%DA%A9%D9%84%D8%A7%D9%87-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D9%88%D9%84%D8%B3%D9%88%D9%86-%D9%85%D8%AF%D9%84-tpko/
تاپ مردانه طرح شیکاگو بولز کد 3067,"۵۸,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-3252091/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B4%DB%8C%DA%A9%D8%A7%DA%AF%D9%88-%D8%A8%D9%88%D9%84%D8%B2-%DA%A9%D8%AF-3067/
تاپ مردانه طرح انجامش بده کد 3062,"۵۴,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-3252058/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A7%D9%86%D8%AC%D8%A7%D9%85%D8%B4-%D8%A8%D8%AF%D9%87-%DA%A9%D8%AF-3062/
تاپ کلاه دار مردانه آندر آرمور مدل ROCK BIG LOGO,"۹۹۲,۰۰۰",۳۸٪,-,https://www.digikala.com/product/dkp-7981147/%D8%AA%D8%A7%D9%BE-%DA%A9%D9%84%D8%A7%D9%87-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%D9%86%D8%AF%D8%B1-%D8%A2%D8%B1%D9%85%D9%88%D8%B1-%D9%85%D8%AF%D9%84-rock-big-logo/
تاپ مردانه طرح UFC کد 2246,"۵۲,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-3243714/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-ufc-%DA%A9%D8%AF-2246/
تاپ مردانه 27 طرح gym کد H76,"۶۸,۹۰۰",۴۸٪,۴,https://www.digikala.com/product/dkp-3257526/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D8%B7%D8%B1%D8%AD-gym-%DA%A9%D8%AF-h76/
تاپ مردانه 27 مدل بدن سازی کد WN985,"۱۳۲,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-8785588/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D9%85%D8%AF%D9%84-%D8%A8%D8%AF%D9%86-%D8%B3%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-wn985/
تاپ کلاه دار مردانه باینت مدل 472-2,"۱۳۹,۰۰۰",۳۰٪,۴.۲,https://www.digikala.com/product/dkp-8327080/%D8%AA%D8%A7%D9%BE-%DA%A9%D9%84%D8%A7%D9%87-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-472-2/
تاپ مردانه مدل B62 رنگ طوسی,"۶۸,۹۰۰",۴۸٪,۳.۹,https://www.digikala.com/product/dkp-5063638/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-b62-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/
تاپ کلاه دار مردانه 27 مدل بدن سازی کد WN985,"۷۹,۹۰۰",۴۵٪,۴,https://www.digikala.com/product/dkp-8789261/%D8%AA%D8%A7%D9%BE-%DA%A9%D9%84%D8%A7%D9%87-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D9%85%D8%AF%D9%84-%D8%A8%D8%AF%D9%86-%D8%B3%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-wn985/
تاپ مردانه باینت مدل 412-3,"۱۲۹,۰۰۰",۱۳٪,۴.۲,https://www.digikala.com/product/dkp-4791346/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-412-3/
تاپ مردانه کد 3066,"۷۵,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-3252081/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-3066/
تاپ مردانه طرح بدنسازی کد M283,"۸۹,۰۰۰",۱۹٪,۳.۴,https://www.digikala.com/product/dkp-3217611/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A8%D8%AF%D9%86%D8%B3%D8%A7%D8%B2%DB%8C-%DA%A9%D8%AF-m283/
تاپ مردانه 27 طرح Be natural کد AL03,"۶۸,۹۰۰",۴۸٪,۳.۷,https://www.digikala.com/product/dkp-2936264/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D8%B7%D8%B1%D8%AD-be-natural-%DA%A9%D8%AF-al03/
تاپ مردانه طرح گرگ کد F48,"۴۲,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-3092705/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%DA%AF%D8%B1%DA%AF-%DA%A9%D8%AF-f48/
تاپ مردانه کد 2286,"۶۵,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-3252021/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-2286/
تاپ مردانه کیکی رایکی مدل MBB20129-127,"۲۲۰,۰۰۰",۶۰٪,۳,https://www.digikala.com/product/dkp-8535486/h39-%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-mbb20129-127/
تاپ مردانه 27 مدل ریک و مورتی کد WN596,"۶۹,۹۰۰",۳۶٪,۳,https://www.digikala.com/product/dkp-7705539/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D9%85%D8%AF%D9%84-%D8%B1%DB%8C%DA%A9-%D9%88-%D9%85%D9%88%D8%B1%D8%AA%DB%8C-%DA%A9%D8%AF-wn596/
تاپ مردانه باینت مدل 472-1,"۱۳۹,۰۰۰",۳۰٪,۳.۹,https://www.digikala.com/product/dkp-7866188/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-472-1/
تاپ مردانه مدل 347022413,"۷۴,۰۰۰",۱۷٪,۵,https://www.digikala.com/product/dkp-8485434/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-347022413/
تاپ مردانه باینت مدل 412-2,"۱۲۹,۰۰۰",۱۳٪,۴.۳,https://www.digikala.com/product/dkp-4791336/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-412-2/
تاپ مردانه مدل H007W,"۶۹,۰۰۰",-,۲.۸,https://www.digikala.com/product/dkp-5455102/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-h007w/
تاپ مردانه 27 مدل سامورایی کد H04,"۶۸,۹۰۰",۴۸٪,۴.۱,https://www.digikala.com/product/dkp-2765416/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D9%85%D8%AF%D9%84-%D8%B3%D8%A7%D9%85%D9%88%D8%B1%D8%A7%DB%8C%DB%8C-%DA%A9%D8%AF-h04/
تاپ مردانه ساروک مدل TMPY04 رنگ فسفری,"۱۳۰,۰۰۰",-,۳,https://www.digikala.com/product/dkp-5934244/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%D8%A7%D8%B1%D9%88%DA%A9-%D9%85%D8%AF%D9%84-tmpy04-%D8%B1%D9%86%DA%AF-%D9%81%D8%B3%D9%81%D8%B1%DB%8C/
تاپ کلاه دار مردانه باینت مدل 472-3,"۱۳۹,۰۰۰",۳۰٪,۴.۷,https://www.digikala.com/product/dkp-8507952/%D8%AA%D8%A7%D9%BE-%DA%A9%D9%84%D8%A7%D9%87-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-472-3/
تاپ مردانه کد 2283,"۶۵,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-3252032/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-2283/
تاپ مردانه ساروک مدل TMPY08 رنگ سبز آبی,"۱۳۰,۰۰۰",-,۲.۵,https://www.digikala.com/product/dkp-5934258/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B3%D8%A7%D8%B1%D9%88%DA%A9-%D9%85%D8%AF%D9%84-tmpy08-%D8%B1%D9%86%DA%AF-%D8%B3%D8%A8%D8%B2-%D8%A2%D8%A8%DB%8C/
تاپ مردانه کوی مدل ساحلی کد 729 رنگ کاراملی,"۲۲۰,۸۰۰",۲۰٪,۴,https://www.digikala.com/product/dkp-8247278/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-%D8%B3%D8%A7%D8%AD%D9%84%DB%8C-%DA%A9%D8%AF-729-%D8%B1%D9%86%DA%AF-%DA%A9%D8%A7%D8%B1%D8%A7%D9%85%D9%84%DB%8C/
تاپ مردانه 27 طرح ONE ALL FITNESS کد H66,"۱۳۲,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-3251547/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-27-%D8%B7%D8%B1%D8%AD-one-all-fitness-%DA%A9%D8%AF-h66/
تاپ مردانه آریان نخ باف کد 1517,"۱۳۰,۰۰۰",۲۸٪,۴.۱,https://www.digikala.com/product/dkp-1813742/%D8%AA%D8%A7%D9%BE-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%D8%B1%DB%8C%D8%A7%D9%86-%D9%86%D8%AE-%D8%A8%D8%A7%D9%81-%DA%A9%D8%AF-1517/
