name,price,discount,star,link
شلوار مردانه مدل اسلش هفت جیب 5566333,"۹۷,۰۰۰",۲۴٪,۳.۷,https://www.digikala.com/product/dkp-6212000/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%D9%87%D9%81%D8%AA-%D8%AC%DB%8C%D8%A8-5566333/
شلوار مردانه مدل اسلش 110,"۱۲۱,۰۰۰",۵۰٪,۳.۵,https://www.digikala.com/product/dkp-7936296/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-110/
شلوار مردانه صدرا مدل BOY LONDON کد R-40924  رنگ مشکی,"۱۴۴,۹۰۰",۳۱٪,۳.۹,https://www.digikala.com/product/dkp-5481548/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%B5%D8%AF%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-boy-london-%DA%A9%D8%AF-r-40924-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
شلوار مردانه مدل ایکس لابی,"۱۲۹,۰۰۰",-,۴,https://www.digikala.com/product/dkp-8719283/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%A7%D8%B3%D9%84%D8%B4-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%DB%8C%DA%A9%D8%B3-%D8%A8%D9%86%D8%AF/
شلوار پارچه ای مردانه ادریس کد 8,"۱۵۶,۹۰۰",۷٪,۳.۸,https://www.digikala.com/product/dkp-918076/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%BE%D8%A7%D8%B1%DA%86%D9%87-%D8%A7%DB%8C-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%AF%D8%B1%DB%8C%D8%B3-%DA%A9%D8%AF-8/
شلوار مردانه مدل اسلش کد cocle3453,"۸۳,۸۰۰",۱۶٪,۳.۹,https://www.digikala.com/product/dkp-5757193/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%A9%D8%AF-cocle3453/
شلوار مردانه مدل اسلش مدل شش جیب 110 TOS,"۱۱۳,۳۰۰",۵۳٪,۳.۶,https://www.digikala.com/product/dkp-8106899/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%D9%85%D8%AF%D9%84-%D8%B4%D8%B4-%D8%AC%DB%8C%D8%A8-110-tos/
شلوار مردانه کیکی رایکی مدل DIO 1020-04,"۲,۹۹۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-8810951/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-dio-1020-04/
شلوار مردانه پنبه شکار مدل اسلش چهار نقاب SIA,"۹۸,۷۵۰",۲۶٪,۳.۸,https://www.digikala.com/product/dkp-7086878/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%BE%D9%86%D8%A8%D9%87-%D8%B4%DA%A9%D8%A7%D8%B1-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%86%D9%87%D8%A7%D8%B1-%D9%86%D9%82%D8%A7%D8%A8-sia/
شلوار مردانه مدل اسلش کد 127,"۵۹,۹۰۰",۶۰٪,۳,https://www.digikala.com/product/dkp-8009021/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%A9%D8%AF-127/
شلوار مردانه مدل اسلش چهار نقاب SAB,"۱۱۹,۲۰۰",-,۳.۹,https://www.digikala.com/product/dkp-7959305/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%86%D9%87%D8%A7%D8%B1-%D9%86%D9%82%D8%A7%D8%A8-sab/
شلوار مردانه کد RR-40634,"۱۲۲,۳۰۰",-,۳.۵,https://www.digikala.com/product/dkp-3648112/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-rr-40634/
شلوار مردانه مدل اسلش چهار نقاب TOS,"۱۱۷,۶۰۰",۵۱٪,۳.۷,https://www.digikala.com/product/dkp-7996334/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%D8%B4-%DA%86%D9%87%D8%A7%D8%B1-%D9%86%D9%82%D8%A7%D8%A8-tos/
شلوار مردانه مدل rr-40723,"۹۸,۷۵۰",-,۳.۵,https://www.digikala.com/product/dkp-4121973/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B4%D8%B4-%D8%AC%DB%8C%D8%A8/
شلوار اسلش مردانه مدل GL010,"۲۹۰,۰۰۰",-,۲,https://www.digikala.com/product/dkp-8371398/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%A7%D8%B3%D9%84%D8%B4-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-gl010/
