name,price,discount,star,link
شورت مردانه اسپست مدل UPA-BB,"۵۵,۰۰۰",۳۹٪,۳.۸,https://www.digikala.com/product/dkp-5156271/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-upa-bb/
شورت مردانه اسپست مدل ASP-SLIPNW,"۵۵,۰۰۰",۵۴٪,۳.۴,https://www.digikala.com/product/dkp-8967445/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-asp-slipnw/
شورت مردانه اسپست مدل ASP-TMM,"۵۵,۰۰۰",۶۳٪,۴.۵,https://www.digikala.com/product/dkp-9369594/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-asp-tmm/
شورت مردانه اسپست مدل ASP -TMPA,"۵۵,۰۰۰",۶۳٪,-,https://www.digikala.com/product/dkp-9420085/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-asp-tmpa/
شورت مردانه آوین مدل جعبه ای 01 مجموعه 5 عددی,"۱۶۴,۰۰۰",۵۳٪,۴.۲,https://www.digikala.com/product/dkp-7179803/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%D9%88%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D8%AC%D8%B9%D8%A8%D9%87-%D8%A7%DB%8C-01-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-5-%D8%B9%D8%AF%D8%AF%DB%8C/
شورت مردانه مدل نیم پا کد avn01 مجموعه 6 عددی,"۱۹۶,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-5409793/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%D9%85-%D9%BE%D8%A7-%DA%A9%D8%AF-avn01-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-6-%D8%B9%D8%AF%D8%AF%DB%8C/
شورت مردانه آریان نخ باف کد 1314 مجموعه 3 عددی,"۲۲۵,۰۰۰",۳۲٪,۴.۲,https://www.digikala.com/product/dkp-702401/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A2%D8%B1%DB%8C%D8%A7%D9%86-%D9%86%D8%AE-%D8%A8%D8%A7%D9%81-%DA%A9%D8%AF-1314-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-3-%D8%B9%D8%AF%D8%AF%DB%8C/
شورت مردانه گویا مدل GA-32MAM23 مجموعه 6 عددی,"۱۶۹,۹۰۰",۱۵٪,۴,https://www.digikala.com/product/dkp-2918433/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%DA%AF%D9%88%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-ga-32mam23-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-6-%D8%B9%D8%AF%D8%AF%DB%8C/
شورت مردانه کد 111 مجموعه 6 عددی,"۱۲۸,۰۰۰",-,۳.۶,https://www.digikala.com/product/dkp-3618614/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B3%D9%84%DB%8C%D9%BE-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-6-%D8%B9%D8%AF%D8%AF%DB%8C/
شورت مردانه برهان تن پوش مدل پادار 17-04 رنگ مشکی,"۱۵۰,۰۰۰",-,۴,https://www.digikala.com/product/dkp-7520437/%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%B1%D8%AF%D8%A7%D9%86%D9%87-%D8%A8%D8%B1%D9%87%D8%A7%D9%86-%D8%AA%D9%86-%D9%BE%D9%88%D8%B4-%D9%85%D8%AF%D9%84-%D9%BE%D8%A7%D8%AF%D8%A7%D8%B1-17-04-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
