name,price,discount,star,link
پیراهن زنانه مدل Eyeful 2021,"۳,۹۹۵,۰۰۰",-,۴.۷,https://www.digikala.com/product/dkp-3274155/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-p-2021/
پیراهن ساحلی زنانه بنیس مدل آنلی,"۲۵۸,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-8538343/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B3%D8%A7%D8%AD%D9%84%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A8%D9%86%DB%8C%D8%B3-%D9%85%D8%AF%D9%84-%D8%A2%D9%86%D9%84%DB%8C/
پیراهن زنانه ال سی وایکیکی مدل آستین بلند BO10357,"۱,۰۱۶,۴۰۰",۳۰٪,-,https://www.digikala.com/product/dkp-7597666/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-bo10357/
پیراهن زنانه مدل دلنواز 1,"۳۶۵,۷۰۰",۳۱٪,۳,https://www.digikala.com/product/dkp-7958136/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AF%D9%84%D9%86%D9%88%D8%A7%D8%B2-1/
شنل لباس مجلسی مدل Celadon کد Ak17,"۱۹۸,۰۰۰",-,۴,https://www.digikala.com/product/dkp-1088730/%D8%B4%D9%86%D9%84-%D9%84%D8%A8%D8%A7%D8%B3-%D9%85%D8%AC%D9%84%D8%B3%DB%8C-%D9%85%D8%AF%D9%84-celadon-%DA%A9%D8%AF-ak17/
پیراهن زنانه درس ایگو کد 1010018 رنگ قرمز,"۱,۳۸۰,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-2091710/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%D8%B1%D8%B3-%D8%A7%DB%8C%DA%AF%D9%88-%DA%A9%D8%AF-1010018-%D8%B1%D9%86%DA%AF-%D9%82%D8%B1%D9%85%D8%B2/
پیراهن ساحلی زنانه مدل رنگین کمان 48,"۱۱۴,۰۰۰",۱۹٪,۳.۸,https://www.digikala.com/product/dkp-5654540/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B3%D8%A7%D8%AD%D9%84%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B1%D9%86%DA%AF%DB%8C%D9%86-%DA%A9%D9%85%D8%A7%D9%86-48/
پیراهن زنانه اسمارا مدل مجلسی کد 8200524,"۵۷۰,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-8200524/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-%D9%85%D8%AC%D9%84%D8%B3%DB%8C-%DA%A9%D8%AF-7975676/
پیراهن زنانه اسمارا مدل DIGI364-2022,"۲۹۵,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-7831043/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-digi364-2022/
پیراهن زنانه مانگو مدل 31023574-52,"۳۸۰,۰۰۰",۵۷٪,۴.۲,https://www.digikala.com/product/dkp-3833861/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-31023574-52/
پیراهن زنانه اسمارا مدل مجلسی کد 8090395,"۶۴۶,۰۰۰",۵٪,۵,https://www.digikala.com/product/dkp-8090395/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-%D9%85%D8%AC%D9%84%D8%B3%DB%8C-%DA%A9%D8%AF-8090395/
