name,price,discount,star,link
لباس خواب زنانه کد T-901-02,"۸۱,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-2506067/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-t-901-02/
لباس خواب زنانه مدل Prenses-Z 07,"۵۸,۳۰۰",-,۳.۴,https://www.digikala.com/product/dkp-2084418/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-prenses-z-07/
لباس خواب زنانه کد 520,"۷۵,۰۰۰",۱۷٪,۳.۶,https://www.digikala.com/product/dkp-3011114/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-520/
لباس خواب زنانه شیک فام مدل TH1451 رنگ مشکی,"۳۵,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-8264217/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B4%DB%8C%DA%A9-%D9%81%D8%A7%D9%85-%D9%85%D8%AF%D9%84-th1451-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
لباس خواب زنانه کد AD252,"۵۳,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-2510571/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-ad252/
پیراهن زنانه افراتین مدل گل ختمی رنگ سرمه ای,"۲۰۹,۰۰۰",۲۷٪,۴,https://www.digikala.com/product/dkp-8735054/%D9%BE%DB%8C%D8%B1%D8%A7%D9%87%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%DA%AF%D9%84-%D8%AE%D8%AA%D9%85%DB%8C-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/
لباس خواب زنانه فیتن مدل 447B,"۵۵,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-955144/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%81%DB%8C%D8%AA%D9%86-%D9%85%D8%AF%D9%84-447b/
ست سویشرت و شلوار زنانه کیکی رایکی مدل BB06313-005,"۵۳۷,۰۰۰",۷۰٪,۴,https://www.digikala.com/product/dkp-7195698/%D8%B3%D8%AA-%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D9%88-%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb06313-005/
لباس خواب زنانه مدل 9614,"۶۵,۰۰۰",-,۳.۲,https://www.digikala.com/product/dkp-757897/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-9614/
لباس خواب زنانه مدل 136,"۵۶,۴۰۰",۵۷٪,۳.۹,https://www.digikala.com/product/dkp-4149122/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-136/
ست لباس خواب زنانه ماییلدا مدل فانتزی کد 3684-413 رنگ قرمز,"۳۱۸,۰۰۰",۵٪,۵,https://www.digikala.com/product/dkp-8648475/%D8%B3%D8%AA-%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C-%DA%A9%D8%AF-3684-413-%D8%B1%D9%86%DA%AF-%D9%82%D8%B1%D9%85%D8%B2/
شلوار زنانه سیدونا مدل SI03062-033,"۱۲۹,۰۰۰",۷۰٪,۴.۵,https://www.digikala.com/product/dkp-7621587/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-si03062-033/
لباس خواب زنانه ماییلدا مدل بادی 3684-5522 رنگ مشکی,"۲۵۷,۷۰۰",۲۲٪,۵,https://www.digikala.com/product/dkp-8840405/%D9%84%D8%A8%D8%A7%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-%D8%A8%D8%A7%D8%AF%DB%8C-3684-5522-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
لباس خواب زنانه مدل گیپور 2 رنگ قرمز,"۶۸,۰۰۰",۴۱٪,۳.۲,https://www.digikala.com/product/dkp-8028316/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%AF%DB%8C%D9%BE%D9%88%D8%B1-2-%D8%B1%D9%86%DA%AF-%D9%82%D8%B1%D9%85%D8%B2/
