name,price,discount,star,link
هودی زنانه مدل بی تی اس کد AA612,"۱۰۸,۵۰۰",-,۴.۲,https://www.digikala.com/product/dkp-4258462/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3-%DA%A9%D8%AF-aa612/
هودی زنانه طرح خرگوش کد F235,"۹۳,۵۰۰",-,۳.۹,https://www.digikala.com/product/dkp-2432742/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%AE%D8%B1%DA%AF%D9%88%D8%B4-%DA%A9%D8%AF-f235/
هودی زنانه طرح حرف M کد S395,"۱۰۵,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-1958043/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%AD%D8%B1%D9%81-m-%DA%A9%D8%AF-s395/
هودی زنانه مون‌سا مدل 16312691515,"۷۸۹,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-6811851/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-16312691515/
هودی زنانه طرح BTS مدل K42,"۱۰۸,۰۰۰",-,۴.۴,https://www.digikala.com/product/dkp-3445687/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-bts-%D9%85%D8%AF%D9%84-k42/
هودی زنانه مدل فانتزی کره ای,"۵۷۶,۰۰۰",۱۰٪,-,https://www.digikala.com/product/dkp-9262013/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%81%D8%A7%D9%86%D8%AA%D8%B2%DB%8C-%DA%A9%D8%B1%D9%87-%D8%A7%DB%8C/
هودی زنانه مدل بلک پینک کد J07 رنگ طوسی,"۹۸,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-6576708/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%D9%84%DA%A9-%D9%BE%DB%8C%D9%86%DA%A9-%DA%A9%D8%AF-j07-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/
هودی زنانه زانتوس مدل 99410-15,"۲۴۴,۰۰۰",۴۸٪,۳.۷,https://www.digikala.com/product/dkp-6362892/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B2%D8%A7%D9%86%D8%AA%D9%88%D8%B3-%D9%85%D8%AF%D9%84-99410-15/
هودی زنانه اکزاترس مدل P040001110150022-110,"۲۶۳,۰۰۰",۵۱٪,۳,https://www.digikala.com/product/dkp-6646819/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%A9%D8%B2%D8%A7%D8%AA%D8%B1%D8%B3-%D9%85%D8%AF%D9%84-p040001110150022-110/
هودی زنانه مدل 143,"۸۷,۵۰۰",-,۴,https://www.digikala.com/product/dkp-7150493/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-143/
هودی زنانه طرح قلب کد F85 رنگ مشکی,"۹۲,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-2147603/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%82%D9%84%D8%A8-%DA%A9%D8%AF-f85-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
هودی زنانه رونی مدل 72110010-06,"۲۵۹,۰۰۰",۵۷٪,۴.۱,https://www.digikala.com/product/dkp-7035059/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-72110010-06/
هودی زنانه گارودی مدل 1510412103-05,"۳۱۱,۰۰۰",۳۴٪,-,https://www.digikala.com/product/dkp-7293662/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%AF%D8%A7%D8%B1%D9%88%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-1510412103-05/
هودی زنانه زانتوس مدل 99410-59,"۲۴۴,۰۰۰",۴۸٪,۴.۴,https://www.digikala.com/product/dkp-6362889/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B2%D8%A7%D9%86%D8%AA%D9%88%D8%B3-%D9%85%D8%AF%D9%84-99410-59/
هودی زنانه آر اِن اِس مدل 11101057-59,"۱۸۹,۰۰۰",۴۰٪,۳.۸,https://www.digikala.com/product/dkp-6452761/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A2%D8%B1-%D8%A7%D9%86-%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-11101057-59/
هودی زنانه گارودی مدل 1510412103-54,"۳۱۴,۰۰۰",۳۳٪,-,https://www.digikala.com/product/dkp-7293663/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%AF%D8%A7%D8%B1%D9%88%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-1510412103-54/
هودی زنانه السانا مدل بهسا کد 89701,"۳۶۸,۰۰۰",۵٪,۴.۴,https://www.digikala.com/product/dkp-5877281/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%A8%D9%87%D8%B3%D8%A7-%DA%A9%D8%AF-89701/
هودی زنانه جامه پوش آرا مدل 4562280161-15,"۳۶۸,۰۰۰",۲۸٪,۳.۵,https://www.digikala.com/product/dkp-7056037/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AC%D8%A7%D9%85%D9%87-%D9%BE%D9%88%D8%B4-%D8%A2%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-4562280161-15/
هودی زنانه طرح ساده مدل M1,"۱۰۹,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-1021508/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B3%D8%A7%D8%AF%D9%87-%D9%85%D8%AF%D9%84-m1/
هودی زنانه طرح BTS مدل K09,"۱۱۱,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-3708514/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-bts-%D9%85%D8%AF%D9%84-k09/
هودی زنانه طرح درخت کد S464,"۱۰۹,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-1958755/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%B1%D8%AE%D8%AA-%DA%A9%D8%AF-s464/
هودی زنانه کد F5 رنگ مشکی,"۱۶۹,۰۰۰",-,۲.۷,https://www.digikala.com/product/dkp-2160971/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-f5-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
هودی زنانه ال سی وایکیکی مدل BO10374,"۸۲۶,۰۰۰",۳۰٪,-,https://www.digikala.com/product/dkp-6394572/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bo10374/
هودی زنانه مدل پیرهن برند E1647 رنگ مشکی,"۱۶۹,۰۰۰",-,۴,https://www.digikala.com/product/dkp-4123847/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%BE%DB%8C%D8%B1%D9%87%D9%86-%D8%A8%D8%B1%D9%86%D8%AF-e1647-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
هودی زنانه دیوایدد مدل sw0011,"۳۷۴,۵۰۰",۵۰٪,۳.۵,https://www.digikala.com/product/dkp-6179309/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D9%88%D8%A7%DB%8C%D8%AF%D8%AF-%D9%85%D8%AF%D9%84-sw0011/
هودی زنانه بادی اسپینر مدل 3058 کد 1 رنگ نوک مدادی,"۴۹۴,۵۰۰",۵۰٪,-,https://www.digikala.com/product/dkp-7787946/%D9%87%D9%88%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%D8%AF%DB%8C-%D8%A7%D8%B3%D9%BE%DB%8C%D9%86%D8%B1-%D9%85%D8%AF%D9%84-3058-%DA%A9%D8%AF-1-%D8%B1%D9%86%DA%AF-%D9%86%D9%88%DA%A9-%D9%85%D8%AF%D8%A7%D8%AF%DB%8C/
