name,price,discount,star,link
شلوار جین زنانه مدل مام استایل کد R-H,"۲۷۹,۰۰۰",۲۰٪,۴.۱,https://www.digikala.com/product/dkp-5014351/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%DA%A9%D8%AF-r-h/
شلوار جین زنانه ال سی وایکیکی مدل 0SC788Z8-507-MIDRODEO,"۳۰۶,۰۰۰",۵۰٪,۴.۴,https://www.digikala.com/product/dkp-9146263/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-0sc788z8-507-midrodeo/
شلوار جین زنانه مدل نیم بگ V242,"۳۶۹,۰۰۰",۲۶٪,۴,https://www.digikala.com/product/dkp-8922297/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%D9%85-%D8%A8%DA%AF-v242/
شلوار جین زنانه دیان مدل مام استایل کد 009,"۲۶۹,۰۰۰",۲۳٪,۴.۱,https://www.digikala.com/product/dkp-5710316/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%DA%A9%D8%AF-009/
شلوار جین زنانه مدل مام استایل کد V-H,"۲۸۴,۰۰۰",۱۹٪,۳.۹,https://www.digikala.com/product/dkp-5035127/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%DA%A9%D8%AF-v-h/
شلوار جین زنانه مدل مام بگ,"۲۸۴,۰۰۰",۲۹٪,۳.۴,https://www.digikala.com/product/dkp-8698914/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A8%DA%AF/
شلوار جین زنانه دیان مدل مام استایل کد 007,"۲۷۹,۰۰۰",۱۵٪,۳.۹,https://www.digikala.com/product/dkp-5691929/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%DA%A9%D8%AF-007/
شلوار جین زنانه مدل بگ نیل کد 22,"۲۳۰,۳۰۰",۵۱٪,۴.۳,https://www.digikala.com/product/dkp-8862929/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%DA%AF-%D9%86%DB%8C%D9%84-%DA%A9%D8%AF-22/
شلوار جین زنانه مدل ۰۱,"۱۸۴,۰۰۰",۲۰٪,۴,https://www.digikala.com/product/dkp-3387227/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DB%B0%DB%B1/
شلوار جین زنانه مدل مام یخی,"۲۱۶,۰۰۰",۴۶٪,۴.۱,https://www.digikala.com/product/dkp-8463201/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%DB%8C%D8%AE%DB%8C/
شلوار جین زنانه مدل نیم بگ کدY241,"۳۷۴,۰۰۰",۲۵٪,۴,https://www.digikala.com/product/dkp-8922283/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%D9%85-%D8%A8%DA%AF-%DA%A9%D8%AFy241/
شلوار جین زنانه مدل M2545,"۳۰۹,۰۰۰",۴۹٪,۳.۶,https://www.digikala.com/product/dkp-8622229/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-m2545/
شلوار جین زنانه اکزاترس مدل I031001077080282-077,"۲۸۳,۰۰۰",۴۵٪,۴,https://www.digikala.com/product/dkp-8198283/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%A9%D8%B2%D8%A7%D8%AA%D8%B1%D8%B3-%D9%85%D8%AF%D9%84-i031001077080282-077/
شلوار جین زنانه مدل مام استایل کد D-H,"۲۸۴,۰۰۰",۱۹٪,۴.۲,https://www.digikala.com/product/dkp-5197579/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%DA%A9%D8%AF-d-h/
شلوار جین زنانه مدل مام فیت کد E-247,"۱۹۵,۰۰۰",۳۷٪,۵,https://www.digikala.com/product/dkp-8957929/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D9%81%DB%8C%D8%AA-%DA%A9%D8%AF-e-247/
شلوار جین زنانه مدل مام فیت کد 2022,"۴۰۰,۰۰۰",-,۴,https://www.digikala.com/product/dkp-8589301/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%AC%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%85%D8%A7%D9%85-%D9%81%DB%8C%D8%AA-%DA%A9%D8%AF-2022/
