name,price,discount,star,link
پلیور زنانه مانگو مدل 33023565-J3,"۱,۲۰۰,۰۰۰",-,۳.۱,https://www.digikala.com/product/dkp-3835349/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33023565-j3/
پلیور یقه اسکی زنانه کوی مدل 687 کبریتی رنگ شیری,"۳۷۰,۶۰۰",-,-,https://www.digikala.com/product/dkp-8109488/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%DB%8C%D9%82%D9%87-%D8%A7%D8%B3%DA%A9%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-687-%DA%A9%D8%A8%D8%B1%DB%8C%D8%AA%DB%8C-%D8%B1%D9%86%DA%AF-%D8%B4%DB%8C%D8%B1%DB%8C/
پلیور زنانه مانگو مدل 33017566-B2,"۷۱۰,۰۰۰",۵۰٪,۳.۴,https://www.digikala.com/product/dkp-3834447/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33017566-b2/
پلیور زنانه سی اند ای مدل راه راه 011,"۹۷,۲۶۰",۶۵٪,۵,https://www.digikala.com/product/dkp-7337618/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C-%D8%A7%D9%86%D8%AF-%D8%A7%DB%8C-%D9%85%D8%AF%D9%84-%D8%B1%D8%A7%D9%87-%D8%B1%D8%A7%D9%87-011/
پلیور یقه اسکی زنانه مدل بافت ساده رنگ گلبهی تیره,"۲۲۵,۰۰۰",۱۰٪,۵,https://www.digikala.com/product/dkp-7849023/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%DB%8C%D9%82%D9%87-%D8%A7%D8%B3%DA%A9%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%D8%A7%D9%81%D8%AA-%D8%B3%D8%A7%D8%AF%D9%87-%D8%B1%D9%86%DA%AF-%DA%AF%D9%84%D8%A8%D9%87%DB%8C-%D8%AA%DB%8C%D8%B1%D9%87/
پلیور زنانه سیدونا مدل SI02174-055,"۷۳,۰۰۰",۶۳٪,۴.۶,https://www.digikala.com/product/dkp-7691424/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-si02174-055/
پلیور زنانه مانگو مدل 33023565-48,"۱,۲۰۰,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-3834422/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33023565-48/
ژاکت زنانه وینکلر مدل W0614040KN-WHITE,"۷۷۸,۰۰۰",-,-,https://www.digikala.com/product/dkp-7128282/%DA%98%D8%A7%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%86%DA%A9%D9%84%D8%B1-%D9%85%D8%AF%D9%84-w0614040kn-white/
پلیور زنانه نیزل مدل I038001166209169-166,"۲۴۴,۰۰۰",۵۲٪,۳.۸,https://www.digikala.com/product/dkp-6680794/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-i038001166209169-166/
ژاکت زنانه اسمارا مدل 8989,"۱۷۰,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-7759168/%DA%98%D8%A7%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-8989/
ژاکت زنانه کریویت مدل EcoVero گیاهی کد R01-129,"۲۸۰,۰۰۰",۲۰٪,۴,https://www.digikala.com/product/dkp-9087803/%DA%98%D8%A7%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%B1%DB%8C%D9%88%DB%8C%D8%AA-%D9%85%D8%AF%D9%84-ecovero-%DA%AF%DB%8C%D8%A7%D9%87%DB%8C-%DA%A9%D8%AF-r01-129/
ژاکت زنانه مدل Aphrodite,"۳۸۵,۰۰۰",۳۰٪,۳.۱,https://www.digikala.com/product/dkp-3946737/%DA%98%D8%A7%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-aphrodite/
ژاکت زنانه اچ اند ام مدل 0432856,"۳۶۱,۰۰۰",۵٪,۴,https://www.digikala.com/product/dkp-5649847/%DA%98%D8%A7%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%86-%D8%A7%D9%86%D8%AF-%D8%A7%D9%85-%D9%85%D8%AF%D9%84-0432856/
ژاکت زنانه دیوایدد مدل 0679854011,"۴۵۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-4311389/%DA%98%D8%A7%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D9%88%D8%A7%DB%8C%D8%AF%D8%AF-%D9%85%D8%AF%D9%84-0679854011/
پلیور زنانه کیکی رایکی مدل BB02801-403,"۲۸۵,۰۰۰",۷۰٪,-,https://www.digikala.com/product/dkp-7471828/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb02801-403/
پلیور یقه اسکی زنانه مدل شکیلا,"۲۹۲,۵۰۰",۳۵٪,-,https://www.digikala.com/product/dkp-7927825/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%DB%8C%D9%82%D9%87-%D8%A7%D8%B3%DA%A9%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B4%DA%A9%DB%8C%D9%84%D8%A7/
پلیور زنانه کیکی رایکی مدل BB02770-013,"۱۰۰,۰۰۰",۸۰٪,۲.۷,https://www.digikala.com/product/dkp-7251750/%D9%BE%D9%84%DB%8C%D9%88%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb02770-013/
