name,price,discount,star,link
لگینگ زنانه آریان نخ باف مدل 1972,"۱۴۲,۵۰۰",۴۷٪,۳.۸,https://www.digikala.com/product/dkp-8181547/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A2%D8%B1%DB%8C%D8%A7%D9%86-%D9%86%D8%AE-%D8%A8%D8%A7%D9%81-%D9%85%D8%AF%D9%84-1972/
لگینگ زنانه فیتن فرخ زادی مدل ساعت شنی کد 3686-309 رنگ مشکی,"۳۴۲,۰۰۰",۱۸٪,۴,https://www.digikala.com/product/dkp-8513465/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%81%DB%8C%D8%AA%D9%86-%D9%81%D8%B1%D8%AE-%D8%B2%D8%A7%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-%D8%B3%D8%A7%D8%B9%D8%AA-%D8%B4%D9%86%DB%8C-%DA%A9%D8%AF-3686-309-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
لگینگ زنانه مدل شاین کد 06,"۱۲۰,۰۰۰",-,۵,https://www.digikala.com/product/dkp-8220249/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B4%D8%A7%DB%8C%D9%86-%DA%A9%D8%AF-06/
لگینگ زنانه فیتن فرخ زادی مدل 3686-00307 رنگ مشکی,"۲۲۰,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-6140879/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%81%DB%8C%D8%AA%D9%86-%D9%81%D8%B1%D8%AE-%D8%B2%D8%A7%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-3686-00307-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
لگینگ زنانه جی وی جی کد HN2FX,"۸۵,۰۰۰",-,۴,https://www.digikala.com/product/dkp-5025472/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AC%DB%8C-%D9%88%DB%8C-%D8%AC%DB%8C-%DA%A9%D8%AF-hn2fx/
لگینگ زنانه طرح براق مدل 103TR,"۱۷۸,۸۰۰",-,۴.۳,https://www.digikala.com/product/dkp-5764805/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A8%D8%B1%D8%A7%D9%82-%D9%85%D8%AF%D9%84-103tr/
لگینگ زنانه مدل Li,"۷۰,۴۰۰",۱۲٪,۴,https://www.digikala.com/product/dkp-6638015/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-li/
لگینگ زنانه کد 7200-1001 رنگ مشکی,"۹۹,۰۰۰",۲۱٪,۳.۹,https://www.digikala.com/product/dkp-8665147/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-7200-1001-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
لگینگ زنانه مدل SA3,"۵۹,۹۹۰",۶۸٪,۳,https://www.digikala.com/product/dkp-8638381/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D9%88-%D8%B3%D8%B1%D9%87%D9%85%DB%8C-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-sa3/
لگینگ زنانه مدل براق کد 1013,"۱۸۰,۵۰۰",۵٪,۳,https://www.digikala.com/product/dkp-8947293/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%D8%B1%D8%A7%D9%82-%DA%A9%D8%AF-1013/
