name,price,discount,star,link
کاپشن زنانه السانا مدل باوان کد 108381,"۵۲۸,۰۰۰",-,۴,https://www.digikala.com/product/dkp-7439034/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%A8%D8%A7%D9%88%D8%A7%D9%86-%DA%A9%D8%AF-108381/
کاپشن زنانه السانا مدل چیکا کد 108401,"۵۴۸,۰۰۰",۱۴٪,۴.۳,https://www.digikala.com/product/dkp-7282152/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%DA%86%DB%8C%DA%A9%D8%A7-%DA%A9%D8%AF-108401/
کاپشن زنانه السانا مدل شانلی کد 108537,"۴۵۸,۰۰۰",۱۳٪,۴.۴,https://www.digikala.com/product/dkp-7314713/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%B4%D8%A7%D9%86%D9%84%DB%8C-%DA%A9%D8%AF-108537/
پالتو زنانه السانا مدل امیلی کد 100102,"۴۳۸,۰۰۰",۱۲٪,۳.۸,https://www.digikala.com/product/dkp-6328541/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%A7%D9%85%DB%8C%D9%84%DB%8C-%DA%A9%D8%AF-100102/
پالتو زنانه زیبو مدل 011416-PINK,"۱,۲۰۰,۰۰۰",۵۰٪,۴.۵,https://www.digikala.com/product/dkp-7224644/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B2%DB%8C%D8%A8%D9%88-%D9%85%D8%AF%D9%84-011416-pink/
پافر زنانه السانا مدل آیرال کد 109801,"۴۱۸,۰۰۰",۱۴٪,۴.۵,https://www.digikala.com/product/dkp-7502954/%D9%BE%D8%A7%D9%81%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%A2%DB%8C%D8%B1%D8%A7%D9%84-%DA%A9%D8%AF-109801/
کت زنانه نیزل مدل P052004133040058-133,"۲۱۶,۰۰۰",۶۰٪,۳.۹,https://www.digikala.com/product/dkp-7064997/%DA%A9%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-p052004133040058-133/
بارانی زنانه السانا مدل یارین کد 103716,"۳۷۸,۰۰۰",۱۴٪,۴.۵,https://www.digikala.com/product/dkp-6454318/%D8%A8%D8%A7%D8%B1%D8%A7%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%DB%8C%D8%A7%D8%B1%DB%8C%D9%86-%DA%A9%D8%AF-103716/
بارانی زنانه السانا مدل طنان کد 103054,"۲۷۸,۰۰۰",۱۵٪,۳.۳,https://www.digikala.com/product/dkp-6305725/%D8%A8%D8%A7%D8%B1%D8%A7%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%B7%D9%86%D8%A7%D9%86-%DA%A9%D8%AF-103054/
بارانی زنانه نیزل مدل P042005156140057-156,"۴۳۰,۰۰۰",۵۱٪,۴.۵,https://www.digikala.com/product/dkp-6948710/%D8%A8%D8%A7%D8%B1%D8%A7%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-p042005156140057-156/
پالتو زنانه السانا مدل پرینا کد 103101,"۴۵۸,۰۰۰",۱۳٪,۴,https://www.digikala.com/product/dkp-6426336/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D9%BE%D8%B1%DB%8C%D9%86%D8%A7-%DA%A9%D8%AF-103101/
پالتو زنانه اسمارا کد 4789,"۸۵۰,۰۰۰",-,۴.۶,https://www.digikala.com/product/dkp-2915262/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%DA%A9%D8%AF-4789/
بارانی زنانه السانا مدل نیلان کد 101021,"۲۸۸,۰۰۰",۱۵٪,۳.۷,https://www.digikala.com/product/dkp-6066347/%D8%A8%D8%A7%D8%B1%D8%A7%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D9%86%DB%8C%D9%84%D8%A7%D9%86-%DA%A9%D8%AF-101021/
بارانی زنانه السانا مدل آروان کد 101241,"۲۷۸,۰۰۰",۱۵٪,۵,https://www.digikala.com/product/dkp-6065867/%D8%A8%D8%A7%D8%B1%D8%A7%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%A2%D8%B1%D9%88%D8%A7%D9%86-%DA%A9%D8%AF-101241/
پالتو زنانه تولیکا مدل 72056-93,"۶۹۵,۰۰۰",۴۲٪,۴,https://www.digikala.com/product/dkp-6899718/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AA%D9%88%D9%84%DB%8C%DA%A9%D8%A7-%D9%85%D8%AF%D9%84-72056-93/
کت چرم زنانه اسمارا مدل LJ550,"۸۸۵,۰۰۰",-,۴.۷,https://www.digikala.com/product/dkp-3584935/%DA%A9%D8%AA-%DA%86%D8%B1%D9%85-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-lthjack/
کاپشن زنانه السانا مدل باوان کد 108311,"۵۲۸,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-7438993/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%A8%D8%A7%D9%88%D8%A7%D9%86-%DA%A9%D8%AF-108311/
کاپشن زنانه اسمارا مدل Classic2021 رنگ مشکی,"۱,۵۰۰,۰۰۰",۲۹٪,۳.۵,https://www.digikala.com/product/dkp-6862079/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-classic2021-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
کاپشن زنانه السانا مدل شانلی کد 108527,"۴۵۸,۰۰۰",۱۳٪,۴,https://www.digikala.com/product/dkp-7314674/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D8%B4%D8%A7%D9%86%D9%84%DB%8C-%DA%A9%D8%AF-108527/
پالتو زنانه اسمارا مدل MOJ-339653-2021,"۹۰۰,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-6469695/%D9%BE%D8%A7%D9%84%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-moj-339653-2021/
