name,price,discount,star,link
پولوشرت زنانه رونی مدل 32110003-10,"۱۵۰,۰۰۰",۴۰٪,۴.۱,https://www.digikala.com/product/dkp-5134808/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-10/
پولوشرت زنانه رونی مدل 32110003-03,"۱۹۰,۰۰۰",۲۴٪,۳.۸,https://www.digikala.com/product/dkp-5134826/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-03/
پولوشرت آستین کوتاه زنانه باینت مدل 468-1,"۲۴۸,۰۰۰",-,۳,https://www.digikala.com/product/dkp-7719946/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-468-1/
پولوشرت زنانه رونی مدل 32110003-11,"۲۴۹,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-5134791/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-11/
پولوشرت زنانه رونی مدل 32110003-31,"۲۴۹,۰۰۰",-,۴,https://www.digikala.com/product/dkp-5150755/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-31/
پولوشرت زنانه مون‌سا مدل 163122145,"۱۸۵,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-5317587/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163122145/
پولوشرت زنانه رونی مدل 32110003-32,"۲۴۹,۰۰۰",-,۳.۲,https://www.digikala.com/product/dkp-5134617/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-32/
پولوشرت زنانه رونی مدل 32110003-34,"۲۴۹,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-5134477/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-34/
پولوشرت زنانه رونی مدل 32110003-26,"۲۴۹,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-5134710/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-26/
پولوشرت زنانه مون‌سا مدل 163122165,"۱۸۵,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-5317498/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163122165/
پولوشرت زنانه مون‌ساسا مدل 163122158,"۱۸۵,۰۰۰",-,۴,https://www.digikala.com/product/dkp-5317445/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163122158/
پولوشرت زنانه مون‌سا مدل 163122359DK,"۱۸۵,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-5317833/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163122359dk/
پولوشرت زنانه رونی مدل 32110003-24,"۲۴۹,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-5134739/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-24/
پولوشرت زنانه مون‌سا مدل 163122051,"۲۹۷,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-7693820/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163122051/
پولوشرت زنانه رونی مدل 32110003-23,"۲۴۹,۰۰۰",-,۴,https://www.digikala.com/product/dkp-5134769/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-23/
پولوشرت زنانه نیزل مدل P032001074020028-074,"۱۲۶,۰۰۰",۴۵٪,۴,https://www.digikala.com/product/dkp-7798158/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-p032001074020028-074/
پولوشرت زنانه رونی مدل 32110003-01,"۲۵۰,۰۰۰",-,۳.۶,https://www.digikala.com/product/dkp-5134847/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D9%88%D9%86%DB%8C-%D9%85%D8%AF%D9%84-32110003-01/
پولوشرت آستین کوتاه زنانه یو اس پولو مدل BO10102,"۶۹۷,۹۰۰",۳۰٪,-,https://www.digikala.com/product/dkp-8903152/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DB%8C%D9%88-%D8%A7%D8%B3-%D9%BE%D9%88%D9%84%D9%88-%D9%85%D8%AF%D9%84-bo10102/
پولوشرت آستین کوتاه زنانه مدل کراپ یقه شکاری کد 65,"۱۱۹,۰۰۰",-,۵,https://www.digikala.com/product/dkp-8535501/%D9%BE%D9%88%D9%84%D9%88%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D8%B1%D8%A7%D9%BE-%DB%8C%D9%82%D9%87-%D8%B4%DA%A9%D8%A7%D8%B1%DB%8C-%DA%A9%D8%AF-65/
