name,price,discount,star,link
بلوز زنانه کیکی رایکی مدل BB2496-010,"۳۹۰,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-8821691/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb2496-010/
بلوز زنانه مانگو مدل 33005510-02,"۳۸۰,۰۰۰",۵۷٪,۳.۵,https://www.digikala.com/product/dkp-3833770/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33005510-02/
بلوز زنانه کیکی رایکی مدل BB2496-016,"۱۳۶,۰۰۰",۶۵٪,۲.۹,https://www.digikala.com/product/dkp-8533904/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb2496-016/
شومیز زنانه مدل RZ-ARSA82039-SHO.RA-TOO رنگ طوسی,"۱۲۰,۰۰۰",۴۳٪,۳.۸,https://www.digikala.com/product/dkp-5656232/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-rz-arsa82039-shora-too-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/
بلوز زنانه کیکی رایکی مدل BB2496-017,"۳۹۰,۰۰۰",-,۲.۹,https://www.digikala.com/product/dkp-8821692/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb2496-017/
بلوز زنانه کیکی رایکی مدل BB2496-024,"۳۹۰,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-8821693/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb2496-024/
شومیز زنانه السانا مدل لونا کد 116822,"۱۷۸,۰۰۰",۳۴٪,۳.۸,https://www.digikala.com/product/dkp-8588307/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84%D8%B3%D8%A7%D9%86%D8%A7-%D9%85%D8%AF%D9%84-%D9%84%D9%88%D9%86%D8%A7-%DA%A9%D8%AF-116822/
شومیز آستین سه ربع زنانه مدل بهار,"۷۹۱,۱۲۰",۳۸٪,-,https://www.digikala.com/product/dkp-9188341/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%B3%D9%87-%D8%B1%D8%A8%D8%B9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%D9%87%D8%A7%D8%B1/
بلوز زنانه مانگو مدل 33005510-M1,"۳۸۰,۰۰۰",۵۷٪,۴.۲,https://www.digikala.com/product/dkp-3833772/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-33005510-m1/
شومیز زنانه برهان تن پوش کد Z01,"۳۶۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-2832190/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-z01/
شومیز زنانه کیکی رایکی مدل BB01192-100,"۹۸۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-7591505/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb01192-100/
بلوز زنانه طرح پروانه کد 105,"۳۵,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-1794102/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%BE%D8%B1%D9%88%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-105/
بادی آستین بلند زنانه مدل Oid_BD0003,"۹۹,۸۰۰",۲۳٪,۲,https://www.digikala.com/product/dkp-3589051/%D8%A8%D8%A7%D8%AF%DB%8C-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-oid-bd0003/
بلوز زنانه دیوایدد مدل 00362,"۱۵۷,۰۵۰",۵۵٪,۳.۶,https://www.digikala.com/product/dkp-3879190/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D9%88%D8%A7%DB%8C%D8%AF%D8%AF-%D9%85%D8%AF%D9%84-00362/
بلوز زنانه مانگو مدل 31097531-10,"۶۴۵,۰۰۰",۵۰٪,۲.۸,https://www.digikala.com/product/dkp-3836259/%D8%A8%D9%84%D9%88%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-31097531-10/
شومیز زنانه مانگو مدل 31097511-52,"۶۴۵,۰۰۰",۵۰٪,۴.۳,https://www.digikala.com/product/dkp-3836861/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-31097511-52/
بادی آستین بلند زنانه مدل ریشه دار 446,"۲۹۲,۳۰۰",۲۱٪,۴.۷,https://www.digikala.com/product/dkp-4795169/%D8%A8%D8%A7%D8%AF%DB%8C-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%D8%A8%D9%84%D9%86%D8%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B1%DB%8C%D8%B4%D9%87-%D8%AF%D8%A7%D8%B1-446/
شومیز زنانه مانگو مدل 31067565-B2,"۶۴۵,۰۰۰",۵۰٪,۴.۱,https://www.digikala.com/product/dkp-3834052/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%DA%AF%D9%88-%D9%85%D8%AF%D9%84-31067565-b2/
شومیز زنانه مدل گل بهار GRN0002,"۲۰۹,۰۰۰",۵٪,۴,https://www.digikala.com/product/dkp-7887985/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%AF%D9%84-%D8%A8%D9%87%D8%A7%D8%B1-grn0002/
