name,price,discount,star,link
دامن زنانه مدل روبینا,"۳۱۵,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-4680873/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B1%D9%88%D8%A8%DB%8C%D9%86%D8%A7/
دامن زنانه اسمارا مدل 320829,"۹۹,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-4997297/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-320829/
دامن زنانه اسمارا مدل LS141,"۱۳۹,۰۰۰",-,۴,https://www.digikala.com/product/dkp-7787696/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-ls141/
دامن زنانه اچ اند ام کد 0789,"۲۱۰,۰۰۰",۴۲٪,۳.۶,https://www.digikala.com/product/dkp-3647420/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%86-%D8%A7%D9%86%D8%AF-%D8%A7%D9%85-%DA%A9%D8%AF-0789/
دامن زنانه مدل تور روبان دار,"۳۴۹,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-8132049/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AA%D9%88%D8%B1-%D8%B1%D9%88%D8%A8%D8%A7%D9%86-%D8%AF%D8%A7%D8%B1/
دامن زنانه مدل الی 2,"۱۸۹,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-5729853/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D9%84%DB%8C-2/
دامن زنانه مدل نخی کد a.2,"۱۷۱,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-6761439/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%D8%AE%DB%8C-%DA%A9%D8%AF-a2/
دامن زنانه سرژه مدل 210173-MC,"۲۳۷,۰۰۰",۴۰٪,۱,https://www.digikala.com/product/dkp-6053404/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%D8%B1%DA%98%D9%87-%D9%85%D8%AF%D9%84-210173-mc/
دامن زنانه سون پون مدل 2391184-59,"۲۴۹,۰۰۰",-,۴.۵,https://www.digikala.com/product/dkp-8962851/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%D9%88%D9%86-%D9%BE%D9%88%D9%86-%D9%85%D8%AF%D9%84-2391184-59/
دامن زنانه کد 48,"۲۴۷,۵۰۰",-,۴,https://www.digikala.com/product/dkp-1941157/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-48/
ژپون زنانه مدل ASE25,"۹۸,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-6295361/%DA%98%D9%BE%D9%88%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-ase25/
دامن زنانه اچ اند ام مدل Violet,"۳۹۷,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-3752497/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%86-%D8%A7%D9%86%D8%AF-%D8%A7%D9%85-%D9%85%D8%AF%D9%84-violet/
دامن زنانه اچ اند ام مدل Velvet 2569,"۳۹۵,۰۰۰",-,۳,https://www.digikala.com/product/dkp-6560870/%D8%AF%D8%A7%D9%85%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%86-%D8%A7%D9%86%D8%AF-%D8%A7%D9%85-%D9%85%D8%AF%D9%84-velvet-2569/
