name,price,discount,star,link
مایو زنانه مدل MC,"۶۲۵,۰۰۰",-,۱,https://www.digikala.com/product/dkp-7724279/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-mc/
مایو زنانه اسمارا مدل SweemEs369,"۲۹۰,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-7882278/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-sweemes369/
مایو زنانه ماییلدا مدل 2 تکه کد 3686-7100-4 رنگ بنفش,"۲۱۷,۰۰۰",۵٪,۵,https://www.digikala.com/product/dkp-9055013/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-2-%D8%AA%DA%A9%D9%87-%DA%A9%D8%AF-3686-7100-4-%D8%B1%D9%86%DA%AF-%D8%A8%D9%86%D9%81%D8%B4/
ست 3 تکه لباس ورزشی زنانه مدل 2801-63,"۳۳۸,۹۰۰",۳۱٪,۴.۴,https://www.digikala.com/product/dkp-6504652/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-2801-63/
ست 3 تکه لباس ورزشی زنانه کد Mhr-456,"۲۵۵,۰۰۰",۲۷٪,۳.۱,https://www.digikala.com/product/dkp-4796588/%D8%B3%D8%AA-3-%D8%AA%DA%A9%D9%87-%D9%84%D8%A8%D8%A7%D8%B3-%D9%88%D8%B1%D8%B2%D8%B4%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-mhr-456/
مایو زنانه مدل GC,"۶۲۵,۰۰۰",-,۴,https://www.digikala.com/product/dkp-8722904/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-gc/
مایو زنانه ماییلدا مدل دو تکه کد 3686-981 رنگ سبزآبی,"۱۹۲,۰۰۰",۲۶٪,۱,https://www.digikala.com/product/dkp-8929959/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-%D8%AF%D9%88-%D8%AA%DA%A9%D9%87-%DA%A9%D8%AF-3686-981-%D8%B1%D9%86%DA%AF-%D8%B3%D8%A8%D8%B2%D8%A2%D8%A8%DB%8C/
مایو زنانه مدل HB,"۵۹۵,۰۰۰",-,۳,https://www.digikala.com/product/dkp-8723009/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-hb/
مایو زنانه مدل FA,"۶۲۵,۰۰۰",-,-,https://www.digikala.com/product/dkp-8722951/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-fa/
مایو زنانه مدل ME,"۶۲۵,۰۰۰",-,۲,https://www.digikala.com/product/dkp-8274505/%D9%85%D8%A7%DB%8C%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-me/
