name,price,discount,star,link
سویشرت زنانه کد 001 رنگ مشکی,"۱۵۰,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-2173730/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-001-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
سویشرت زنانه اچ اند ام مدل 0741054005,"۹۰۲,۵۰۰",۵٪,-,https://www.digikala.com/product/dkp-7888227/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%86-%D8%A7%D9%86%D8%AF-%D8%A7%D9%85-%D9%85%D8%AF%D9%84-0741054005/
سویشرت زنانه طرح پروانه کد F56 رنگ سرمه ای,"۱۶۹,۰۰۰",۱۸٪,۳.۹,https://www.digikala.com/product/dkp-2237756/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%BE%D8%B1%D9%88%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-f56-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/
سویشرت زنانه گارودی مدل 1110412104-54,"۳۳۲,۰۰۰",۳۳٪,۳.۳,https://www.digikala.com/product/dkp-7451968/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%AF%D8%A7%D8%B1%D9%88%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-1110412104-54/
سویشرت زنانه مون‌سا مدل 163127116,"۸۰۲,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-7146701/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163127116/
سویشرت زنانه جوتی جینز مدل 8242,"۴۴۹,۰۰۰",۴۴٪,۴,https://www.digikala.com/product/dkp-7991383/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AC%D9%88%D8%AA%DB%8C-%D8%AC%DB%8C%D9%86%D8%B2-%D9%85%D8%AF%D9%84-8242/
سویشرت زنانه گارودی مدل 1110412104-09,"۳۳۲,۰۰۰",۳۳٪,۲,https://www.digikala.com/product/dkp-7451967/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%AF%D8%A7%D8%B1%D9%88%D8%AF%DB%8C-%D9%85%D8%AF%D9%84-1110412104-09/
سویشرت زنانه کد ZM000 رنگ مشکی,"۱۶۹,۰۰۰",۱۸٪,۴,https://www.digikala.com/product/dkp-2105301/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-zm000-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
سویشرت زنانه دیوایدد مدل 0389594001,"۴۳۳,۵۰۰",۱۵٪,-,https://www.digikala.com/product/dkp-4591402/%DA%A9%D8%A7%D9%BE%D8%B4%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DA%86-%D8%A7%D9%86%D8%AF-%D8%A7%D9%85-%D9%85%D8%AF%D9%84-0389594001/
سویشرت زنانه ایزی دو مدل 218111593,"۷۱۴,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-6764474/%D8%B3%D9%88%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%DB%8C%D8%B2%DB%8C-%D8%AF%D9%88-%D9%85%D8%AF%D9%84-218111593/
