name,price,discount,star,link
تیشرت زنانه طرح آرزو کد 23,"۳۴,۵۰۰",-,۳.۶,https://www.digikala.com/product/dkp-832100/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A2%D8%B1%D8%B2%D9%88-%DA%A9%D8%AF-23/
تیشرت زنانه طرح نگاه کد 105,"۳۲,۵۰۰",-,۳.۳,https://www.digikala.com/product/dkp-1797518/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%86%DA%AF%D8%A7%D9%87-%DA%A9%D8%AF-105/
تیشرت زنانه کد p0003,"۳۵,۰۰۰",-,۳.۱,https://www.digikala.com/product/dkp-2741040/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-p0003/
تی شرت زنانه طرح بی تی اس کد bts5,"۳۱,۵۰۰",-,۳.۴,https://www.digikala.com/product/dkp-2814046/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3-%DA%A9%D8%AF-bts5/
تی شرت زنانه کیکی رایکی مدل BB20060-403,"۸۸,۰۰۰",۷۸٪,۳.۹,https://www.digikala.com/product/dkp-8366049/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb20060-403/
تی شرت زنانه مدل ro_mi0041,"۳۵,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-5557103/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-ro-mi0041/
تی شرت زنانه به رسم طرح بی تی اس کد 436,"۳۳,۵۰۰",-,۳.۴,https://www.digikala.com/product/dkp-705149/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A8%D9%87-%D8%B1%D8%B3%D9%85-%D8%B7%D8%B1%D8%AD-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3-%DA%A9%D8%AF-436/
تیشرت زنانه طرح سرنوشت، آرزو، عشق کد 55,"۳۴,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-833450/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B3%D8%B1%D9%86%D9%88%D8%B4%D8%AA-%D8%A2%D8%B1%D8%B2%D9%88-%D8%B9%D8%B4%D9%82-%DA%A9%D8%AF-55/
تی شرت زنانه طرح امروز نه کد486,"۲۷,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-1145415/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%A7%D9%85%D8%B1%D9%88%D8%B2-%D9%86%D9%87-%DA%A9%D8%AF486/
تیشرت زنانه طرح ماه و رازها کد 58,"۳۴,۵۰۰",-,۳.۵,https://www.digikala.com/product/dkp-834472/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%85%D8%A7%D9%87-%D9%88-%D8%B1%D8%A7%D8%B2%D9%87%D8%A7-%DA%A9%D8%AF-58/
تی شرت زنانه ماییلدا مدل 3522-16,"۵۲,۰۰۰",۵٪,۳.۱,https://www.digikala.com/product/dkp-4366438/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-3522-16/
تی شرت آستین کوتاه زنانه اسد طرح BTS کد 103,"۳۹,۹۰۰",-,۳.۸,https://www.digikala.com/product/dkp-3391723/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D8%AF-%D8%B7%D8%B1%D8%AD-bts-%DA%A9%D8%AF-103/
تیشرت زنانه طرح شکوفه کد F10,"۳۸,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-2441537/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%B4%DA%A9%D9%88%D9%81%D9%87-%DA%A9%D8%AF-f10/
تی شرت زنانه پارس طرح کارتونی کد 3739,"۲۸,۷۰۰",-,۳.۲,https://www.digikala.com/product/dkp-608997/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%B7%D8%B1%D8%AD-%DA%A9%D8%A7%D8%B1%D8%AA%D9%88%D9%86%DB%8C-%DA%A9%D8%AF-3739/
تی شرت لانگ زنانه مدل خرس خوابالو,"۱۳۹,۰۰۰",۲۱٪,۴,https://www.digikala.com/product/dkp-8330666/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%84%D8%A7%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AE%D8%B1%D8%B3-%D8%AE%D9%88%D8%A7%D8%A8%D8%A7%D9%84%D9%88/
تی شرت زنانه طرح یونیکورن کد 4175,"۳۵,۰۰۰",-,۳.۱,https://www.digikala.com/product/dkp-3131201/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%DB%8C%D9%88%D9%86%DB%8C%DA%A9%D9%88%D8%B1%D9%86-%DA%A9%D8%AF-4175/
تی شرت طرح بلک پینک کد mbts3,"۳۰,۶۰۰",-,۳,https://www.digikala.com/product/dkp-2777157/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B7%D8%B1%D8%AD-%D8%A8%D9%84%DA%A9-%D9%BE%DB%8C%D9%86%DA%A9-%DA%A9%D8%AF-mbts3/
تی شرت زنانه افراتین طرح جوجه کد 2549 رنگ سرمه ای,"۱۴۹,۰۰۰",۳۱٪,۴.۳,https://www.digikala.com/product/dkp-3293730/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D8%B7%D8%B1%D8%AD-%D8%AC%D9%88%D8%AC%D9%87-%DA%A9%D8%AF-2549-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/
تی شرت زنانه افراتین مدل بهار,"۲۳۰,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-8461144/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D8%A8%D9%87%D8%A7%D8%B1/
تیشرت زنانه طرح قاصدک و آرزو کد 73,"۳۵,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-834606/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%82%D8%A7%D8%B5%D8%AF%DA%A9-%D9%88-%D8%A2%D8%B1%D8%B2%D9%88-%DA%A9%D8%AF-73/
تی شرت زنانه مدل بی تی اس,"۵۹,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-6867294/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3/
تی شرت لانگ زنانه مدل bts,"۱۷۵,۰۰۰",۱۷٪,۴,https://www.digikala.com/product/dkp-8582893/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%84%D8%A7%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bts/
تی شرت زنانه طرح هری پاتر کد 179,"۳۴,۵۰۰",-,۳.۷,https://www.digikala.com/product/dkp-1044978/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%87%D8%B1%DB%8C-%D9%BE%D8%A7%D8%AA%D8%B1-%DA%A9%D8%AF-179/
تی شرت زنانه زانتوس مدل 14941-72,"۸۰,۰۰۰",۵۰٪,۴.۱,https://www.digikala.com/product/dkp-5863607/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B2%D8%A7%D9%86%D8%AA%D9%88%D8%B3-%D9%85%D8%AF%D9%84-14941-72/
تیشرت زنانه 27 طرح دختر کد MP222,"۷۴,۵۰۰",۳۲٪,۳.۹,https://www.digikala.com/product/dkp-2849657/%D8%AA%DB%8C%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-27-%D8%B7%D8%B1%D8%AD-%D8%AF%D8%AE%D8%AA%D8%B1-%DA%A9%D8%AF-mp222/
تی شرت زنانه طرح جغد کد 3715,"۲۸,۴۰۰",-,۳.۲,https://www.digikala.com/product/dkp-608451/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D8%AC%D8%BA%D8%AF-%DA%A9%D8%AF-3715/
تی شرت آستین کوتاه زنانه مدل بی تی اس کد tm2454,"۴۴,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-5416962/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3-%DA%A9%D8%AF-tm2454/
تی شرت زنانه باینت مدل 2261486-72,"۹۸,۰۰۰",۴۵٪,۴.۱,https://www.digikala.com/product/dkp-7962555/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A8%D8%A7%DB%8C%D9%86%D8%AA-%D9%85%D8%AF%D9%84-2261486-72/
تی شرت زنانه مدل BTS,"۱۹۵,۰۰۰",-,۴,https://www.digikala.com/product/dkp-7296587/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-bts/
تی شرت آستین کوتاه زنانه طرح پاندا مدل S268,"۲۶,۷۰۰",-,۳.۵,https://www.digikala.com/product/dkp-1862244/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%D9%BE%D8%A7%D9%86%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-s268/
تی شرت زنانه مدل A04,"۳۴,۵۰۰",-,۳.۵,https://www.digikala.com/product/dkp-888571/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-a04/
تی شرت آستین کوتاه زنانه مدل بلک پینک و بی تی اس کد 276 رنگ سفید,"۲۹,۰۰۰",-,۳,https://www.digikala.com/product/dkp-8841565/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%D9%84%DA%A9-%D9%BE%DB%8C%D9%86%DA%A9-%D9%88-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3-%DA%A9%D8%AF-276-%D8%B1%D9%86%DA%AF-%D8%B3%D9%81%DB%8C%D8%AF/
تی شرت زنانه به رسم طرح بی تی اس کد 436,"۲۸,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-751468/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A8%D9%87-%D8%B1%D8%B3%D9%85-%D8%B7%D8%B1%D8%AD-%D8%A8%DB%8C-%D8%AA%DB%8C-%D8%A7%D8%B3-%DA%A9%D8%AF-436/
تی شرت لانگ آستین کوتاه زنانه مدل نوار براق طرح دو وات ایز رایت کد Mhr-8,"۲۵۰,۰۰۰",۲۹٪,۴,https://www.digikala.com/product/dkp-8822185/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D9%84%D8%A7%D9%86%DA%AF-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%86%D9%88%D8%A7%D8%B1-%D8%A8%D8%B1%D8%A7%D9%82-%D8%B7%D8%B1%D8%AD-%D8%AF%D9%88-%D9%88%D8%A7%D8%AA-%D8%A7%DB%8C%D8%B2-%D8%B1%D8%A7%DB%8C%D8%AA-%DA%A9%D8%AF-mhr-8/
تی شرت آستین کوتاه زنانه افراتین مدل کراپ راه راه رنگ طوسی تیره,"۱۹۹,۰۰۰",-,۴.۲,https://www.digikala.com/product/dkp-8971043/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%DA%A9%D8%B1%D8%A7%D9%BE-%D8%B1%D8%A7%D9%87-%D8%B1%D8%A7%D9%87-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C-%D8%AA%DB%8C%D8%B1%D9%87/
تی شرت زنانه کیکی رایکی مدل BB02926-001,"۱۱۱,۰۰۰",۸۰٪,۲.۳,https://www.digikala.com/product/dkp-7906290/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb02926-001/
