name,price,discount,star,link
نیم تنه زنانه کژین دوخت مدل پروانه رنگ مشکی,"۱۷۱,۰۰۰",۱۰٪,۵,https://www.digikala.com/product/dkp-8650489/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DA%98%DB%8C%D9%86-%D8%AF%D9%88%D8%AE%D8%AA-%D9%85%D8%AF%D9%84-%D9%BE%D8%B1%D9%88%D8%A7%D9%86%D9%87-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
تاپ زنانه کژین دوخت مدل pink,"۸۵,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-8585161/%D8%B4%D9%84%D9%88%D8%A7%D8%B1%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DA%98%DB%8C%D9%86-%D8%AF%D9%88%D8%AE%D8%AA-%D9%85%D8%AF%D9%84-sh-g-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C/
تاپ زنانه ال سی وایکیکی مدل 0SI343Z8-FKU-BEIGE,"۱۶۹,۰۰۰",۵۵٪,۳,https://www.digikala.com/product/dkp-8456629/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%84-%D8%B3%DB%8C-%D9%88%D8%A7%DB%8C%DA%A9%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-0si343z8-fku-beige/
نیم تنه زنانه طرح کتونی کد 20,"۴۵,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-2638030/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B7%D8%B1%D8%AD-%DA%A9%D8%AA%D9%88%D9%86%DB%8C-%DA%A9%D8%AF-20/
تاپ زنانه مدل AS1060 رنگ مشکی,"۲۹,۵۰۰",-,۳.۶,https://www.digikala.com/product/dkp-3888716/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-as1060-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
زیر سارافونی زنانه مدل tl2,"۵۷,۸۰۰",-,۳.۸,https://www.digikala.com/product/dkp-3664782/%D8%B2%DB%8C%D8%B1-%D8%B3%D8%A7%D8%A7%D8%B1%D9%81%D9%88%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-tl2/
تاپ زنانه کیکی رایکی مدل BB02793-040,"۳۷۸,۰۰۰",۷۰٪,۵,https://www.digikala.com/product/dkp-7691136/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb02793-040/
نیم تنه زنانه نیزل مدل P046005002030218-002,"۱۶۵,۰۰۰",۵۱٪,-,https://www.digikala.com/product/dkp-8465868/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-p046005002030218-002/
تاپ زنانه اسمارا مدل qaz0011,"۱۰۰,۰۰۰",-,۳.۹,https://www.digikala.com/product/dkp-4816236/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7-%D9%85%D8%AF%D9%84-qaz0011/
نیم تنه زنانه نیزل مدل I019005138030365-138,"۱۷۵,۰۰۰",۴۵٪,-,https://www.digikala.com/product/dkp-7799300/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-i019005138030365-138/
تاپ زنانه سیدونا مدل SI02143-020,"۸۲,۰۰۰",۶۶٪,۳.۵,https://www.digikala.com/product/dkp-7541191/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-si02143-020/
تاپ زنانه مدل 358092401,"۴۹,۰۰۰",۴۲٪,۲,https://www.digikala.com/product/dkp-8449215/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-358092401/
نیم تنه زنانه نانو تن پوش مدل 44,"۹۸,۰۰۰",۳۰٪,۵,https://www.digikala.com/product/dkp-8545193/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%D8%A7%D9%86%D9%88-%D8%AA%D9%86-%D9%BE%D9%88%D8%B4-%D9%85%D8%AF%D9%84-44/
کراپ‌تاپ زنانه جنیفر مدل smocka,"۵۴۰,۰۰۰",-,-,https://www.digikala.com/product/dkp-9160616/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AC%D9%86%DB%8C%D9%81%D8%B1-%D9%85%D8%AF%D9%84-smocka/
تاپ زنانه مدل H255,"۷۰,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-5711008/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-h255/
زیر سارافونی زنانه کد 1 رنگ مشکی,"۵۲,۲۱۰",-,۳.۶,https://www.digikala.com/product/dkp-2883391/%D8%B2%DB%8C%D8%B1-%D8%B3%D8%A7%D8%B1%D8%A7%D9%81%D9%88%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-1-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
تاپ زنانه دیجی استایل اسنشیال مدل 249111015,"۳۷۳,۰۰۰",-,۳.۳,https://www.digikala.com/product/dkp-7917424/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D8%AC%DB%8C-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%D8%A7%D8%B3%D9%86%D8%B4%DB%8C%D8%A7%D9%84-%D9%85%D8%AF%D9%84-249111015/
تاپ زنانه دیجی استایل اسنشیال مدل 249111343,"۴۱۵,۰۰۰",-,۴.۶,https://www.digikala.com/product/dkp-8509716/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D8%AC%DB%8C-%D8%A7%D8%B3%D8%AA%D8%A7%DB%8C%D9%84-%D8%A7%D8%B3%D9%86%D8%B4%DB%8C%D8%A7%D9%84-%D9%85%D8%AF%D9%84-249111343/
تاپ زنانه کیکی رایکی مدل BB02794-040,"۳۵۶,۰۰۰",۶۹٪,۳.۳,https://www.digikala.com/product/dkp-7691893/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb02794-040/
تاپ زنانه کوی مدل 228 رنگ مشکی,"۱۵۷,۵۰۰",۱۰٪,۴.۹,https://www.digikala.com/product/dkp-6700610/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-228-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
کراپ‌تاپ زنانه مدل اشکی,"۱۴۸,۰۰۰",-,-,https://www.digikala.com/product/dkp-9169059/%DA%A9%D8%B1%D8%A7%D9%BE%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A7%D8%B4%DA%A9%DB%8C/
نیم تنه زنانه اسپیور مدل 2w27-8,"۱۱۰,۰۰۰",۵۴٪,۲.۸,https://www.digikala.com/product/dkp-5212857/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%DB%8C%D9%88%D8%B1-%D9%85%D8%AF%D9%84-2w27-8/
تاپ زنانه مدل Simple مدل V03 رنگ سفید,"۸۸,۰۰۰",۱۱٪,۳.۶,https://www.digikala.com/product/dkp-5811932/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-simple-%D9%85%D8%AF%D9%84-v03-%D8%B1%D9%86%DA%AF-%D8%B3%D9%81%DB%8C%D8%AF/
نیم تنه زنانه کژین دوخت مدل تدی c رنگ سفید,"۱۷۱,۰۰۰",۱۰٪,-,https://www.digikala.com/product/dkp-8650502/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DA%98%DB%8C%D9%86-%D8%AF%D9%88%D8%AE%D8%AA-%D9%85%D8%AF%D9%84-%D8%AA%D8%AF%DB%8C-c-%D8%B1%D9%86%DA%AF-%D8%B3%D9%81%DB%8C%D8%AF/
تاپ بندی زنانه اسمارامدل Damen,"۴۵,۰۰۰",۵۰٪,۳.۸,https://www.digikala.com/product/dkp-596551/%D8%AA%D8%A7%D9%BE-%D8%A8%D9%86%D8%AF%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%85%D8%A7%D8%B1%D8%A7%D9%85%D8%AF%D9%84-damen/
تاپ زنانه مون‌سا مدل 163131159,"۱۷۲,۰۰۰",-,۵,https://www.digikala.com/product/dkp-7865493/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D9%88%D9%86%D8%B3%D8%A7-%D9%85%D8%AF%D9%84-163131159/
زیر سارافونی زنانه کد A-121,"۷۴,۵۰۰",-,۳.۶,https://www.digikala.com/product/dkp-3353626/%D8%B2%DB%8C%D8%B1-%D8%B3%D8%A7%D8%B1%D8%A7%D9%81%D9%88%D9%86%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-a-121/
نیم تنه زنانه مدل پولکی یونیکورن,"۲۵۰,۰۰۰",-,۱,https://www.digikala.com/product/dkp-9044968/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D8%B1%D8%A7%D9%BE-%D9%87%D9%81%D8%AA-%D8%B1%D9%86%DA%AF/
تاپ زنانه کوی مدل دیانا کد 390 رنگ زرشکی,"۱۷۹,۱۰۰",۱۰٪,۳,https://www.digikala.com/product/dkp-6700215/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-%D8%AF%DB%8C%D8%A7%D9%86%D8%A7-%DA%A9%D8%AF-390-%D8%B1%D9%86%DA%AF-%D8%B2%D8%B1%D8%B4%DA%A9%DB%8C/
تاپ زنانه مدل 358036601,"۹۸,۰۰۰",۲۹٪,۴,https://www.digikala.com/product/dkp-8384578/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-358036601/
تاپ زنانه پپا مدل Plain مجموعه دو عددی,"۲۶۹,۰۰۰",-,۵,https://www.digikala.com/product/dkp-8912440/%D8%AA%D8%A7%D9%BE-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%BE%D9%BE%D8%A7-%D9%85%D8%AF%D9%84-plain-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-%D8%AF%D9%88-%D8%B9%D8%AF%D8%AF%DB%8C/
نیم تنه زنانه افراتین مدل راه راه رنگ طوسی تیره,"۱۲۵,۰۰۰",۳۰٪,-,https://www.digikala.com/product/dkp-8970912/%D9%86%DB%8C%D9%85-%D8%AA%D9%86%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D8%B1%D8%A7%D9%87-%D8%B1%D8%A7%D9%87-%D8%B1%D9%86%DA%AF-%D8%B7%D9%88%D8%B3%DB%8C-%D8%AA%DB%8C%D8%B1%D9%87/
