name,price,discount,star,link
شلوار زنانه کوی مدل دمپا گشاد شب‌پره اکلیلی کد 451 رنگ سورمه‌ای,"۸۵۰,۲۰۰",-,۴,https://www.digikala.com/product/dkp-8285871/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D9%88%DB%8C-%D9%85%D8%AF%D9%84-%D8%AF%D9%85%D9%BE%D8%A7-%DA%AF%D8%B4%D8%A7%D8%AF-%D8%B4%D8%A8%D9%BE%D8%B1%D9%87-%D8%A7%DA%A9%D9%84%DB%8C%D9%84%DB%8C-%DA%A9%D8%AF-451-%D8%B1%D9%86%DA%AF-%D8%B3%D9%88%D8%B1%D9%85%D9%87%D8%A7%DB%8C/
سرهمی زنانه افراتین مدل آبرنگی,"۱۸۸,۰۰۰",۳۰٪,۳.۵,https://www.digikala.com/product/dkp-8736241/%D8%B3%D8%B1%D9%87%D9%85%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D8%A2%D8%A8%D8%B1%D9%86%DA%AF%DB%8C/
شلوار زنانه مدل راسته,"۲۸۰,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-7478626/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B1%D8%A7%D8%B3%D8%AA%D9%87/
ساپورت زنانه آریو شاپ مدل 109,"۶۵,۰۰۰",۱۰٪,۳.۱,https://www.digikala.com/product/dkp-522607/%D8%B3%D8%A7%D9%BE%D9%88%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A2%D8%B1%DB%8C%D9%88-%D8%B4%D8%A7%D9%BE-%D9%85%D8%AF%D9%84-109/
شلوار زنانه مدل بگ گشاد کد 234 رنگ خردلی,"۱۱۹,۰۰۰",۱۴٪,۳.۷,https://www.digikala.com/product/dkp-6519736/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%A8%DA%AF-%DA%AF%D8%B4%D8%A7%D8%AF-%DA%A9%D8%AF-234-%D8%B1%D9%86%DA%AF-%D8%AE%D8%B1%D8%AF%D9%84%DB%8C/
شلوار زنانه مدل کتان kiss me بگ,"۵۳۵,۰۰۰",-,۳,https://www.digikala.com/product/dkp-6801986/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%A9%D8%AA%D8%A7%D9%86-kiss-me-%D8%A8%DA%AF/
شلوار زنانه مدل پلیسه کد 2023,"۷۴,۸۱۰",-,۳.۷,https://www.digikala.com/product/dkp-5042259/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D9%BE%D9%84%DB%8C%D8%B3%D9%87-%DA%A9%D8%AF-2022/
شلوار زنانه پپا مدل Carmen,"۲۳۷,۳۰۰",۳۰٪,۲,https://www.digikala.com/product/dkp-8879733/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%BE%D9%BE%D8%A7-%D9%85%D8%AF%D9%84-carmen/
سرهمی زنانه کیکی رایکی مدل BB03485-008,"۳۲۶,۰۰۰",۶۷٪,۴.۸,https://www.digikala.com/product/dkp-7691521/%D8%B3%D8%B1%D9%87%D9%85%DB%8C-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb03485-008/
شلوار زنانه مدل دمپا گشاد کد MD3 3850,"۴۲۰,۰۰۰",-,۳.۴,https://www.digikala.com/product/dkp-8248183/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%AF%D9%85%D9%BE%D8%A7-%DA%AF%D8%B4%D8%A7%D8%AF-%DA%A9%D8%AF-md3-3850/
لگینگ زنانه کد 1024 رنگ مشکی,"۴۲,۰۰۰",-,۳,https://www.digikala.com/product/dkp-2267749/%D9%84%DA%AF%DB%8C%D9%86%DA%AF-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-1024-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
شلوار زنانه مدل سگک دار 740 رنگ مشکی,"۲۲۹,۰۰۰",-,۴.۱,https://www.digikala.com/product/dkp-7760561/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B3%DA%AF%DA%A9-%D8%AF%D8%A7%D8%B1-740-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
شلوار زنانه کیکی رایکی مدل BB3388-040,"۱۵۳,۰۰۰",۸۵٪,۴,https://www.digikala.com/product/dkp-5416123/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb3388-040/
شلوار زنانه مدل گشاد,"۱۷۰,۰۰۰",-,۴.۵,https://www.digikala.com/product/dkp-8618963/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DA%AF%D8%B4%D8%A7%D8%AF/
شلوار بگ گشاد قد 90 زنانه قرمز مدل 234,"۱۱۹,۰۰۰",۱۴٪,۳.۸,https://www.digikala.com/product/dkp-610672/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%A8%DA%AF-%DA%AF%D8%B4%D8%A7%D8%AF-%D9%82%D8%AF-90-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%82%D8%B1%D9%85%D8%B2-%D9%85%D8%AF%D9%84-234/
شلوار زنانه دمپا گشاد پارچه ای مشکی مدل 206,"۱۵۹,۰۰۰",۱۸٪,۳.۳,https://www.digikala.com/product/dkp-448850/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%D9%85%D9%BE%D8%A7-%DA%AF%D8%B4%D8%A7%D8%AF-%D9%BE%D8%A7%D8%B1%DA%86%D9%87-%D8%A7%DB%8C-%D9%85%D8%B4%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-206/
شلوار زنانه کیکی رایکی مدل BB3373-001,"۱۶۱,۰۰۰",۸۵٪,۳.۵,https://www.digikala.com/product/dkp-4575467/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%DB%8C%DA%A9%DB%8C-%D8%B1%D8%A7%DB%8C%DA%A9%DB%8C-%D9%85%D8%AF%D9%84-bb3373-001/
شلوار زنانه نیزل مدل P018001031080201-031,"۲۸۹,۰۰۰",۴۰٪,۵,https://www.digikala.com/product/dkp-7799065/%D8%B4%D9%84%D9%88%D8%A7%D8%B1-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-p018001031080201-031/
