name,price,discount,star,link
تونیک زنانه مانتو ولیعصر مدل دلبر کد 65713,"۱۴۸,۰۰۰",-,۳.۷,https://www.digikala.com/product/dkp-5038568/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%D8%AA%D9%88-%D9%88%D9%84%DB%8C%D8%B9%D8%B5%D8%B1-%D9%85%D8%AF%D9%84-%D8%AF%D9%84%D8%A8%D8%B1-%DA%A9%D8%AF-65713/
تونیک زنانه افراتین مدل آسمان,"۲۳۹,۰۰۰",۲۶٪,۴,https://www.digikala.com/product/dkp-9010840/%D9%85%D8%A7%D9%86%D8%AA%D9%88-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%D8%A2%D8%B3%D9%85%D8%A7%D9%86/
تونیک زنانه مدل M2620 مجموعه 2 عددی,"۲۱۹,۰۰۰",۶۳٪,۳.۸,https://www.digikala.com/product/dkp-8975456/%D8%A8%D9%84%D9%88%D8%B2-%D8%A2%D8%B3%D8%AA%DB%8C%D9%86-%DA%A9%D9%88%D8%AA%D8%A7%D9%87-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-m2620/
تونیک بافت زنانه سیدونا مدل SI02052-001,"۱۰۴,۰۰۰",۶۵٪,۳.۴,https://www.digikala.com/product/dkp-7260232/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%A8%D8%A7%D9%81%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-si02052-001/
تونیک زنانه ناوالس کد LADY2030BL,"۱۷۵,۰۰۰",-,۳.۵,https://www.digikala.com/product/dkp-586774/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%D8%A7%D9%88%D8%A7%D9%84%D8%B3-%DA%A9%D8%AF-lady2030bl/
تونیک زنانه مانتو ولیعصر مدل دلبر کد 65739,"۱۴۸,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-5483197/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%D9%86%D8%AA%D9%88-%D9%88%D9%84%DB%8C%D8%B9%D8%B5%D8%B1-%D9%85%D8%AF%D9%84-%D8%AF%D9%84%D8%A8%D8%B1-%DA%A9%D8%AF-65739/
تونیک زنانه کد 2-1047,"۸۳,۶۰۰",۵٪,۳,https://www.digikala.com/product/dkp-2386997/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-2-1047/
تونیک زنانه افراتین مدل گلدار پشت بلند رنگ سرمه ای,"۱۹۵,۰۰۰",۱۷٪,۴.۴,https://www.digikala.com/product/dkp-7933253/%D8%AA%DB%8C-%D8%B4%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D9%81%D8%B1%D8%A7%D8%AA%DB%8C%D9%86-%D9%85%D8%AF%D9%84-%DA%AF%D9%84%D8%AF%D8%A7%D8%B1-%D9%BE%D8%B4%D8%AA-%D8%A8%D9%84%D9%86%D8%AF-%D8%B1%D9%86%DA%AF-%D8%B3%D8%B1%D9%85%D9%87-%D8%A7%DB%8C/
تونیک زنانه کوزا مدل 3708 رنگ مشکی,"۱۴۲,۴۰۰",۴۱٪,۴.۴,https://www.digikala.com/product/dkp-6538316/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D9%88%D8%B2%D8%A7-%D9%85%D8%AF%D9%84-3708-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
تونیک زنانه سیدونا مدل SI02236-303,"۹۷,۰۰۰",۶۰٪,۴,https://www.digikala.com/product/dkp-8842549/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B3%DB%8C%D8%AF%D9%88%D9%86%D8%A7-%D9%85%D8%AF%D9%84-si02236-303/
تونیک زنانه مدل شیدا,"۲۱۰,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-4924485/%D8%B4%D9%88%D9%85%DB%8C%D8%B2-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%D8%B4%DB%8C%D8%AF%D8%A7/
تونیک زنانه نیزل مدل P050001001030478-001,"۳۵۳,۰۰۰",۴۵٪,-,https://www.digikala.com/product/dkp-9193291/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%DB%8C%D8%B2%D9%84-%D9%85%D8%AF%D9%84-p050001001030478-001/
تونیک زنانه آر ان اس مدل 107015-99,"۲۴۹,۰۰۰",۳۶٪,۳,https://www.digikala.com/product/dkp-3399571/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A2%D8%B1-%D8%A7%D9%86-%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-107015-99/
تونیک زنانه مدل 358426901,"۱۵۶,۰۰۰",۱۸٪,۳.۷,https://www.digikala.com/product/dkp-6459834/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-358426901/
تونیک بافت زنانه مدل 002,"۶۱,۰۰۰",-,۳.۸,https://www.digikala.com/product/dkp-3559356/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%A8%D8%A7%D9%81%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-002/
تونیک زنانه مدل 358426502,"۱۵۶,۰۰۰",۲۷٪,۴.۲,https://www.digikala.com/product/dkp-8384665/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-358426502/
تونیک زنانه کوزا مدل 3706 رنگ مشکی,"۱۸۸,۷۰۰",۱۵٪,۴,https://www.digikala.com/product/dkp-6545181/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D9%88%D8%B2%D8%A7-%D9%85%D8%AF%D9%84-3706-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
تونیک بافت زنانه مدل یقه اسکی رنگ مشکی,"۶۴,۱۰۰",-,۳.۷,https://www.digikala.com/product/dkp-6626153/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%A8%D8%A7%D9%81%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%AF%D9%84-%DB%8C%D9%82%D9%87-%D8%A7%D8%B3%DA%A9%DB%8C-%D8%B1%D9%86%DA%AF-%D9%85%D8%B4%DA%A9%DB%8C/
تونیک زنانه نُجَبا مدل 01,"۴۰۰,۰۰۰",-,۴.۳,https://www.digikala.com/product/dkp-7238203/%D8%AA%D9%88%D9%86%DB%8C%DA%A9-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%D8%AC%D8%A8%D8%A7-%D9%85%D8%AF%D9%84-01/
