name,price,discount,star,link
شورت زنانه اسپست مدل ASP-BYR000 بسته سه عددی,"۹۹,۹۹۰",۵۰٪,۴,https://www.digikala.com/product/dkp-8946090/%D8%B4%D9%88%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%A7%D8%B3%D9%BE%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-asp-byr000/
سوتین زنانه کد 9997-F رنگ فیروزه ای,"۲۹,۹۰۰",۳۴٪,۳.۶,https://www.digikala.com/product/dkp-1844078/%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%AF-9997-f-%D8%B1%D9%86%DA%AF-%D9%81%DB%8C%D8%B1%D9%88%D8%B2%D9%87-%D8%A7%DB%8C/
ست شورت و سوتین زنانه کارنا رز مدل فنردار کد 3378-15 رنگ کرم,"۱۲۹,۰۰۰",۳۴٪,۴.۱,https://www.digikala.com/product/dkp-8670459/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%A7%D8%B1%D9%86%D8%A7-%D8%B1%D8%B2-%D9%85%D8%AF%D9%84-%D9%81%D9%86%D8%B1%D8%AF%D8%A7%D8%B1-%DA%A9%D8%AF-3378-15-%D8%B1%D9%86%DA%AF-%DA%A9%D8%B1%D9%85/
ست شورت و سوتین زنانه ماییلدا مدل 3622-1,"۳۹,۹۰۰",۵۰٪,۳.۸,https://www.digikala.com/product/dkp-4745234/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%85%D8%A7%DB%8C%DB%8C%D9%84%D8%AF%D8%A7-%D9%85%D8%AF%D9%84-3622-1/
شورت زنانه راحتی کمیکس بسته 6 عددی کد 5044,"۸۳,۴۵۰",-,۳.۴,https://www.digikala.com/product/dkp-1597795/%D8%B4%D9%88%D8%B1%D8%AA-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%B1%D8%A7%D8%AD%D8%AA%DB%8C-%DA%A9%D9%85%DB%8C%DA%A9%D8%B3-%D8%A8%D8%B3%D8%AA%D9%87-6-%D8%B9%D8%AF%D8%AF%DB%8C-%DA%A9%D8%AF-5044/
سوتین زنانه کارنا رز مدل فنردار کد 3377-4 رنگ صورتی,"۷۵,۰۰۰",۳۸٪,۴.۳,https://www.digikala.com/product/dkp-8448020/%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%A7%D8%B1%D9%86%D8%A7-%D8%B1%D8%B2-%D9%85%D8%AF%D9%84-%D9%81%D9%86%D8%B1%D8%AF%D8%A7%D8%B1-%DA%A9%D8%AF-3377-4-%D8%B1%D9%86%DA%AF-%D8%B5%D9%88%D8%B1%D8%AA%DB%8C/
ست سوتین و شورت مدل Gold Ring,"۲۴,۵۰۰",۳۹٪,۳.۶,https://www.digikala.com/product/dkp-965344/%D8%B3%D8%AA-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D9%88-%D8%B4%D9%88%D8%B1%D8%AA-%D9%85%D8%AF%D9%84-gold-ring/
ست شورت و سوتین زنانه نُجَبا مدل 001,"۶۹,۰۰۰",۸۰٪,۴.۱,https://www.digikala.com/product/dkp-8414454/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%D8%AC%D8%A8%D8%A7-%D9%85%D8%AF%D9%84-001/
ست شورت و سوتین زنانه کارنا رز مدل 3340 رنگ کالباسی,"۱۲۵,۰۰۰",۳۲٪,۴.۲,https://www.digikala.com/product/dkp-5422687/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%DA%A9%D8%A7%D8%B1%D9%86%D8%A7-%D8%B1%D8%B2-%D9%85%D8%AF%D9%84-3340-%D8%B1%D9%86%DA%AF-%DA%A9%D8%A7%D9%84%D8%A8%D8%A7%D8%B3%DB%8C/
ست شورت و سوتین زنانه نُجَبا مدل بندی,"۴۸,۶۰۰",۷۳٪,۳.۹,https://www.digikala.com/product/dkp-8394374/%D8%B3%D8%AA-%D8%B4%D9%88%D8%B1%D8%AA-%D9%88-%D8%B3%D9%88%D8%AA%DB%8C%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D9%86%D8%AC%D8%A8%D8%A7-%D9%85%D8%AF%D9%84-%D8%A8%D9%86%D8%AF%DB%8C/
